현재가,거래량,체결시간,시가,고가,저가,전일종가
9.43,3,20231027151500,9.43,9.43,9.43,2.87
-9.35,1,20231027150000,-9.35,-9.35,-9.35,
-9.25,3,20231027144500,-9.25,-9.25,-9.25,
-9.36,3,20231027143000,-9.36,-9.36,-9.36,
-9.30,2,20231027141500,-9.30,-9.30,-9.30,
-9.25,13,20231027140000,-9.36,-9.36,-9.23,
-9.22,6,20231027130000,-9.22,-9.22,-9.22,
-9.23,10,20231027124500,-9.36,-9.36,-9.23,
-9.36,6,20231027123000,9.43,9.43,-9.36,
+9.75,1,20231027121500,+9.75,+9.75,+9.75,
+10.20,2,20231027120000,+10.20,+10.20,+10.20,
+10.15,2,20231027114500,+10.15,+10.15,+10.15,
+9.55,11,20231027100000,-9.27,+9.55,-9.27,
-9.18,12,20231027094500,-9.32,+9.51,-9.18,
-9.07,3,20231027093000,-9.07,-9.07,-9.07,
9.75,4,20231026153000,9.75,9.75,9.75,
+9.80,5,20231026151500,+9.90,+9.90,+9.80,
+10.00,1,20231026144500,+10.00,+10.00,+10.00,
+9.79,1,20231026141500,+9.79,+9.79,+9.79,
9.75,1,20231026140000,9.75,9.75,9.75,
+9.92,5,20231026134500,+9.95,+9.95,+9.90,
+10.00,1,20231026131500,+10.00,+10.00,+10.00,
+10.15,4,20231026130000,+10.15,+10.15,+10.10,
+10.10,3,20231026124500,+10.15,+10.20,+10.10,
+10.20,3,20231026123000,+10.15,+10.30,+10.15,
+10.15,3,20231026121500,+10.10,+10.15,+10.10,
+10.15,1,20231026120000,+10.15,+10.15,+10.15,
+10.25,2,20231026113000,+10.20,+10.25,+10.20,
+10.45,1,20231026111500,+10.45,+10.45,+10.45,
+10.55,6,20231026110000,+10.80,+10.80,+10.55,
+11.10,2,20231026104500,+11.50,+11.50,+11.10,
+11.10,2,20231026103000,+10.80,+11.10,+10.80,
+11.05,3,20231026093000,+11.05,+11.05,+11.05,
13.95,4,20231024131500,+14.05,+14.10,-13.90,
-13.55,2,20231024123000,-13.60,-13.60,-13.55,
+14.05,12,20231024111500,+14.00,+14.15,+14.00,
-12.15,15,20231024104500,-12.15,-12.15,-12.00,
-11.95,4,20231024103000,-11.95,-11.95,-11.95,
16.30,1,20231020151500,16.30,16.30,16.30,
22.50,1,20231017104500,22.50,22.50,22.50,
20.50,2,20231016103000,-20.35,20.50,-20.35,
17.40,1,20231005091500,17.40,17.40,17.40,
