현재가,거래량,체결시간,시가,고가,저가,전일종가
40.40,1,20231027101500,40.40,40.40,40.40,-0.73
-39.95,1,20231027084500,-39.95,-39.95,-39.95,
40.20,1,20231026123000,40.20,40.20,40.20,
32.50,1,20231025130000,32.50,32.50,32.50,
-32.10,1,20231025120000,-32.10,-32.10,-32.10,
-31.30,1,20231025113000,-31.30,-31.30,-31.30,
-31.80,2,20231025104500,-31.70,-31.80,-31.70,
31.30,1,20231024153000,31.30,31.30,31.30,
+33.00,1,20231024134500,+33.00,+33.00,+33.00,
+34.00,1,20231024131500,+34.00,+34.00,+34.00,
+34.85,1,20231024130000,+34.85,+34.85,+34.85,
+33.60,3,20231024113000,+33.70,+33.70,+33.60,
+33.75,2,20231024111500,+33.80,+33.80,+33.75,
33.55,1,20231023151500,33.55,33.55,33.55,
+34.15,1,20231023144500,+34.15,+34.15,+34.15,
33.55,1,20231023123000,33.55,33.55,33.55,
30.80,1,20231020123000,30.80,30.80,30.80,
+32.40,1,20231020101500,+32.40,+32.40,+32.40,
+32.40,5,20231020093000,+32.40,+32.40,+32.40,
+31.80,1,20231020091500,+31.80,+31.80,+31.80,
26.80,1,20231019121500,26.80,26.80,26.80,
-25.80,3,20231019090000,-25.40,-25.80,-25.40,
-24.00,1,20231019084500,-24.00,-24.00,-24.00,
20.65,1,20231018133000,20.65,20.65,20.65,
+21.30,1,20231018123000,+21.30,+21.30,+21.30,
+21.15,1,20231018121500,+21.15,+21.15,+21.15,
+22.00,2,20231018094500,+21.40,+22.00,+21.40,
21.50,1,20231017131500,21.50,21.50,21.50,
+21.85,1,20231017121500,+21.85,+21.85,+21.85,
+23.30,1,20231017110000,+23.30,+23.30,+23.30,
+24.45,1,20231017094500,+24.45,+24.45,+24.45,
+24.15,2,20231017093000,+24.15,+24.15,+24.15,
27.25,1,20231016134500,27.25,27.25,27.25,
+27.60,3,20231016120000,27.25,+27.60,27.25,
-26.25,1,20231016110000,-26.25,-26.25,-26.25,
-24.30,1,20231016093000,-24.30,-24.30,-24.30,
23.70,1,20231013140000,23.70,23.70,23.70,
