현재가,거래량,체결시간,시가,고가,저가,대업종구분,소업종구분,종목정보,전일종가
+236834,8731,20231103153000,+236833,+236842,+236783,,,,
+236833,22692,20231103150000,+236707,+236915,+236675,,,,
+236733,31833,20231103143000,+236521,+236850,+236521,,,,
+236542,36542,20231103140000,+236644,+236970,+236518,,,,
+236756,20608,20231103133000,+236457,+236756,+236290,,,,
+236532,24120,20231103130000,+236316,+236621,+236157,,,,
+236391,33837,20231103123000,+236636,+236784,+236302,,,,
+236641,26656,20231103120000,+236729,+236942,+236625,,,,
+236761,19541,20231103113000,+236784,+236889,+236556,,,,
+236826,24726,20231103110000,+236743,+237028,+236535,,,,
+236742,37705,20231103103000,+236447,+236892,+236432,,,,
+236434,49019,20231103100000,+235724,+236910,+235642,,,,
+235748,62394,20231103093000,+235568,+235995,+235183,,,,
+235563,169135,20231103090000,+236559,+236863,+235491,,,,
+234312,18457,20231102153000,+234351,+234351,+234291,,,,
+234351,22042,20231102150000,+234077,+234359,+233746,,,,
+234151,19106,20231102143000,+234083,+234245,+233982,,,,
+234187,18242,20231102140000,+233847,+234232,+233803,,,,
+233887,18270,20231102133000,+234258,+234347,+233742,,,,
+234271,16934,20231102130000,+234402,+234402,+234119,,,,
+234308,16563,20231102123000,+234334,+234471,+233996,,,,
+234275,17397,20231102120000,+233982,+234360,+233859,,,,
+233984,16077,20231102113000,+234082,+234194,+233584,,,,
+234202,22148,20231102110000,+235002,+235191,+234118,,,,
+235060,23699,20231102103000,+234723,+235135,+234682,,,,
+234828,31244,20231102100000,+234021,+235062,+234009,,,,
+234041,35361,20231102093000,+233906,+234161,+233692,,,,
+234009,101922,20231102090000,+233496,+234307,+233341,,,,
+230156,16632,20231101153000,+230212,+230212,+230091,,,,
+230212,18041,20231101150000,+229660,+230329,+229660,,,,
+229711,19761,20231101143000,+229953,+230066,+229580,,,,
+229940,21290,20231101140000,+230053,+230178,+229316,,,,
+230141,16349,20231101133000,+229736,+230143,+229649,,,,
+229831,18195,20231101130000,+229904,+230109,+229701,,,,
+230009,20633,20231101123000,+230242,+230559,+229931,,,,
+230229,12666,20231101120000,+229902,+230229,+229800,,,,
+229977,18127,20231101113000,+229324,+230280,+229309,,,,
+229339,17689,20231101110000,+229083,+229420,+228971,,,,
+229041,26004,20231101103000,+229355,+229844,+228864,,,,
+229422,31655,20231101100000,+230133,+230287,+229321,,,,
+230217,41181,20231101093000,+230659,+230910,+229862,,,,
+230784,79934,20231101090000,+229289,+231215,+229289,,,,
-227799,21730,20231031153000,+227689,+227800,+227689,,,,
-227689,20122,20231031150000,+227742,+227816,+227494,,,,
-227728,20730,20231031143000,+227533,+227996,+227397,,,,
-227448,20381,20231031140000,+228105,+228105,+227448,,,,
-228031,20458,20231031133000,+227945,+228151,+227716,,,,
-227926,18519,20231031130000,+228402,+228668,+227910,,,,
-228470,20154,20231031123000,+228473,+228683,+228075,,,,
-228454,21710,20231031120000,+228647,+228758,+228086,,,,
-228576,24047,20231031113000,+229447,+229461,+228428,,,,
-229374,23795,20231031110000,+230267,+230385,+229273,,,,
-230272,30006,20231031103000,+229537,+230332,-229326,,,,
-229424,30764,20231031100000,+229783,+230331,+229016,,,,
-229875,42829,20231031093000,+231152,+231538,+229675,,,,
+231226,79737,20231031090000,+231839,+232245,+231076,,,,
+231055,18582,20231030153000,+231310,+231310,+231055,,,,
+231310,19725,20231030150000,+230575,+231407,+230575,,,,
+230518,23306,20231030143000,+230564,+230811,+230408,,,,
+230557,22690,20231030140000,+230842,+230940,+230393,,,,
+230942,25587,20231030133000,+231281,+231332,+230797,,,,
+231213,17888,20231030130000,+231659,+231775,+231139,,,,
+231626,21466,20231030123000,+231551,+231739,+231454,,,,
+231550,23522,20231030120000,+231126,+231635,+230928,,,,
+231214,31429,20231030113000,+231358,+231396,+231081,,,,
+231267,39390,20231030110000,+231119,+231440,+230662,,,,
+231206,31931,20231030103000,+230591,+231276,+230591,,,,
+230712,36777,20231030100000,+230778,+230778,-230192,,,,
+230655,46757,20231030093000,-230128,+230683,-229472,,,,
-230093,85792,20231030090000,-229234,+230645,-229234,,,,
+230281,19373,20231027153000,+230318,+230318,+230258,,,,
+230318,24133,20231027150000,+230287,+230395,+230116,,,,
+230286,28276,20231027143000,+230154,+230307,+229931,,,,
+230106,29224,20231027140000,+230554,+230554,+229931,,,,
+230572,24056,20231027133000,-229821,+230641,-229719,,,,
-229788,34357,20231027130000,+230073,+230228,-229523,,,,
+230062,28154,20231027123000,+231080,+231080,+230053,,,,
+231075,21619,20231027120000,+231701,+231727,+230871,,,,
+231669,29374,20231027113000,+231719,+232184,+231593,,,,
+231708,36997,20231027110000,+231299,+231932,+231207,,,,
+231178,34423,20231027103000,+231030,+231481,+230683,,,,
+230907,37301,20231027100000,-229742,+231295,-229717,,,,
-229745,59923,20231027093000,+229930,+230600,-229305,,,,
+230000,107666,20231027090000,+231159,+231256,+229936,,,,
-229908,22749,20231026153000,+230169,+230169,+229908,,,,
-230169,29278,20231026150000,+230668,+230688,+230133,,,,
-230774,35040,20231026143000,+230049,+231059,+229989,,,,
-230045,51176,20231026140000,+230458,+230811,+229994,,,,
-230400,49569,20231026133000,+230519,+230816,+230329,,,,
-230583,26203,20231026130000,+230919,+231106,+230469,,,,
-230985,16851,20231026123000,+230983,+231357,+230822,,,,
-230954,21842,20231026120000,+231157,+231214,+230625,,,,
-231064,25255,20231026113000,+231211,+231613,+231003,,,,
-231116,27882,20231026110000,+232170,+232245,+231116,,,,
-232175,32600,20231026103000,+231986,+232952,+231949,,,,
-232095,39340,20231026100000,+232056,+232389,+231864,,,,
-232044,54458,20231026093000,+232596,+232715,+231813,,,,
-232618,98830,20231026090000,+232582,+233055,+232034,,,,
-236317,14628,20231025153000,+236431,+236431,+236269,,,,
-236431,21200,20231025150000,+236803,+236903,+236337,,,,
-236922,32147,20231025143000,+237046,+237046,+236538,,,,
-236964,32205,20231025140000,+237213,+237605,+236964,,,,
-237226,26369,20231025133000,+237009,+237291,+236947,,,,
-237105,24924,20231025130000,+237078,+237116,+236397,,,,
-237081,20413,20231025123000,+237238,+237303,+236887,,,,
-237221,18411,20231025120000,+237535,+237829,+237174,,,,
-237645,19182,20231025113000,+237950,+238035,+237544,,,,
-238038,20153,20231025110000,+237990,+238074,-237669,,,,
-237922,26679,20231025103000,-237320,+238011,-237029,,,,
-237341,33553,20231025100000,+237675,+237901,+237271,,,,
-237676,67237,20231025093000,+238312,+238392,+237518,,,,
+238397,83706,20231025090000,+238923,+238990,-237937,,,,
+238351,14337,20231024153000,+238395,+238401,+238337,,,,
