date,basis,basis_risk,basis_disparate_ratio
2023-07-31,2.94,-0.59,0.849
2023-08-01,3.53,-0.59,1.006
2023-08-02,3.2,-0.33,0.931
2023-08-03,2.34,-0.86,0.684
2023-08-04,2.32,-0.02,0.679
2023-08-07,2.35,0.03,0.689
2023-08-08,2.77,0.42,0.819
2023-08-09,2.43,0.34,0.711
2023-08-10,2.7,0.27,0.794
2023-08-11,2.9,0.2,0.855
2023-08-14,2.43,-0.47,0.722
2023-08-16,2.11,-0.32,0.637
2023-08-17,1.89,-0.22,0.572
2023-08-18,1.81,-0.08,0.55
2023-08-21,2.01,0.2,0.612
2023-08-22,1.93,0.08,0.585
2023-08-23,1.7,-0.23,0.516
2023-08-24,1.46,0.24,0.437
2023-08-25,1.53,0.07,0.463
2023-08-28,1.99,-0.46,0.599
2023-08-29,1.58,0.41,0.473
2023-08-30,1.24,0.34,0.37
2023-08-31,2.26,0.82,0.676
2023-09-01,1.36,0.9,0.402
2023-09-04,1.9,-0.54,0.558
2023-09-05,1.52,-0.32,0.447
2023-09-06,1.75,0.23,0.518
2023-09-07,1.75,0.0,0.521
2023-09-08,2.01,-0.26,0.598
2023-09-11,1.79,0.22,0.53
2023-09-12,1.46,-0.33,0.435
2023-09-13,1.63,-0.17,0.485
2023-09-14,2.27,-0.64,0.667
2023-09-15,1.92,0.35,0.557
2023-09-18,2.02,0.1,0.592
2023-09-19,1.39,-0.63,0.41
2023-09-20,1.45,-0.06,0.428
2023-09-21,0.84,-0.61,0.252
2023-09-22,0.94,0.1,0.283
2023-09-25,1.54,0.4,0.465
2023-09-26,1.83,0.29,0.56
2023-09-27,1.12,0.41,0.342
2023-10-04,1.02,-0.1,0.32
2023-10-05,1.26,0.24,0.395
2023-10-06,1.35,-0.09,0.423
2023-10-10,1.84,-0.49,0.576
2023-10-11,1.61,0.23,0.496
2023-10-12,1.87,-0.26,0.569
2023-10-13,1.42,-0.45,0.436
2023-10-16,1.41,-0.01,0.436
2023-10-17,1.32,0.09,0.403
2023-10-18,1.46,-0.14,0.444
2023-10-19,1.18,-0.28,0.365
2023-10-20,0.95,-0.23,0.299
