"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 10- 27","184.98","184.72","185.26","184.32","","0.05%"
"2023- 10- 26","184.88","184.89","185.93","184.73","","0.04%"
"2023- 10- 25","184.81","183.90","185.07","183.75","","0.54%"
"2023- 10- 24","183.82","183.66","184.37","183.40","","0.20%"
"2023- 10- 23","183.45","184.57","185.21","183.53","","-0.50%"
"2023- 10- 20","184.37","185.57","185.94","184.40","","-0.55%"
"2023- 10- 19","185.39","185.29","185.99","184.95","","0.18%"
"2023- 10- 18","185.06","185.10","185.64","184.39","","0.05%"
"2023- 10- 17","184.96","184.41","185.66","184.26","","0.33%"
"2023- 10- 16","184.36","185.21","185.54","184.34","","-0.38%"
"2023- 10- 13","185.06","184.78","185.32","184.46","","0.19%"
"2023- 10- 12","184.70","183.49","185.09","182.97","","0.75%"
"2023- 10- 11","183.32","184.02","184.21","183.23","","-0.27%"
"2023- 10- 10","183.82","184.81","185.50","183.93","","-0.47%"
"2023- 10- 09","184.68","184.14","185.78","184.10","","0.29%"
"2023- 10- 06","184.14","184.39","185.87","183.90","","-0.08%"
"2023- 10- 05","184.29","185.21","185.50","184.20","","-0.44%"
"2023- 10- 04","185.10","186.54","186.83","184.90","","-0.70%"
"2023- 10- 03","186.40","185.88","186.77","185.57","","0.39%"
"2023- 10- 02","185.68","185.26","186.23","184.79","","0.29%"
"2023- 09- 29","185.14","184.97","185.40","183.76","","0.17%"
"2023- 09- 28","184.82","185.40","185.84","184.54","","-0.24%"
"2023- 09- 27","185.26","185.21","186.04","184.45","","0.15%"
"2023- 09- 26","184.98","183.22","185.34","182.90","","1.10%"
"2023- 09- 25","182.97","182.99","183.49","182.24","","0.11%"
"2023- 09- 22","182.77","183.30","183.62","182.26","","-0.23%"
"2023- 09- 21","183.20","182.96","183.99","182.72","","0.18%"
"2023- 09- 20","182.87","182.12","183.31","181.62","","0.44%"
"2023- 09- 19","182.06","181.58","182.22","180.95","","0.30%"
"2023- 09- 18","181.51","182.74","182.83","181.49","","-0.60%"
"2023- 09- 15","182.61","182.74","183.27","182.12","","-0.02%"
"2023- 09- 14","182.65","182.67","182.96","181.92","","0.12%"
"2023- 09- 13","182.43","181.95","182.94","181.52","","0.32%"
"2023- 09- 12","181.85","181.92","182.38","181.52","","0.02%"
"2023- 09- 11","181.81","181.96","183.12","181.50","","0.03%"
"2023- 09- 08","181.75","182.12","182.34","181.33","","-0.09%"
"2023- 09- 07","181.92","182.38","182.85","181.71","","-0.16%"
"2023- 09- 06","182.22","182.07","183.17","181.71","","0.16%"
"2023- 09- 05","181.93","181.27","182.85","181.05","","0.43%"
"2023- 09- 04","181.15","181.57","182.05","181.13","","-0.15%"
"2023- 09- 01","181.42","182.60","182.73","181.01","","-0.61%"
"2023- 08- 31","182.54","181.71","182.79","181.18","","0.50%"
"2023- 08- 30","181.64","181.11","181.91","181.10","","0.35%"
"2023- 08- 29","181.01","181.63","182.20","181.04","","-0.31%"
"2023- 08- 28","181.57","181.70","182.07","180.95","","0.02%"
"2023- 08- 25","181.53","182.49","182.68","181.09","","-0.44%"
"2023- 08- 24","182.33","182.45","182.76","181.07","","0.07%"
"2023- 08- 23","182.20","183.82","184.05","182.27","","-0.79%"
"2023- 08- 22","183.65","183.88","184.29","183.04","","-0.04%"
"2023- 08- 21","183.72","184.05","184.41","183.38","","-0.08%"
"2023- 08- 18","183.87","183.74","184.49","182.74","","0.11%"
"2023- 08- 17","183.66","183.87","184.20","183.17","","-0.05%"
"2023- 08- 16","183.75","183.55","184.39","182.98","","0.16%"
"2023- 08- 15","183.46","184.29","184.38","182.87","","-0.42%"
"2023- 08- 14","184.23","183.83","184.49","183.01","","0.26%"
"2023- 08- 11","183.75","182.62","184.29","182.34","","0.73%"
"2023- 08- 10","182.41","182.13","183.04","181.46","","0.18%"
"2023- 08- 09","182.08","182.48","183.31","181.97","","-0.17%"
"2023- 08- 08","182.39","181.84","183.22","181.46","","0.37%"
"2023- 08- 07","181.72","181.89","182.41","180.65","","-0.07%"
"2023- 08- 04","181.85","181.40","182.68","180.96","","0.34%"
"2023- 08- 03","181.24","180.69","181.60","180.01","","0.35%"
"2023- 08- 02","180.60","179.64","181.15","179.29","","0.57%"
"2023- 08- 01","179.58","178.96","180.04","178.49","","0.38%"
"2023- 07- 31","178.90","178.10","179.09","177.84","","0.49%"
"2023- 07- 28","178.02","179.00","179.12","178.10","","-0.50%"
