"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 10- 27","9.0101","8.9875","9.0139","8.9750","","0.19%"
"2023- 10- 26","8.9934","9.0070","9.0736","8.9930","","-0.08%"
"2023- 10- 25","9.0007","8.9674","9.0288","8.9621","","0.41%"
"2023- 10- 24","8.9640","8.9736","9.0005","8.9619","","0.00%"
"2023- 10- 23","8.9636","9.0147","9.0395","8.9672","","-0.42%"
"2023- 10- 20","9.0017","9.0605","9.0761","8.9973","","-0.56%"
"2023- 10- 19","9.0528","9.0396","9.0820","9.0277","","0.26%"
"2023- 10- 18","9.0293","9.0347","9.0670","9.0044","","-0.01%"
"2023- 10- 17","9.0301","9.0180","9.0728","9.0041","","0.17%"
"2023- 10- 16","9.0146","9.0518","9.0732","9.0120","","-0.29%"
"2023- 10- 13","9.0406","9.0077","9.0552","8.9953","","0.40%"
"2023- 10- 12","9.0045","8.9812","9.0260","8.9482","","0.36%"
"2023- 10- 11","8.9718","9.0281","9.0423","8.9667","","-0.52%"
"2023- 10- 10","9.0186","9.0749","9.1004","9.0223","","-0.56%"
"2023- 10- 09","9.0698","9.0201","9.1013","9.0075","","0.74%"
"2023- 10- 06","9.0031","9.0657","9.0893","8.9945","","-0.64%"
"2023- 10- 05","9.0609","9.0684","9.1066","9.0553","","-0.03%"
"2023- 10- 04","9.0633","9.1394","9.1515","9.0633","","-0.76%"
"2023- 10- 03","9.1323","9.0562","9.2484","9.0409","","0.95%"
"2023- 10- 02","9.0468","9.0474","9.0768","9.0171","","-0.02%"
"2023- 09- 29","9.0487","9.0459","9.0643","8.9993","","0.12%"
"2023- 09- 28","9.0380","9.0613","9.0933","9.0279","","-0.15%"
"2023- 09- 27","9.0520","9.0837","9.1023","9.0393","","-0.24%"
"2023- 09- 26","9.0735","8.9947","9.0950","8.9859","","0.97%"
"2023- 09- 25","8.9866","9.0012","9.0234","8.9650","","-0.04%"
"2023- 09- 22","8.9900","9.0760","9.0932","8.9750","","-0.90%"
"2023- 09- 21","9.0712","8.9884","9.1134","8.9802","","0.95%"
"2023- 09- 20","8.9856","8.9879","9.0106","8.9539","","0.01%"
"2023- 09- 19","8.9851","8.9702","8.9972","8.9369","","0.21%"
"2023- 09- 18","8.9661","8.9981","8.9997","8.9595","","-0.21%"
"2023- 09- 15","8.9846","9.0180","9.0295","8.9671","","-0.34%"
"2023- 09- 14","9.0149","9.0055","9.0393","8.9832","","0.21%"
"2023- 09- 13","8.9957","9.0222","9.0365","8.9832","","-0.22%"
"2023- 09- 12","9.0159","9.0482","9.0640","9.0090","","-0.28%"
"2023- 09- 11","9.0415","9.0903","9.1255","9.0423","","0.12%"
"2023- 09- 08","9.0310","9.0619","9.1022","9.0286","","-0.24%"
"2023- 09- 07","9.0526","9.0379","9.0917","9.0154","","0.24%"
"2023- 09- 06","9.0308","9.0023","9.0571","8.9999","","0.38%"
"2023- 09- 05","8.9965","9.0021","9.0915","8.9880","","0.03%"
"2023- 09- 04","8.9942","9.0182","9.0492","8.9905","","-0.16%"
"2023- 09- 01","9.0083","9.1068","9.1175","9.0094","","-1.05%"
"2023- 08- 31","9.1037","9.0513","9.1211","9.0365","","0.61%"
"2023- 08- 30","9.0483","9.0386","9.0764","9.0277","","0.15%"
"2023- 08- 29","9.0346","9.0359","9.0612","9.0056","","0.02%"
"2023- 08- 28","9.0332","9.0458","9.0636","9.0059","","-0.05%"
"2023- 08- 25","9.0380","9.1088","9.1187","9.0336","","-0.69%"
"2023- 08- 24","9.1008","9.1679","9.1937","9.0616","","-0.61%"
"2023- 08- 23","9.1566","9.1905","9.2402","9.1550","","-0.29%"
"2023- 08- 22","9.1831","9.1709","9.1961","9.1422","","0.26%"
"2023- 08- 21","9.1597","9.2212","9.2500","9.1573","","-0.54%"
"2023- 08- 18","9.2096","9.1852","9.2552","9.1524","","0.30%"
"2023- 08- 17","9.1825","9.1725","9.2041","9.1478","","0.19%"
"2023- 08- 16","9.1651","9.1831","9.2147","9.1638","","-0.15%"
"2023- 08- 15","9.1793","9.1916","9.2162","9.1616","","-0.12%"
"2023- 08- 14","9.1901","9.1776","9.2132","9.1610","","0.16%"
"2023- 08- 11","9.1751","9.1018","9.2093","9.0868","","0.86%"
"2023- 08- 10","9.0971","9.1393","9.1740","9.0713","","-0.42%"
"2023- 08- 09","9.1357","9.1855","9.2252","9.1357","","-0.50%"
"2023- 08- 08","9.1815","9.1793","9.2479","9.1351","","0.10%"
"2023- 08- 07","9.1721","9.2001","9.2341","9.1504","","-0.28%"
"2023- 08- 04","9.1979","9.1195","9.2170","9.0894","","0.95%"
"2023- 08- 03","9.1114","9.0666","9.1551","9.0217","","0.54%"
"2023- 08- 02","9.0625","8.9957","9.1195","8.9925","","0.78%"
"2023- 08- 01","8.9925","8.9833","9.0366","8.9566","","0.15%"
"2023- 07- 31","8.9794","9.0303","9.0722","8.9423","","-0.40%"
"2023- 07- 28","9.0157","9.2085","9.2587","9.0185","","-2.05%"
