,date
0,2023-07-31 00:00:00
1,2023-08-01 00:00:00
2,2023-08-02 00:00:00
3,2023-08-03 00:00:00
4,2023-08-04 00:00:00
5,2023-08-07 00:00:00
6,2023-08-08 00:00:00
7,2023-08-09 00:00:00
8,2023-08-10 00:00:00
9,2023-08-11 00:00:00
10,2023-08-14 00:00:00
11,2023-08-16 00:00:00
12,2023-08-17 00:00:00
13,2023-08-18 00:00:00
14,2023-08-21 00:00:00
15,2023-08-22 00:00:00
16,2023-08-23 00:00:00
17,2023-08-24 00:00:00
18,2023-08-25 00:00:00
19,2023-08-28 00:00:00
20,2023-08-29 00:00:00
21,2023-08-30 00:00:00
22,2023-08-31 00:00:00
23,2023-09-01 00:00:00
24,2023-09-04 00:00:00
25,2023-09-05 00:00:00
26,2023-09-06 00:00:00
27,2023-09-07 00:00:00
28,2023-09-08 00:00:00
29,2023-09-11 00:00:00
30,2023-09-12 00:00:00
31,2023-09-13 00:00:00
32,2023-09-14 00:00:00
33,2023-09-15 00:00:00
34,2023-09-18 00:00:00
35,2023-09-19 00:00:00
36,2023-09-20 00:00:00
37,2023-09-21 00:00:00
38,2023-09-22 00:00:00
39,2023-09-25 00:00:00
40,2023-09-26 00:00:00
41,2023-09-27 00:00:00
42,2023-10-04 00:00:00
43,2023-10-05 00:00:00
44,2023-10-06 00:00:00
45,2023-10-10 00:00:00
46,2023-10-11 00:00:00
47,2023-10-12 00:00:00
48,2023-10-13 00:00:00
49,2023-10-16 00:00:00
50,2023-10-17 00:00:00
51,2023-10-18 00:00:00
52,2023-10-19 00:00:00
53,2023-10-20 00:00:00
