,date,cd_p_change(%),cd_p_range
0,2023-07-31,0.0,0.0
1,2023-08-01,0.0,0.0
2,2023-08-02,0.0,0.0
3,2023-08-03,-0.267,-0.01
4,2023-08-04,-0.268,-0.01
5,2023-08-07,0.0,0.0
6,2023-08-08,-0.538,-0.02
7,2023-08-09,0.0,0.0
8,2023-08-10,-0.541,-0.02
9,2023-08-11,0.272,0.01
10,2023-08-14,0.0,0.0
11,2023-08-16,0.271,0.01
12,2023-08-17,0.0,0.0
13,2023-08-18,0.0,0.0
14,2023-08-21,0.0,0.0
15,2023-08-22,0.0,0.0
16,2023-08-23,-0.27,-0.01
17,2023-08-24,0.0,0.0
18,2023-08-25,0.0,0.0
19,2023-08-28,0.0,0.0
20,2023-08-29,0.0,0.0
21,2023-08-30,0.0,0.0
22,2023-08-31,0.0,0.0
23,2023-09-01,-0.271,-0.01
24,2023-09-04,0.272,0.01
25,2023-09-05,0.271,0.01
26,2023-09-06,0.27,0.01
27,2023-09-07,0.27,0.01
28,2023-09-08,0.0,0.0
29,2023-09-11,0.0,0.0
30,2023-09-12,0.269,0.01
31,2023-09-13,0.536,0.02
32,2023-09-14,0.267,0.01
33,2023-09-15,0.532,0.02
34,2023-09-18,0.265,0.01
35,2023-09-19,0.264,0.01
36,2023-09-20,0.263,0.01
37,2023-09-21,0.262,0.01
38,2023-09-22,0.262,0.01
39,2023-09-25,0.0,0.0
40,2023-09-26,0.0,0.0
41,2023-09-27,0.0,0.0
42,2023-10-04,0.261,0.01
43,2023-10-05,-0.26,-0.01
44,2023-10-06,-0.261,-0.01
45,2023-10-10,0.0,0.0
46,2023-10-11,0.0,0.0
47,2023-10-12,0.0,0.0
48,2023-10-13,0.0,0.0
49,2023-10-16,0.0,0.0
50,2023-10-17,0.0,0.0
51,2023-10-18,0.0,0.0
52,2023-10-19,0.0,0.0
53,2023-10-20,0.0,0.0
