date,basis,basis_risk,basis_disparate_ratio,cd_p_change(%),cd_p_range,cny_yesterday_change,cny_night_change,jpy_yesterday_change,jpy_night_change,kospi_p_change(%),kospi_p_range,ks200_p_change(%),ks200_p_range,NAS_close_change,NAS_day_change,NAS_day_fluc_range,niv_night_change,P/C Ratio,put_volume_fluc,call_volume_fluc,sp_close_change,sp_day_change,sp_day_fluc_range,usd_yesterday_change,usd_night_change,vix_close_change,vix_day_change,vix_day_fluc_range,VKOSPI_Label
2023-07-31,3.13,-0.43,0.904,0.0,0.0,0.346,-0.824,0.102,0.42,-0.027,14.0,-0.038,1.9,1.9,0.823,156.25,0.43,1.13,5.178,-7.832,0.99,0.361,26.15,-0.883,0.039,-7.49,-4.989,0.91,0
2023-08-01,3.56,-0.43,1.019,0.0,0.0,0.534,-0.908,0.743,-0.874,0.331,22.87,0.186,3.06,0.21,0.057,78.16,-1.092,0.97,0.882,17.359,0.15,0.09,21.08,0.356,0.033,2.25,-2.504,0.52,0
2023-08-02,3.49,-0.07,1.0,0.0,0.0,0.304,-0.883,0.494,-1.27,-0.035,14.04,-0.155,1.62,-0.43,0.063,93.57,1.498,0.99,22.169,20.248,-0.27,-0.046,17.09,0.839,0.031,2.2,1.309,0.55,1
2023-08-03,2.09,-1.4,0.607,-0.267,-0.01,0.248,-0.638,0.86,-1.427,0.199,22.67,0.163,3.01,-2.17,-1.127,219.04,5.074,1.24,19.969,-4.319,-1.38,-0.825,45.18,0.739,0.042,15.51,2.484,1.53,1
2023-08-04,3.31,1.22,0.969,-0.268,-0.01,-0.093,-0.176,-0.304,-0.573,0.065,12.62,-0.015,1.85,-0.1,0.431,150.93,3.146,0.95,-4.419,24.606,-0.25,0.17,33.95,-0.035,0.071,-1.06,-5.069,1.7,0
2023-08-07,2.26,1.05,0.66,0.0,0.0,0.302,-0.274,0.024,0.203,0.197,14.16,0.346,3.11,-0.36,-0.832,221.29,2.589,1.06,4.463,-6.215,-0.53,-0.796,65.79,0.319,0.016,7.41,6.808,2.82,0
2023-08-08,1.2,-1.06,0.352,-0.538,-0.02,-0.219,-0.132,-0.542,0.477,0.16,16.09,0.047,2.58,0.61,0.157,132.23,-1.767,0.91,-1.401,13.884,0.9,0.598,28.69,0.231,0.048,-7.78,-6.686,1.59,1
2023-08-09,2.56,-0.84,0.751,0.0,0.0,0.154,0.038,-0.462,0.972,0.068,23.9,-0.05,3.17,-0.79,0.064,130.4,-0.099,1.02,65.515,48.18,-0.42,0.03,38.92,0.672,0.023,1.4,-1.781,2.18,0
2023-08-10,2.41,-0.15,0.709,-0.541,-0.02,0.619,-0.882,0.805,-0.39,0.12,7.65,-0.012,1.02,-1.17,-1.263,200.15,0.0,1.05,-19.689,-21.881,-0.7,-0.752,41.11,-0.299,0.002,-0.19,0.949,1.49,0
2023-08-11,3.12,-0.71,0.915,0.272,0.01,0.218,-0.874,0.136,-0.961,-0.333,17.65,-0.286,2.46,0.12,-0.581,260.65,0.0,1.04,-10.175,-9.487,0.03,-0.408,69.45,0.289,0.094,-0.69,1.733,2.26,0
2023-08-14,2.25,-0.87,0.667,0.0,0.0,0.109,0.044,-0.196,0.136,-0.604,16.6,-0.569,2.37,-0.68,0.082,110.35,-2.236,1.16,-61.225,-65.087,-0.11,0.3,32.25,0.923,0.023,-6.37,-4.443,1.67,1
2023-08-16,2.01,-0.24,0.605,0.271,0.01,-0.114,-0.06,0.109,0.007,-0.359,18.01,-0.336,2.39,-0.09,0.452,184.86,4.562,0.9,-11.772,13.975,-0.58,-0.207,41.785,-0.114,0.034,11.07,10.1,1.66,1
2023-08-17,2.28,0.27,0.697,0.0,0.0,0.071,0.0,0.266,-0.403,0.349,30.86,0.279,3.89,-1.15,-0.872,171.29,-1.152,0.94,16.81,11.155,-0.76,-0.664,46.4,0.325,0.054,1.94,1.451,1.13,0
