,date,P/C Ratio,put_volume_fluc,call_volume_fluc
0,2023-07-31,1.13,5.178,-7.832
1,2023-08-01,0.97,0.882,17.359
2,2023-08-02,0.99,22.169,20.248
3,2023-08-03,1.24,19.969,-4.319
4,2023-08-04,0.95,-4.419,24.606
5,2023-08-07,1.06,4.463,-6.215
6,2023-08-08,0.91,-1.401,13.884
7,2023-08-09,1.02,65.515,48.18
8,2023-08-10,1.05,-19.689,-21.881
9,2023-08-11,1.04,-10.175,-9.487
10,2023-08-14,1.16,-61.225,-65.087
11,2023-08-16,0.9,-11.772,13.975
12,2023-08-17,0.94,16.81,11.155
13,2023-08-18,1.03,45.564,32.39
14,2023-08-21,0.98,-33.046,-29.439
15,2023-08-22,1.01,-10.94,-13.823
16,2023-08-23,1.27,36.359,8.842
17,2023-08-24,1.01,-23.268,-3.781
18,2023-08-25,1.49,38.667,-5.5
19,2023-08-28,1.13,-18.996,6.52
20,2023-08-29,1.21,-10.66,-16.185
21,2023-08-30,1.17,17.657,21.369
22,2023-08-31,1.26,4.38,-3.553
23,2023-09-01,0.88,-30.902,-0.202
24,2023-09-04,1.1,82.344,45.763
25,2023-09-05,1.09,-11.839,-11.021
26,2023-09-06,0.96,-20.144,-9.553
27,2023-09-07,1.07,18.336,5.622
28,2023-09-08,0.91,-2.269,15.031
29,2023-09-11,0.98,41.154,31.97
30,2023-09-12,0.98,1.444,0.945
31,2023-09-13,0.88,31.33,46.43
32,2023-09-14,0.92,9.733,4.785
33,2023-09-15,1.1,16.478,-2.324
34,2023-09-18,1.2,-52.5,-56.424
35,2023-09-19,1.16,-35.781,-33.587
36,2023-09-20,0.93,-9.872,12.389
37,2023-09-21,0.9,-16.071,-13.694
38,2023-09-22,0.82,42.404,56.807
39,2023-09-25,1.06,24.434,-3.402
40,2023-09-26,0.69,-33.137,1.702
41,2023-09-27,1.04,43.365,-4.23
42,2023-10-04,0.97,19.408,27.653
43,2023-10-05,1.21,43.31,15.01
44,2023-10-06,1.1,-11.59,-2.268
45,2023-10-10,0.97,-15.468,-4.057
46,2023-10-11,0.93,59.366,64.797
47,2023-10-12,0.91,29.173,32.345
48,2023-10-13,1.03,3.52,-8.573
49,2023-10-16,1.1,-76.269,-77.699
50,2023-10-17,0.99,57.66,75.194
51,2023-10-18,1.16,17.694,0.401
52,2023-10-19,1.2,-23.508,-26.456
53,2023-10-20,1.18,22.575,24.843
