,날짜,VKOSPI 당일 변동율
0,2023-08-07,-1.831
1,2023-08-08,-1.628
2,2023-08-09,1.852
3,2023-08-10,-7.637
4,2023-08-11,-3.448
5,2023-08-14,-1.754
6,2023-08-16,0.928
7,2023-08-17,1.746
8,2023-08-18,-1.828
9,2023-08-21,-5.26
10,2023-08-22,-1.536
11,2023-08-23,-1.161
12,2023-08-24,-4.771
13,2023-08-25,-2.586
14,2023-08-28,-2.237
15,2023-08-29,-2.409
16,2023-08-30,-2.88
17,2023-08-31,-0.685
18,2023-09-01,-0.776
19,2023-09-04,-1.648
20,2023-09-05,-2.574
21,2023-09-06,-0.719
22,2023-09-07,0.565
23,2023-09-08,1.116
24,2023-09-11,-0.879
25,2023-09-12,-1.036
26,2023-09-13,1.307
27,2023-09-14,0.797
28,2023-09-15,-3.221
29,2023-09-18,-1.594
30,2023-09-19,0.705
31,2023-09-20,0.778
32,2023-09-21,-0.61
33,2023-09-22,4.726
34,2023-09-25,-7.016
35,2023-09-26,-4.212
36,2023-09-27,4.391
37,2023-10-04,-2.268
38,2023-10-05,5.42
39,2023-10-06,1.404
40,2023-10-10,1.636
41,2023-10-11,4.711
42,2023-10-12,-0.238
43,2023-10-13,-3.146
44,2023-10-16,-2.027
45,2023-10-17,0.887
46,2023-10-18,-0.308
47,2023-10-19,-2.2
48,2023-10-20,5.133
49,2023-10-23,2.681
50,2023-10-24,-1.355
51,2023-10-25,-1.311
52,2023-10-26,0.924
53,2023-10-27,4.705
54,2023-10-30,0.2
55,2023-10-31,-4.8
56,2023-11-01,3.325
57,2023-11-02,-1.572
58,2023-11-03,-1.354
