,날짜,VKOSPI 당일 변동율
0,2023-04-10,-1.539
1,2023-04-11,0.191
2,2023-04-12,-0.128
3,2023-04-13,0.0
4,2023-04-14,-2.329
5,2023-04-17,-2.528
6,2023-04-18,-2.64
7,2023-04-19,-1.621
8,2023-04-20,-1.459
9,2023-04-21,-1.215
10,2023-04-24,-1.549
11,2023-04-25,-1.914
12,2023-04-26,1.486
13,2023-04-27,-0.33
14,2023-04-28,-3.066
15,2023-05-02,-0.616
16,2023-05-03,-2.671
17,2023-05-04,2.723
18,2023-05-08,-0.844
19,2023-05-09,-0.602
20,2023-05-10,-3.874
21,2023-05-11,2.144
22,2023-05-12,-0.07
23,2023-05-15,-2.791
24,2023-05-16,-4.824
25,2023-05-17,0.891
26,2023-05-18,-1.386
27,2023-05-19,1.347
28,2023-05-22,3.139
29,2023-05-23,-1.471
30,2023-05-24,-1.887
31,2023-05-25,0.609
32,2023-05-26,0.803
33,2023-05-30,-0.267
34,2023-05-31,-3.523
35,2023-06-01,-0.538
36,2023-06-02,-2.048
37,2023-06-05,-0.711
38,2023-06-07,-0.565
39,2023-06-08,-1.438
40,2023-06-09,-0.665
41,2023-06-12,-0.829
42,2023-06-13,-1.393
43,2023-06-14,-0.29
44,2023-06-15,-1.883
45,2023-06-16,-0.376
46,2023-06-19,-3.527
47,2023-06-20,-2.484
48,2023-06-21,-2.908
49,2023-06-22,1.829
50,2023-06-23,-0.972
51,2023-06-26,-0.534
52,2023-06-27,-1.175
53,2023-06-28,-3.231
54,2023-06-29,-1.355
55,2023-06-30,0.233
56,2023-07-03,-4.476
57,2023-07-04,-0.779
58,2023-07-05,-3.765
59,2023-07-06,-0.643
60,2023-07-07,3.262
61,2023-07-10,5.119
62,2023-07-11,1.456
63,2023-07-12,-0.718
64,2023-07-13,0.218
65,2023-07-14,-1.267
66,2023-07-17,2.169
67,2023-07-18,-2.221
68,2023-07-19,-1.581
69,2023-07-20,-1.375
70,2023-07-21,-0.151
71,2023-07-24,-2.838
72,2023-07-25,1.583
73,2023-07-26,-1.124
74,2023-07-27,2.324
75,2023-07-28,-3.472
76,2023-07-31,-1.325
77,2023-08-01,-0.976
78,2023-08-02,-1.333
79,2023-08-03,6.741
80,2023-08-04,3.117
81,2023-08-07,-1.831
82,2023-08-08,-1.628
83,2023-08-09,1.852
84,2023-08-10,-7.637
85,2023-08-11,-3.448
86,2023-08-14,-1.754
87,2023-08-16,0.928
88,2023-08-17,1.746
89,2023-08-18,-1.828
90,2023-08-21,-5.26
91,2023-08-22,-1.536
92,2023-08-23,-1.161
93,2023-08-24,-4.771
94,2023-08-25,-2.586
95,2023-08-28,-2.237
96,2023-08-29,-2.409
97,2023-08-30,-2.88
98,2023-08-31,-0.685
99,2023-09-01,-0.776
100,2023-09-04,-1.648
101,2023-09-05,-2.574
102,2023-09-06,-0.719
103,2023-09-07,0.565
104,2023-09-08,1.116
105,2023-09-11,-0.879
106,2023-09-12,-1.036
107,2023-09-13,1.307
108,2023-09-14,0.797
109,2023-09-15,-3.221
110,2023-09-18,-1.594
111,2023-09-19,0.705
112,2023-09-20,0.778
113,2023-09-21,-0.61
114,2023-09-22,4.726
115,2023-09-25,-7.016
116,2023-09-26,-4.212
117,2023-09-27,4.391
118,2023-10-04,-2.268
119,2023-10-05,5.42
120,2023-10-06,1.404
121,2023-10-10,1.636
122,2023-10-11,4.711
123,2023-10-12,-0.238
124,2023-10-13,-3.146
125,2023-10-16,-2.027
126,2023-10-17,0.887
127,2023-10-18,-0.308
128,2023-10-19,-2.2
129,2023-10-20,5.133
130,2023-10-23,2.681
131,2023-10-24,-1.355
132,2023-10-25,-1.311
133,2023-10-26,0.924
134,2023-10-27,4.705
135,2023-10-30,0.2
136,2023-10-31,-4.8
137,2023-11-01,3.325
138,2023-11-02,-1.572
139,2023-11-03,-1.354
