date,cd_interest_rate
2022-10-10,3.32
2022-10-11,3.32
2022-10-12,3.63
2022-10-13,3.66
2022-10-14,3.66
2022-10-17,3.7
2022-10-18,3.76
2022-10-19,3.81
2022-10-20,3.85
2022-10-21,3.9
2022-10-24,3.92
2022-10-25,3.93
2022-10-26,3.94
2022-10-27,3.94
2022-10-28,3.95
2022-10-31,3.96
2022-11-01,3.97
2022-11-02,3.97
2022-11-03,3.97
2022-11-04,3.97
2022-11-07,3.97
2022-11-08,3.97
2022-11-09,3.97
2022-11-10,3.97
2022-11-11,3.97
2022-11-14,3.97
2022-11-15,3.97
2022-11-16,3.97
2022-11-17,3.99
2022-11-18,3.99
2022-11-21,4.01
2022-11-22,4.02
2022-11-23,4.02
2022-11-24,4.03
2022-11-25,4.03
2022-11-28,4.03
2022-11-29,4.03
2022-11-30,4.03
2022-12-01,4.03
2022-12-02,4.03
2022-12-05,4.03
2022-12-06,4.03
2022-12-07,4.03
2022-12-08,4.03
2022-12-09,4.03
2022-12-12,4.03
2022-12-13,4.03
2022-12-14,4.03
2022-12-15,4.03
2022-12-16,4.03
2022-12-19,4.03
2022-12-20,4.03
2022-12-21,4.03
2022-12-22,4.03
2022-12-23,4.03
2022-12-26,4.03
2022-12-27,3.98
2022-12-28,3.98
2022-12-29,3.98
2022-12-30,3.98
2023-01-02,3.98
2023-01-03,3.96
2023-01-04,3.96
2023-01-05,3.96
2023-01-06,3.92
2023-01-09,3.92
2023-01-10,3.9
2023-01-11,3.88
2023-01-12,3.87
2023-01-13,3.88
2023-01-16,3.79
2023-01-17,3.74
2023-01-18,3.7
2023-01-19,3.68
2023-01-20,3.67
2023-01-25,3.66
2023-01-26,3.65
2023-01-27,3.64
2023-01-30,3.63
2023-01-31,3.63
2023-02-01,3.59
2023-02-02,3.52
2023-02-03,3.49
2023-02-06,3.47
2023-02-07,3.46
2023-02-08,3.46
2023-02-09,3.46
2023-02-10,3.47
2023-02-13,3.48
2023-02-14,3.48
2023-02-15,3.49
2023-02-16,3.5
2023-02-17,3.52
2023-02-20,3.53
2023-02-21,3.54
2023-02-22,3.56
2023-02-23,3.59
2023-02-24,3.59
2023-02-27,3.59
2023-02-28,3.59
2023-03-02,3.61
2023-03-03,3.61
2023-03-06,3.61
2023-03-07,3.61
2023-03-08,3.61
2023-03-09,3.61
2023-03-10,3.61
2023-03-13,3.61
2023-03-14,3.61
2023-03-15,3.61
2023-03-16,3.62
2023-03-17,3.62
2023-03-20,3.62
2023-03-21,3.62
2023-03-22,3.62
2023-03-23,3.62
2023-03-24,3.59
2023-03-27,3.59
2023-03-28,3.59
2023-03-29,3.59
2023-03-30,3.59
2023-03-31,3.59
2023-04-03,3.59
2023-04-04,3.59
2023-04-05,3.59
2023-04-06,3.58
2023-04-07,3.53
2023-04-10,3.51
2023-04-11,3.48
2023-04-12,3.43
2023-04-13,3.43
2023-04-14,3.43
2023-04-17,3.43
2023-04-18,3.44
2023-04-19,3.45
2023-04-20,3.47
2023-04-21,3.49
2023-04-24,3.49
2023-04-25,3.49
2023-04-26,3.5
2023-04-27,3.52
2023-04-28,3.52
2023-05-02,3.53
2023-05-03,3.55
2023-05-04,3.55
2023-05-08,3.55
2023-05-09,3.55
2023-05-10,3.59
2023-05-11,3.6
2023-05-12,3.61
2023-05-15,3.62
2023-05-16,3.62
2023-05-17,3.65
2023-05-18,3.66
2023-05-19,3.67
2023-05-22,3.68
2023-05-23,3.7
2023-05-24,3.73
2023-05-25,3.75
2023-05-26,3.75
2023-05-30,3.76
2023-05-31,3.76
2023-06-01,3.76
2023-06-02,3.76
2023-06-05,3.76
2023-06-07,3.75
2023-06-08,3.75
2023-06-09,3.75
2023-06-12,3.75
2023-06-13,3.75
2023-06-14,3.75
2023-06-15,3.75
2023-06-16,3.75
2023-06-19,3.75
2023-06-20,3.75
2023-06-21,3.75
2023-06-22,3.75
2023-06-23,3.75
2023-06-26,3.75
2023-06-27,3.75
2023-06-28,3.75
2023-06-29,3.75
2023-06-30,3.75
2023-07-03,3.75
2023-07-04,3.74
2023-07-05,3.74
2023-07-06,3.74
2023-07-07,3.75
2023-07-10,3.75
2023-07-11,3.75
2023-07-12,3.75
2023-07-13,3.75
2023-07-14,3.75
2023-07-17,3.75
2023-07-18,3.75
2023-07-19,3.75
2023-07-20,3.75
2023-07-21,3.75
2023-07-24,3.75
2023-07-25,3.75
2023-07-26,3.75
2023-07-27,3.74
2023-07-28,3.74
2023-07-31,3.74
2023-08-01,3.74
2023-08-02,3.74
2023-08-03,3.73
2023-08-04,3.72
2023-08-07,3.72
2023-08-08,3.7
2023-08-09,3.7
2023-08-10,3.68
2023-08-11,3.69
2023-08-14,3.69
2023-08-16,3.7
2023-08-17,3.7
2023-08-18,3.7
2023-08-21,3.7
2023-08-22,3.7
2023-08-23,3.69
2023-08-24,3.69
2023-08-25,3.69
2023-08-28,3.69
2023-08-29,3.69
2023-08-30,3.69
2023-08-31,3.69
2023-09-01,3.68
2023-09-04,3.69
2023-09-05,3.7
2023-09-06,3.71
2023-09-07,3.72
2023-09-08,3.72
2023-09-11,3.72
2023-09-12,3.73
2023-09-13,3.75
2023-09-14,3.76
2023-09-15,3.78
2023-09-18,3.79
2023-09-19,3.8
2023-09-20,3.81
2023-09-21,3.82
2023-09-22,3.83
2023-09-25,3.83
2023-09-26,3.83
2023-09-27,3.83
2023-10-04,3.84
2023-10-05,3.83
2023-10-06,3.82
2023-10-10,3.82
2023-10-11,3.82
2023-10-12,3.82
2023-10-13,3.82
2023-10-16,3.82
2023-10-17,3.82
2023-10-18,3.82
2023-10-19,3.82
2023-10-20,3.82
2023-10-23,3.82
2023-10-24,3.82
2023-10-25,3.82
2023-10-26,3.82
2023-10-27,3.82
2023-10-30,3.82
2023-10-31,3.82
2023-11-01,3.83
