"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 10- 31","2,284.70","2,318.39","2,322.45","2,280.75","273.04K","-1.12%"
"2023- 10- 30","2,310.55","2,292.34","2,317.75","2,292.34","444.84K","0.34%"
"2023- 10- 27","2,302.81","2,311.59","2,321.84","2,293.05","514.88M","0.16%"
"2023- 10- 26","2,299.08","2,325.82","2,330.55","2,299.08","531.07M","-2.71%"
"2023- 10- 25","2,363.17","2,389.23","2,389.90","2,362.69","440.81M","-0.85%"
"2023- 10- 24","2,383.51","2,371.55","2,384.14","2,326.67","444.16M","1.12%"
"2023- 10- 23","2,357.02","2,370.07","2,375.79","2,354.70","395.93M","-0.76%"
"2023- 10- 20","2,375.00","2,391.54","2,394.67","2,364.01","521.21M","-1.69%"
"2023- 10- 19","2,415.80","2,431.92","2,433.45","2,412.55","756.95M","-1.90%"
"2023- 10- 18","2,462.60","2,452.05","2,465.33","2,450.78","911.55M","0.10%"
"2023- 10- 17","2,460.17","2,454.14","2,466.87","2,449.42","509.38M","0.98%"
"2023- 10- 16","2,436.24","2,442.43","2,453.77","2,422.52","788.36M","-0.81%"
"2023- 10- 13","2,456.15","2,460.85","2,466.62","2,452.83","582.88M","-0.95%"
"2023- 10- 12","2,479.82","2,465.19","2,479.82","2,464.84","515.45M","1.21%"
"2023- 10- 11","2,450.08","2,436.52","2,463.56","2,436.52","446.95M","1.98%"
"2023- 10- 10","2,402.58","2,436.58","2,448.24","2,402.44","416.00M","-0.26%"
"2023- 10- 06","2,408.73","2,408.81","2,421.18","2,403.92","289.39M","0.21%"
"2023- 10- 05","2,403.60","2,423.35","2,426.61","2,402.50","451.72M","-0.09%"
"2023- 10- 04","2,405.69","2,435.78","2,435.78","2,402.84","424.86M","-2.41%"
"2023- 09- 27","2,465.07","2,447.99","2,469.72","2,445.51","366.24M","0.09%"
"2023- 09- 26","2,462.97","2,493.64","2,495.00","2,461.59","427.48M","-1.31%"
"2023- 09- 25","2,495.76","2,504.10","2,509.38","2,486.44","438.62M","-0.49%"
"2023- 09- 22","2,508.13","2,491.45","2,513.26","2,486.14","433.18M","-0.27%"
"2023- 09- 21","2,514.97","2,544.81","2,549.63","2,514.96","394.68M","-1.75%"
"2023- 09- 20","2,559.74","2,556.55","2,566.62","2,551.12","414.67M","0.02%"
