"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 10- 30","12,789.48","12,750.46","12,842.96","12,691.56","801.65M","1.16%"
"2023- 10- 27","12,643.01","12,718.69","12,772.43","12,600.57","856.38M","0.38%"
"2023- 10- 26","12,595.61","12,768.97","12,818.14","12,543.86","941.24M","-1.76%"
"2023- 10- 25","12,821.22","13,039.86","13,042.52","12,804.30","950.80M","-2.43%"
"2023- 10- 24","13,139.88","13,084.99","13,170.39","13,022.85","878.12M","0.93%"
"2023- 10- 23","13,018.33","12,930.85","13,143.22","12,848.83","859.07M","0.27%"
"2023- 10- 20","12,983.81","13,157.77","13,177.35","12,977.43","1.03B","-1.53%"
"2023- 10- 19","13,186.17","13,354.80","13,404.73","13,157.33","920.00M","-0.96%"
"2023- 10- 18","13,314.30","13,439.68","13,499.74","13,275.30","843.06M","-1.62%"
"2023- 10- 17","13,533.75","13,419.87","13,602.25","13,364.74","906.42M","-0.25%"
"2023- 10- 16","13,567.98","13,453.81","13,598.05","13,447.17","832.45M","1.20%"
"2023- 10- 13","13,407.23","13,613.59","13,619.54","13,361.85","843.48M","-1.23%"
"2023- 10- 12","13,574.22","13,672.47","13,714.14","13,491.56","921.27M","-0.63%"
"2023- 10- 11","13,659.68","13,619.21","13,671.11","13,549.29","797.05M","0.71%"
"2023- 10- 10","13,562.84","13,505.81","13,659.63","13,491.81","823.87M","0.58%"
"2023- 10- 09","13,484.24","13,326.22","13,509.30","13,277.48","723.95M","0.39%"
"2023- 10- 06","13,431.34","13,127.68","13,472.27","13,099.03","860.52M","1.60%"
"2023- 10- 05","13,219.83","13,228.12","13,251.18","13,087.57","870.00M","-0.12%"
"2023- 10- 04","13,236.01","13,092.92","13,258.76","13,072.51","854.22M","1.35%"
"2023- 10- 03","13,059.47","13,229.68","13,280.04","13,008.60","889.31M","-1.87%"
"2023- 10- 02","13,307.77","13,217.99","13,364.03","13,204.08","877.57M","0.67%"
"2023- 09- 29","13,219.32","13,337.71","13,382.98","13,177.09","1.02B","0.14%"
"2023- 09- 28","13,201.28","13,043.37","13,270.97","13,025.11","884.75M","0.83%"
"2023- 09- 27","13,092.85","13,115.36","13,156.37","12,963.16","894.11M","0.22%"
"2023- 09- 26","13,063.61","13,180.96","13,199.13","13,033.40","891.04M","-1.57%"
"2023- 09- 25","13,271.32","13,172.54","13,277.83","13,132.00","769.22M","0.45%"
"2023- 09- 22","13,211.81","13,287.17","13,353.22","13,200.64","831.54M","-0.09%"
"2023- 09- 21","13,223.99","13,328.06","13,362.23","13,222.56","928.74M","-1.82%"
"2023- 09- 20","13,469.13","13,710.26","13,727.81","13,467.28","835.28M","-1.53%"
"2023- 09- 19","13,678.19","13,649.44","13,705.15","13,578.87","881.73M","-0.23%"
"2023- 09- 18","13,710.24","13,669.96","13,751.28","13,663.46","962.57M","0.01%"
"2023- 09- 15","13,708.33","13,889.20","13,895.75","13,684.24","3.05B","-1.56%"
"2023- 09- 14","13,926.05","13,889.76","13,957.57","13,810.66","930.53M","0.81%"
"2023- 09- 13","13,813.58","13,773.67","13,868.57","13,733.82","929.03M","0.29%"
"2023- 09- 12","13,773.62","13,858.94","13,913.60","13,763.69","853.61M","-1.04%"
"2023- 09- 11","13,917.89","13,884.03","13,937.46","13,805.13","853.34M","1.14%"
"2023- 09- 08","13,761.53","13,754.71","13,843.37","13,733.18","781.91M","0.09%"
"2023- 09- 07","13,748.83","13,675.11","13,774.63","13,642.47","920.58M","-0.89%"
"2023- 09- 06","13,872.47","13,988.81","14,001.95","13,802.42","826.45M","-1.06%"
"2023- 09- 05","14,020.95","13,994.54","14,060.85","13,945.65","882.28M","-0.08%"
"2023- 09- 01","14,031.82","14,129.96","14,149.62","13,982.42","820.13M","-0.02%"
"2023- 08- 31","14,034.97","14,041.54","14,114.67","14,010.48","1.13B","0.11%"
"2023- 08- 30","14,019.31","13,961.77","14,050.82","13,924.20","829.23M","0.54%"
"2023- 08- 29","13,943.76","13,687.23","13,959.81","13,677.06","865.54M","1.74%"
"2023- 08- 28","13,705.13","13,695.36","13,735.98","13,626.64","674.53M","0.84%"
"2023- 08- 25","13,590.65","13,514.37","13,633.42","13,376.34","782.12M","0.94%"
"2023- 08- 24","13,463.97","13,834.31","13,834.68","13,462.84","891.76M","-1.87%"
"2023- 08- 23","13,721.03","13,532.43","13,757.00","13,532.43","811.82M","1.59%"
"2023- 08- 22","13,505.87","13,593.95","13,598.76","13,484.38","780.24M","0.06%"
"2023- 08- 21","13,497.59","13,347.26","13,516.86","13,325.59","828.82M","1.56%"
"2023- 08- 18","13,290.78","13,190.02","13,335.87","13,161.76","980.92M","-0.20%"
"2023- 08- 17","13,316.93","13,527.30","13,535.09","13,303.45","956.29M","-1.17%"
"2023- 08- 16","13,474.63","13,593.17","13,644.32","13,473.03","993.03M","-1.15%"
"2023- 08- 15","13,631.05","13,760.48","13,774.98","13,611.93","816.65M","-1.14%"
"2023- 08- 14","13,788.33","13,599.00","13,789.16","13,582.49","836.91M","1.05%"
"2023- 08- 11","13,644.85","13,633.65","13,720.33","13,609.98","842.28M","-0.68%"
"2023- 08- 10","13,737.99","13,818.25","13,947.16","13,686.51","979.72M","0.12%"
"2023- 08- 09","13,722.02","13,897.61","13,898.54","13,698.39","1.06B","-1.17%"
"2023- 08- 08","13,884.32","13,875.45","13,899.74","13,769.34","1.04B","-0.79%"
"2023- 08- 07","13,994.40","13,972.45","13,997.15","13,864.92","957.81M","0.61%"
"2023- 08- 04","13,909.24","14,025.96","14,119.22","13,897.93","1.00B","-0.36%"
"2023- 08- 03","13,959.71","13,899.76","14,032.28","13,881.35","1.03B","-0.10%"
"2023- 08- 02","13,973.45","14,132.73","14,133.85","13,914.81","1.06B","-2.17%"
"2023- 08- 01","14,283.91","14,274.93","14,309.21","14,215.64","909.92M","-0.43%"
"2023- 07- 31","14,346.02","14,337.90","14,370.91","14,292.75","1.08B","0.21%"
"2023- 07- 28","14,316.66","14,199.83","14,344.35","14,188.10","937.55M","1.90%"
"2023- 07- 27","14,050.11","14,319.16","14,360.20","14,006.92","1.00B","-0.55%"
"2023- 07- 26","14,127.28","14,123.52","14,187.35","14,041.95","883.42M","-0.12%"
"2023- 07- 25","14,144.55","14,093.24","14,201.91","14,092.52","864.05M","0.61%"
"2023- 07- 24","14,058.87","14,081.63","14,110.15","13,997.13","812.22M","0.19%"
"2023- 07- 21","14,032.80","14,148.17","14,179.01","14,020.45","1.45B","-0.22%"
"2023- 07- 20","14,063.31","14,273.29","14,309.92","14,030.63","996.24M","-2.05%"
"2023- 07- 19","14,358.02","14,398.53","14,446.55","14,317.09","978.63M","0.03%"
"2023- 07- 18","14,353.64","14,212.25","14,396.69","14,176.11","930.20M","0.76%"
"2023- 07- 17","14,244.95","14,149.92","14,274.41","14,138.00","914.53M","0.93%"
"2023- 07- 14","14,113.70","14,166.66","14,232.11","14,081.96","996.35M","-0.18%"
"2023- 07- 13","14,138.57","14,021.15","14,163.80","14,012.24","962.46M","1.58%"
"2023- 07- 12","13,918.96","13,915.64","13,963.45","13,842.13","1.01B","1.15%"
"2023- 07- 11","13,760.70","13,709.82","13,774.83","13,643.32","913.10M","0.55%"
"2023- 07- 10","13,685.48","13,645.37","13,692.41","13,584.87","1.00B","0.18%"
"2023- 07- 07","13,660.72","13,668.07","13,804.51","13,656.74","949.89M","-0.13%"
