일자,종목코드,종목명,선물가격,현물가격,선물이론가격,시장베이시스,이론베이시스,괴리율
"2023/10/31","101TC000","코스피200 F 202312","307.10","305.56","306.97","1.54","1.41","0.04"
"2023/10/30","101TC000","코스피200 F 202312","310.20","308.95","310.41","1.25","1.46","-0.07"
"2023/10/27","101TC000","코스피200 F 202312","309.20","308.53","310.08","0.67","1.55","-0.28"
"2023/10/26","101TC000","코스피200 F 202312","309.15","307.75","309.33","1.40","1.58","-0.06"
"2023/10/25","101TC000","코스피200 F 202312","317.85","316.49","318.15","1.36","1.66","-0.09"
"2023/10/24","101TC000","코스피200 F 202312","319.55","318.43","320.13","1.12","1.70","-0.18"
"2023/10/23","101TC000","코스피200 F 202312","317.00","315.50","317.22","1.50","1.72","-0.07"
"2023/10/20","101TC000","코스피200 F 202312","318.85","317.96","319.79","0.89","1.83","-0.29"
"2023/10/19","101TC000","코스피200 F 202312","323.70","322.76","324.65","0.94","1.89","-0.29"
"2023/10/18","101TC000","코스피200 F 202312","330.20","328.82","330.78","1.38","1.96","-0.18"
"2023/10/17","101TC000","코스피200 F 202312","328.80","327.35","329.34","1.45","1.99","-0.16"
"2023/10/16","101TC000","코스피200 F 202312","324.85","323.29","325.29","1.56","2.00","-0.14"
"2023/10/13","101TC000","코스피200 F 202312","327.85","325.77","327.88","2.08","2.11","-0.01"
"2023/10/12","101TC000","코스피200 F 202312","330.45","328.85","331.02","1.60","2.17","-0.17"
"2023/10/11","101TC000","코스피200 F 202312","327.00","324.74","326.92","2.26","2.18","0.02"
"2023/10/10","101TC000","코스피200 F 202312","321.45","319.11","321.28","2.34","2.17","0.05"
"2023/10/06","101TC000","코스피200 F 202312","320.50","318.94","321.25","1.56","2.31","-0.23"
"2023/10/05","101TC000","코스피200 F 202312","319.75","318.58","320.93","1.17","2.35","-0.37"
"2023/10/04","101TC000","코스피200 F 202312","320.10","319.45","321.83","0.65","2.38","-0.54"
"2023/09/27","101TC000","코스피200 F 202312","329.00","326.71","329.38","2.29","2.67","-0.12"
"2023/09/26","101TC000","코스피200 F 202312","328.35","326.90","329.61","1.45","2.71","-0.38"
"2023/09/25","101TC000","코스피200 F 202312","333.10","331.58","333.54","1.52","1.96","-0.13"
"2023/09/22","101TC000","코스피200 F 202312","332.85","332.02","334.09","0.83","2.07","-0.37"
"2023/09/21","101TC000","코스피200 F 202312","334.20","333.04","335.14","1.16","2.10","-0.28"
"2023/09/20","101TC000","코스피200 F 202312","340.60","338.75","340.93","1.85","2.18","-0.10"
"2023/09/19","101TC000","코스피200 F 202312","340.75","338.82","341.02","1.93","2.20","-0.08"
"2023/09/18","101TC000","코스피200 F 202312","342.95","340.67","342.92","2.28","2.25","0.01"
"2023/09/15","101TC000","코스피200 F 202312","346.90","344.98","347.36","1.92","2.38","-0.13"
"2023/09/14","101T9000","코스피200 F 202309","340.30","341.19","0.00","-0.89",,
"2023/09/13","101T9000","코스피200 F 202309","336.10","335.99","336.02","0.11","0.03","0.02"
"2023/09/12","101T9000","코스피200 F 202309","335.75","335.54","335.61","0.21","0.07","0.04"
"2023/09/11","101T9000","코스피200 F 202309","338.05","337.58","337.68","0.47","0.10","0.11"
"2023/09/08","101T9000","코스피200 F 202309","336.75","336.40","336.61","0.35","0.21","0.04"
"2023/09/07","101T9000","코스피200 F 202309","336.30","336.74","336.98","-0.44","0.24","-0.20"
"2023/09/06","101T9000","코스피200 F 202309","337.80","337.85","338.12","-0.05","0.27","-0.09"
"2023/09/05","101T9000","코스피200 F 202309","340.50","340.29","340.60","0.21","0.31","-0.03"
"2023/09/04","101T9000","코스피200 F 202309","340.75","341.02","341.36","-0.27","0.34","-0.18"
"2023/09/01","101T9000","코스피200 F 202309","337.85","338.28","338.72","-0.43","0.44","-0.26"
"2023/08/31","101T9000","코스피200 F 202309","334.95","334.75","335.22","0.20","0.47","-0.08"
"2023/08/30","101T9000","코스피200 F 202309","334.75","334.94","335.45","-0.19","0.51","-0.21"
"2023/08/29","101T9000","코스피200 F 202309","333.45","333.76","334.30","-0.31","0.54","-0.25"
"2023/08/28","101T9000","코스피200 F 202309","332.65","332.53","333.10","0.12","0.57","-0.14"
"2023/08/25","101T9000","코스피200 F 202309","330.20","330.25","330.92","-0.05","0.67","-0.22"
"2023/08/24","101T9000","코스피200 F 202309","333.90","333.82","334.53","0.08","0.71","-0.19"
"2023/08/23","101T9000","코스피200 F 202309","329.65","329.15","329.88","0.50","0.73","-0.07"
"2023/08/22","101T9000","코스피200 F 202309","330.00","329.70","330.47","0.30","0.77","-0.14"
"2023/08/21","101T9000","코스피200 F 202309","328.95","328.84","329.64","0.11","0.80","-0.21"
"2023/08/18","101T9000","코스피200 F 202309","328.50","328.42","329.32","0.08","0.90","-0.25"
"2023/08/17","101T9000","코스피200 F 202309","331.00","330.23","331.17","0.77","0.94","-0.05"
"2023/08/16","101T9000","코스피200 F 202309","332.35","331.28","332.25","1.07","0.97","0.03"
"2023/08/14","101T9000","코스피200 F 202309","337.25","336.33","337.38","0.92","1.05","-0.04"
"2023/08/11","101T9000","코스피200 F 202309","340.45","338.98","340.14","1.47","1.16","0.09"
"2023/08/10","101T9000","코스피200 F 202309","340.45","340.46","341.67","-0.01","1.21","-0.36"
"2023/08/09","101T9000","코스피200 F 202309","342.50","341.61","342.86","0.89","1.25","-0.10"
"2023/08/08","101T9000","코스피200 F 202309","339.15","337.95","339.22","1.20","1.27","-0.02"
"2023/08/07","101T9000","코스피200 F 202309","340.95","339.68","341.00","1.27","1.32","-0.01"
"2023/08/04","101T9000","코스피200 F 202309","342.30","341.25","342.68","1.05","1.43","-0.11"
"2023/08/03","101T9000","코스피200 F 202309","342.70","341.54","343.01","1.16","1.47","-0.09"
"2023/08/02","101T9000","코스피200 F 202309","344.80","343.80","345.31","1.00","1.51","-0.15"
"2023/08/01","101T9000","코스피200 F 202309","352.35","351.00","352.58","1.35","1.58","-0.07"
"2023/07/31","101T9000","코스피200 F 202309","347.25","345.62","347.21","1.63","1.59","0.01"
"2023/07/28","101T9000","코스피200 F 202309","345.25","344.03","345.72","1.22","1.69","-0.14"
"2023/07/27","101T9000","코스피200 F 202309","346.35","344.76","346.50","1.59","1.74","-0.04"
"2023/07/26","101T9000","코스피200 F 202309","342.45","340.56","342.31","1.89","1.75","0.04"
"2023/07/25","101T9000","코스피200 F 202309","346.40","344.92","346.73","1.48","1.81","-0.10"
"2023/07/24","101T9000","코스피200 F 202309","346.00","344.32","346.16","1.68","1.84","-0.05"
"2023/07/21","101T9000","코스피200 F 202309","344.15","342.39","344.32","1.76","1.93","-0.05"
"2023/07/20","101T9000","코스피200 F 202309","343.30","341.67","343.64","1.63","1.97","-0.10"
"2023/07/19","101T9000","코스피200 F 202309","344.40","343.11","345.12","1.29","2.01","-0.21"
"2023/07/18","101T9000","코스피200 F 202309","345.60","343.38","345.43","2.22","2.05","0.05"
"2023/07/17","101T9000","코스피200 F 202309","347.90","345.75","347.85","2.15","2.10","0.01"
"2023/07/14","101T9000","코스피200 F 202309","348.20","346.93","349.14","1.27","2.21","-0.27"
"2023/07/13","101T9000","코스피200 F 202309","343.65","341.13","343.34","2.52","2.21","0.09"
"2023/07/12","101T9000","코스피200 F 202309","340.80","339.46","341.69","1.34","2.23","-0.26"
"2023/07/11","101T9000","코스피200 F 202309","338.85","337.02","339.27","1.83","2.25","-0.12"
"2023/07/10","101T9000","코스피200 F 202309","332.85","330.84","333.08","2.01","2.24","-0.07"
"2023/07/07","101T9000","코스피200 F 202309","332.85","331.57","333.92","1.28","2.35","-0.32"
"2023/07/06","101T9000","코스피200 F 202309","338.10","336.20","338.61","1.90","2.41","-0.15"
"2023/07/05","101T9000","코스피200 F 202309","340.60","339.04","341.51","1.56","2.47","-0.27"
"2023/07/04","101T9000","코스피200 F 202309","343.85","341.59","344.12","2.26","2.53","-0.08"
"2023/07/03","101T9000","코스피200 F 202309","345.75","343.08","345.65","2.67","2.57","0.03"
"2023/06/30","101T9000","코스피200 F 202309","340.50","337.95","340.59","2.55","2.64","-0.03"
"2023/06/29","101T9000","코스피200 F 202309","339.20","336.39","339.05","2.81","2.66","0.04"
"2023/06/28","101T9000","코스피200 F 202309","339.55","338.41","340.05","1.14","1.64","-0.15"
"2023/06/27","101T9000","코스피200 F 202309","341.55","340.32","342.01","1.23","1.69","-0.13"
"2023/06/26","101T9000","코스피200 F 202309","341.40","340.38","342.10","1.02","1.72","-0.20"
"2023/06/23","101T9000","코스피200 F 202309","340.25","338.45","340.26","1.80","1.81","0.00"
"2023/06/22","101T9000","코스피200 F 202309","342.25","341.12","342.99","1.13","1.87","-0.22"
"2023/06/21","101T9000","코스피200 F 202309","341.15","339.44","341.33","1.71","1.89","-0.05"
"2023/06/20","101T9000","코스피200 F 202309","344.15","342.58","344.53","1.57","1.95","-0.11"
"2023/06/19","101T9000","코스피200 F 202309","345.10","343.13","345.12","1.97","1.99","-0.01"
"2023/06/16","101T9000","코스피200 F 202309","347.30","345.17","347.29","2.13","2.12","0.00"
"2023/06/15","101T9000","코스피200 F 202309","345.15","343.19","345.33","1.96","2.14","-0.05"
"2023/06/14","101T9000","코스피200 F 202309","346.40","344.65","346.83","1.75","2.18","-0.12"
"2023/06/13","101T9000","코스피200 F 202309","348.40","346.39","348.63","2.01","2.24","-0.07"
"2023/06/12","101T9000","코스피200 F 202309","346.65","344.57","346.82","2.08","2.25","-0.05"
"2023/06/09","101T9000","코스피200 F 202309","349.50","346.79","349.17","2.71","2.38","0.09"
"2023/06/08","101T6000","코스피200 F 202306","342.30","342.75","0.00","-0.45",,
"2023/06/07","101T6000","코스피200 F 202306","343.25","343.22","343.26","0.03","0.04","0.00"
"2023/06/05","101T6000","코스피200 F 202306","344.00","343.91","344.02","0.09","0.11","-0.01"
"2023/06/02","101T6000","코스피200 F 202306","342.95","342.67","342.88","0.28","0.21","0.02"
"2023/06/01","101T6000","코스피200 F 202306","338.05","338.08","338.32","-0.03","0.24","-0.08"
"2023/05/31","101T6000","코스피200 F 202306","339.00","339.12","339.40","-0.12","0.28","-0.12"
"2023/05/30","101T6000","코스피200 F 202306","342.05","341.50","341.82","0.55","0.32","0.07"
"2023/05/26","101T6000","코스피200 F 202306","337.80","337.11","337.56","0.69","0.45","0.07"
"2023/05/25","101T6000","코스피200 F 202306","336.00","335.35","335.83","0.65","0.48","0.05"
"2023/05/24","101T6000","코스피200 F 202306","336.85","336.49","337.00","0.36","0.51","-0.04"
"2023/05/23","101T6000","코스피200 F 202306","338.00","337.09","337.63","0.91","0.54","0.11"
"2023/05/22","101T6000","코스피200 F 202306","337.00","336.27","336.84","0.73","0.57","0.05"
"2023/05/19","101T6000","코스피200 F 202306","334.75","334.23","334.90","0.52","0.67","-0.04"
"2023/05/18","101T6000","코스피200 F 202306","329.80","329.84","330.53","-0.04","0.69","-0.22"
"2023/05/17","101T6000","코스피200 F 202306","326.50","326.61","327.33","-0.11","0.72","-0.25"
"2023/05/16","101T6000","코스피200 F 202306","325.55","325.31","326.05","0.24","0.74","-0.15"
"2023/05/15","101T6000","코스피200 F 202306","325.15","324.46","325.23","0.69","0.77","-0.02"
"2023/05/12","101T6000","코스피200 F 202306","324.30","323.61","324.47","0.69","0.86","-0.05"
"2023/05/11","101T6000","코스피200 F 202306","325.40","325.28","326.18","0.12","0.90","-0.24"
"2023/05/10","101T6000","코스피200 F 202306","326.50","326.04","326.96","0.46","0.92","-0.14"
"2023/05/09","101T6000","코스피200 F 202306","328.60","328.22","329.18","0.38","0.96","-0.18"
"2023/05/08","101T6000","코스피200 F 202306","330.00","328.90","329.89","1.10","0.99","0.03"
"2023/05/04","101T6000","코스피200 F 202306","325.80","326.17","327.28","-0.37","1.11","-0.45"
"2023/05/03","101T6000","코스피200 F 202306","326.80","326.52","327.66","0.28","1.14","-0.26"
"2023/05/02","101T6000","코스피200 F 202306","330.00","329.09","330.26","0.91","1.17","-0.08"
"2023/04/28","101T6000","코스피200 F 202306","326.40","326.46","327.75","-0.06","1.29","-0.41"
"2023/04/27","101T6000","코스피200 F 202306","325.85","325.09","326.40","0.76","1.31","-0.17"
"2023/04/26","101T6000","코스피200 F 202306","325.25","323.97","325.30","1.28","1.33","-0.02"
"2023/04/25","101T6000","코스피200 F 202306","325.75","324.48","325.85","1.27","1.37","-0.03"
"2023/04/24","101T6000","코스피200 F 202306","329.95","328.70","330.11","1.25","1.41","-0.05"
"2023/04/21","101T6000","코스피200 F 202306","331.95","330.94","332.45","1.01","1.51","-0.15"
"2023/04/20","101T6000","코스피200 F 202306","334.15","332.66","334.20","1.49","1.54","-0.01"
"2023/04/19","101T6000","코스피200 F 202306","335.10","333.77","335.35","1.33","1.58","-0.07"
