,현재가,거래량,체결시간,시가,고가,저가,대업종구분,소업종구분,종목정보,전일종가
0,-31550,7289,20231023153000,+31544,+31550,+31541,,,,
1,-31544,5755,20231023150000,+31531,+31584,+31509,,,,
2,-31542,6370,20231023143000,+31567,+31572,+31513,,,,
3,-31565,5832,20231023140000,+31537,+31589,+31520,,,,
4,-31544,5214,20231023133000,+31610,+31627,+31533,,,,
5,-31610,4369,20231023130000,+31587,+31676,+31583,,,,
6,-31601,3352,20231023123000,+31615,+31637,+31581,,,,
7,-31615,3545,20231023120000,+31602,+31633,+31572,,,,
8,-31604,4105,20231023113000,+31643,+31675,+31586,,,,
9,-31642,5415,20231023110000,+31732,+31739,+31624,,,,
10,-31719,4909,20231023103000,+31763,+31784,+31700,,,,
11,-31763,6023,20231023100000,+31767,+31796,-31700,,,,
12,-31765,7547,20231023093000,-31645,+31795,-31626,,,,
13,-31644,17593,20231023090000,+31743,+31830,+31600,,,,
14,-31796,13092,20231020153000,+31790,+31800,+31780,,,,
15,-31790,6869,20231020150000,+31799,+31843,+31773,,,,
16,-31794,8534,20231020143000,+31949,+31953,+31771,,,,
17,-31947,6363,20231020140000,+31966,+31971,+31901,,,,
18,-31953,7059,20231020133000,+31914,+31993,+31914,,,,
19,-31931,4983,20231020130000,+31885,+31939,+31869,,,,
20,-31882,4437,20231020123000,+31856,+31924,+31821,,,,
21,-31856,4158,20231020120000,+31839,+31889,+31831,,,,
22,-31842,5301,20231020113000,+31713,+31861,+31694,,,,
23,-31713,5438,20231020110000,+31716,+31766,+31691,,,,
24,-31715,6257,20231020103000,+31740,+31762,+31691,,,,
25,-31727,9107,20231020100000,+31692,+31767,+31628,,,,
26,-31689,10869,20231020093000,+31796,+31799,+31647,,,,
27,-31776,20247,20231020090000,+31945,+32018,+31744,,,,
28,-32276,13221,20231019153000,+32287,+32287,+32275,,,,
29,-32287,6876,20231019150000,+32295,+32306,+32255,,,,
30,-32296,7508,20231019143000,+32304,+32318,+32265,,,,
31,-32288,6047,20231019140000,+32322,+32337,+32285,,,,
32,-32318,6248,20231019133000,+32307,+32336,+32263,,,,
33,-32306,5310,20231019130000,+32323,+32342,+32297,,,,
34,-32321,4570,20231019123000,+32273,+32333,+32258,,,,
35,-32259,5952,20231019120000,+32307,+32346,+32240,,,,
36,-32320,5724,20231019113000,+32355,+32360,+32299,,,,
37,-32335,6057,20231019110000,+32368,+32418,+32335,,,,
38,-32370,7654,20231019103000,+32481,+32508,+32351,,,,
39,-32467,7697,20231019100000,+32462,+32493,+32383,,,,
40,-32461,9755,20231019093000,+32371,+32483,+32345,,,,
41,-32369,23095,20231019090000,+32475,+32484,+32328,,,,
42,+32882,20327,20231018153000,+32879,+32882,+32868,,,,
43,+32879,8429,20231018150000,+32869,+32906,+32843,,,,
44,+32881,11737,20231018143000,+32804,+32885,+32804,,,,
45,+32822,8017,20231018140000,+32856,+32857,+32803,,,,
46,+32858,8080,20231018133000,+32846,+32892,+32833,,,,
47,+32833,7467,20231018130000,+32877,+32889,+32827,,,,
48,+32866,6128,20231018123000,+32870,+32882,+32836,,,,
49,+32857,6300,20231018120000,+32865,+32901,+32842,,,,
50,+32850,4837,20231018113000,+32842,+32876,+32793,,,,
51,+32856,5704,20231018110000,+32766,+32866,+32766,,,,
52,+32782,6787,20231018103000,+32817,+32842,+32760,,,,
53,+32822,7358,20231018100000,+32739,+32822,-32700,,,,
54,+32741,12256,20231018093000,+32737,+32829,-32715,,,,
55,-32719,20703,20231018090000,-32632,+32770,-32612,,,,
56,+32735,6633,20231017153000,+32763,+32763,+32735,,,,
57,+32763,6704,20231017150000,+32764,+32826,+32749,,,,
