일자,거래량_PUT,거래량_CALL,P/C Ratio
"2023/10/30","899910","966801","0.93"
"2023/10/27","864639","851723","1.02"
"2023/10/26","1132299","1004508","1.13"
"2023/10/25","754462","739334","1.02"
"2023/10/24","1128189","1065679","1.06"
"2023/10/23","649313","771528","0.84"
"2023/10/20","1003891","867317","1.16"
"2023/10/19","795133","672234","1.18"
"2023/10/18","648691","538463","1.20"
"2023/10/17","848048","732163","1.16"
"2023/10/16","720552","729240","0.99"
"2023/10/13","457029","416248","1.10"
"2023/10/12","1925836","1866490","1.03"
"2023/10/11","1860352","2041509","0.91"
"2023/10/10","1440207","1542565","0.93"
"2023/10/06","903713","936041","0.97"
"2023/10/05","1069077","975627","1.10"
"2023/10/04","1209225","998267","1.21"
"2023/09/27","843785","867982","0.97"
"2023/09/26","706640","679956","1.04"
"2023/09/25","492896","709991","0.69"
"2023/09/22","737177","698107","1.06"
"2023/09/21","592424","722694","0.82"
"2023/09/20","416015","460882","0.90"
"2023/09/19","495677","534010","0.93"
"2023/09/18","549967","475143","1.16"
"2023/09/15","856395","715436","1.20"
"2023/09/14","1802942","1641812","1.10"
"2023/09/13","1547876","1680871","0.92"
"2023/09/12","1410587","1604118","0.88"
"2023/09/11","1074082","1095486","0.98"
"2023/09/08","1058794","1085231","0.98"
"2023/09/07","750098","822331","0.91"
"2023/09/06","767516","714880","1.07"
"2023/09/05","648588","676826","0.96"
"2023/09/04","812196","748312","1.09"
"2023/09/01","921261","841003","1.10"
"2023/08/31","505233","576968","0.88"
"2023/08/30","731183","578138","1.26"
"2023/08/29","700504","599434","1.17"
"2023/08/28","595376","493892","1.21"
"2023/08/25","666413","589266","1.13"
"2023/08/24","822689","553196","1.49"
"2023/08/23","593286","585395","1.01"
"2023/08/22","773188","608396","1.27"
"2023/08/21","567025","558971","1.01"
"2023/08/18","636681","648631","0.98"
"2023/08/17","950916","919255","1.03"
"2023/08/16","653262","694355","0.94"
"2023/08/14","559252","624673","0.90"
"2023/08/11","633870","548077","1.16"
"2023/08/10","1634721","1569855","1.04"
"2023/08/09","1819892","1734395","1.05"
"2023/08/08","2266067","2220185","1.02"
"2023/08/07","1369101","1498301","0.91"
"2023/08/04","1388555","1315638","1.06"
"2023/08/03","1329227","1402826","0.95"
"2023/08/02","1390679","1125809","1.24"
"2023/08/01","1159201","1176633","0.99"
"2023/07/31","948852","978503","0.97"
"2023/07/28","940554","833769","1.13"
"2023/07/27","894252","904618","0.99"
"2023/07/26","1074935","1077167","1.00"
"2023/07/25","593439","549679","1.08"
"2023/07/24","869088","909603","0.96"
