,일자,시장베이시스,이론베이시스,괴리율
0,2023-04-03,1.67,2.19,-0.16
1,2023-04-04,1.72,2.08,-0.11
2,2023-04-05,1.95,2.06,-0.03
3,2023-04-06,2.19,2.04,0.05
4,2023-04-07,1.93,1.97,-0.01
5,2023-04-10,1.49,1.97,-0.15
6,2023-04-11,1.57,1.86,-0.09
7,2023-04-12,1.28,1.83,-0.17
8,2023-04-13,1.36,1.79,-0.13
9,2023-04-14,1.21,1.75,-0.16
10,2023-04-17,1.52,1.72,-0.06
11,2023-04-18,1.48,1.63,-0.04
12,2023-04-19,1.65,1.6,0.01
13,2023-04-20,1.33,1.58,-0.07
14,2023-04-21,1.49,1.54,-0.01
15,2023-04-24,1.01,1.51,-0.15
16,2023-04-25,1.25,1.41,-0.05
17,2023-04-26,1.27,1.37,-0.03
18,2023-04-27,1.28,1.33,-0.02
19,2023-04-28,0.76,1.31,-0.17
20,2023-05-02,-0.06,1.29,-0.41
21,2023-05-03,0.91,1.17,-0.08
22,2023-05-04,0.28,1.14,-0.26
23,2023-05-08,-0.37,1.11,-0.45
24,2023-05-09,1.1,0.99,0.03
25,2023-05-10,0.38,0.96,-0.18
26,2023-05-11,0.46,0.92,-0.14
27,2023-05-12,0.12,0.9,-0.24
28,2023-05-15,0.69,0.86,-0.05
29,2023-05-16,0.69,0.77,-0.02
30,2023-05-17,0.24,0.74,-0.15
31,2023-05-18,-0.11,0.72,-0.25
32,2023-05-19,-0.04,0.69,-0.22
33,2023-05-22,0.52,0.67,-0.04
34,2023-05-23,0.73,0.57,0.05
35,2023-05-24,0.91,0.54,0.11
36,2023-05-25,0.36,0.51,-0.04
37,2023-05-26,0.65,0.48,0.05
38,2023-05-30,0.69,0.45,0.07
39,2023-05-31,0.55,0.32,0.07
40,2023-06-01,-0.12,0.28,-0.12
41,2023-06-02,-0.03,0.24,-0.08
42,2023-06-05,0.28,0.21,0.02
43,2023-06-07,0.09,0.11,-0.01
44,2023-06-08,0.03,0.04,0.0
45,2023-06-09,-0.45,,
46,2023-06-12,2.71,2.38,0.09
47,2023-06-13,2.08,2.25,-0.05
48,2023-06-14,2.01,2.24,-0.07
49,2023-06-15,1.75,2.18,-0.12
50,2023-06-16,1.96,2.14,-0.05
51,2023-06-19,2.13,2.12,0.0
52,2023-06-20,1.97,1.99,-0.01
53,2023-06-21,1.57,1.95,-0.11
54,2023-06-22,1.71,1.89,-0.05
55,2023-06-23,1.13,1.87,-0.22
56,2023-06-26,1.8,1.81,0.0
57,2023-06-27,1.02,1.72,-0.2
58,2023-06-28,1.23,1.69,-0.13
59,2023-06-29,1.14,1.64,-0.15
60,2023-06-30,2.81,2.66,0.04
61,2023-07-03,2.55,2.64,-0.03
62,2023-07-04,2.67,2.57,0.03
63,2023-07-05,2.26,2.53,-0.08
64,2023-07-06,1.56,2.47,-0.27
65,2023-07-07,1.9,2.41,-0.15
66,2023-07-10,1.28,2.35,-0.32
67,2023-07-11,2.01,2.24,-0.07
68,2023-07-12,1.83,2.25,-0.12
69,2023-07-13,1.34,2.23,-0.26
70,2023-07-14,2.52,2.21,0.09
71,2023-07-17,1.27,2.21,-0.27
72,2023-07-18,2.15,2.1,0.01
73,2023-07-19,2.22,2.05,0.05
74,2023-07-20,1.29,2.01,-0.21
75,2023-07-21,1.63,1.97,-0.1
76,2023-07-24,1.76,1.93,-0.05
77,2023-07-25,1.68,1.84,-0.05
78,2023-07-26,1.48,1.81,-0.1
79,2023-07-27,1.89,1.75,0.04
80,2023-07-28,1.59,1.74,-0.04
81,2023-07-31,1.22,1.69,-0.14
82,2023-08-01,1.63,1.59,0.01
83,2023-08-02,1.35,1.58,-0.07
84,2023-08-03,1.0,1.51,-0.15
85,2023-08-04,1.16,1.47,-0.09
86,2023-08-07,1.05,1.43,-0.11
87,2023-08-08,1.27,1.32,-0.01
88,2023-08-09,1.2,1.27,-0.02
89,2023-08-10,0.89,1.25,-0.1
90,2023-08-11,-0.01,1.21,-0.36
91,2023-08-14,1.47,1.16,0.09
92,2023-08-16,0.92,1.05,-0.04
93,2023-08-17,1.07,0.97,0.03
94,2023-08-18,0.77,0.94,-0.05
95,2023-08-21,0.08,0.9,-0.25
96,2023-08-22,0.11,0.8,-0.21
97,2023-08-23,0.3,0.77,-0.14
98,2023-08-24,0.5,0.73,-0.07
99,2023-08-25,0.08,0.71,-0.19
100,2023-08-28,-0.05,0.67,-0.22
101,2023-08-29,0.12,0.57,-0.14
102,2023-08-30,-0.31,0.54,-0.25
103,2023-08-31,-0.19,0.51,-0.21
104,2023-09-01,0.2,0.47,-0.08
105,2023-09-04,-0.43,0.44,-0.26
106,2023-09-05,-0.27,0.34,-0.18
107,2023-09-06,0.21,0.31,-0.03
108,2023-09-07,-0.05,0.27,-0.09
109,2023-09-08,-0.44,0.24,-0.2
110,2023-09-11,0.35,0.21,0.04
111,2023-09-12,0.47,0.1,0.11
112,2023-09-13,0.21,0.07,0.04
113,2023-09-14,0.11,0.03,0.02
114,2023-09-15,-0.89,,
115,2023-09-18,1.92,2.38,-0.13
116,2023-09-19,2.28,2.25,0.01
117,2023-09-20,1.93,2.2,-0.08
118,2023-09-21,1.85,2.18,-0.1
119,2023-09-22,1.16,2.1,-0.28
120,2023-09-25,0.83,2.07,-0.37
121,2023-09-26,1.52,1.96,-0.13
122,2023-09-27,1.45,2.71,-0.38
123,2023-10-04,2.29,2.67,-0.12
124,2023-10-05,0.65,2.38,-0.54
125,2023-10-06,1.17,2.35,-0.37
126,2023-10-10,1.56,2.31,-0.23
127,2023-10-11,2.34,2.17,0.05
128,2023-10-12,2.26,2.18,0.02
129,2023-10-13,1.6,2.17,-0.17
130,2023-10-16,2.08,2.11,-0.01
131,2023-10-17,1.56,2.0,-0.14
132,2023-10-18,1.45,1.99,-0.16
133,2023-10-19,1.38,1.96,-0.18
134,2023-10-20,0.94,1.89,-0.29
