,날짜,야간 변동률
0,2023-04-10,0.037
1,2023-04-11,0.042
2,2023-04-12,0.036
3,2023-04-13,0.062
4,2023-04-14,0.058
5,2023-04-17,0.063
6,2023-04-18,0.047
7,2023-04-19,0.036
8,2023-04-20,0.041
9,2023-04-21,0.042
10,2023-04-24,0.099
11,2023-04-25,0.041
12,2023-04-26,0.036
13,2023-04-27,0.047
14,2023-04-28,0.057
15,2023-05-01,0.047
16,2023-05-02,0.082
17,2023-05-03,0.046
18,2023-05-04,0.088
19,2023-05-05,0.037
20,2023-05-08,0.047
21,2023-05-09,0.094
22,2023-05-10,0.037
23,2023-05-11,0.053
24,2023-05-12,0.037
25,2023-05-15,0.016
26,2023-05-16,0.036
27,2023-05-17,0.031
28,2023-05-18,0.042
29,2023-05-19,-0.021
30,2023-05-22,0.026
31,2023-05-23,0.043
32,2023-05-24,0.096
33,2023-05-25,0.048
34,2023-05-26,0.011
35,2023-05-29,0.08
36,2023-05-30,0.08
37,2023-05-31,0.038
38,2023-06-01,0.145
39,2023-06-02,0.081
40,2023-06-05,0.043
41,2023-06-06,0.038
42,2023-06-07,0.038
43,2023-06-08,0.038
44,2023-06-09,0.104
45,2023-06-12,0.044
46,2023-06-13,0.05
47,2023-06-14,0.045
48,2023-06-15,0.062
49,2023-06-16,0.05
50,2023-06-19,0.112
51,2023-06-20,0.084
52,2023-06-21,0.05
53,2023-06-22,0.056
54,2023-06-23,0.055
55,2023-06-26,0.049
56,2023-06-27,0.05
57,2023-06-28,0.039
58,2023-06-29,0.044
59,2023-06-30,0.088
60,2023-07-03,0.16
61,2023-07-04,0.044
62,2023-07-05,0.039
63,2023-07-06,0.044
64,2023-07-07,0.033
65,2023-07-10,0.1
66,2023-07-11,0.039
67,2023-07-12,0.045
68,2023-07-13,0.034
69,2023-07-14,0.045
70,2023-07-17,0.09
71,2023-07-18,0.057
72,2023-07-19,0.051
73,2023-07-20,0.097
74,2023-07-21,0.067
75,2023-07-24,0.061
76,2023-07-25,0.051
77,2023-07-26,0.062
78,2023-07-27,0.056
79,2023-07-28,0.045
80,2023-07-31,0.045
81,2023-08-01,0.034
82,2023-08-02,0.033
83,2023-08-03,0.05
84,2023-08-04,0.088
85,2023-08-07,0.022
86,2023-08-08,0.066
87,2023-08-09,0.049
88,2023-08-10,0.027
89,2023-08-11,0.115
90,2023-08-14,0.044
91,2023-08-15,0.033
92,2023-08-16,0.049
93,2023-08-17,0.065
94,2023-08-18,0.044
95,2023-08-21,0.098
96,2023-08-22,0.087
97,2023-08-23,0.093
98,2023-08-24,0.137
99,2023-08-25,0.088
100,2023-08-28,0.094
101,2023-08-29,0.033
102,2023-08-30,0.055
103,2023-08-31,0.039
104,2023-09-01,0.033
105,2023-09-04,0.083
106,2023-09-05,0.066
107,2023-09-06,0.077
108,2023-09-07,0.088
109,2023-09-08,0.11
110,2023-09-11,0.116
111,2023-09-12,0.061
112,2023-09-13,0.055
113,2023-09-14,0.132
114,2023-09-15,0.049
115,2023-09-18,0.071
116,2023-09-19,0.039
117,2023-09-20,0.033
118,2023-09-21,0.049
119,2023-09-22,0.055
120,2023-09-25,0.12
121,2023-09-26,0.137
122,2023-09-27,0.124
123,2023-09-28,0.076
124,2023-09-29,0.081
125,2023-10-02,0.065
126,2023-10-03,0.108
127,2023-10-04,0.075
128,2023-10-05,0.059
129,2023-10-06,0.054
