,날짜,변동 %,전날 변동율,전날 변화량
0,2023-04-10,0.57,1.257,0.46
1,2023-04-11,-2.37,0.698,0.47
2,2023-04-12,-0.92,2.758,0.74
3,2023-04-13,-1.4,-0.118,0.27
4,2023-04-14,-0.77,-1.411,0.65
5,2023-04-17,-1.67,-1.493,0.38
6,2023-04-18,0.67,-1.717,0.69
7,2023-04-19,-1.45,1.05,0.29
8,2023-04-20,-1.59,-0.31,0.28
9,2023-04-21,-0.37,-1.896,0.58
10,2023-04-24,0.94,-0.797,0.37
11,2023-04-25,-0.56,-2.719,0.47
12,2023-04-26,1.37,2.642,0.46
13,2023-04-27,-0.31,-4.012,0.58
14,2023-04-28,3.38,-1.001,0.72
15,2023-05-01,-2.38,0.922,1.68
16,2023-05-02,-7.31,-2.185,0.58
17,2023-05-08,2.63,-1.389,0.4
18,2023-05-09,1.22,-1.74,0.41
19,2023-05-10,2.47,2.208,0.44
20,2023-05-11,-2.65,-0.316,0.4
21,2023-05-12,2.03,3.075,0.54
22,2023-05-15,-2.92,0.644,0.76
23,2023-05-16,1.02,-2.713,0.4
24,2023-05-17,1.96,-2.603,0.88
25,2023-05-18,7.15,-0.116,0.72
26,2023-05-19,3.13,-5.173,1.93
27,2023-05-22,15.13,-8.698,2.43
28,2023-05-23,-1.95,2.085,1.15
29,2023-05-24,-5.43,-3.262,1.16
30,2023-05-25,3.85,2.603,0.59
31,2023-05-26,-3.6,0.0,0.58
32,2023-05-29,-2.68,-2.169,1.14
33,2023-05-30,4.54,-10.881,1.51
34,2023-05-31,4.55,3.165,0.43
35,2023-06-01,-1.48,1.478,1.05
36,2023-06-02,0.45,1.317,0.49
37,2023-06-05,-1.85,-1.058,0.48
38,2023-06-06,2.19,-5.777,0.96
39,2023-06-07,8.72,2.155,1.0
40,2023-06-08,-3.03,-2.669,1.47
41,2023-06-09,3.92,-3.044,2.15
42,2023-06-12,5.37,4.137,1.77
43,2023-06-13,-6.78,1.362,0.91
44,2023-06-14,-4.82,1.935,1.51
45,2023-06-15,4.18,-1.924,1.18
46,2023-06-16,2.71,1.758,1.59
47,2023-06-19,1.5,1.964,1.8
48,2023-06-20,-7.08,-0.623,0.77
49,2023-06-21,-1.01,0.934,0.54
50,2023-06-22,-2.14,1.056,0.65
51,2023-06-23,0.7,1.709,1.14
52,2023-06-26,0.05,1.555,1.84
53,2023-06-27,4.3,-1.17,1.46
54,2023-06-28,-0.62,1.255,0.76
55,2023-06-29,-4.67,0.402,0.6
56,2023-06-30,0.95,1.918,0.48
57,2023-07-03,-2.43,0.305,0.58
58,2023-07-04,-2.99,-1.95,0.41
59,2023-07-05,2.41,1.768,0.37
60,2023-07-06,-1.53,0.679,0.75
61,2023-07-07,-2.44,-3.54,0.86
62,2023-07-10,2.18,-3.224,0.9
63,2023-07-11,5.47,-1.411,1.37
64,2023-07-12,4.29,3.986,0.82
65,2023-07-13,-2.22,1.324,1.91
66,2023-07-14,4.16,5.284,0.88
67,2023-07-18,-5.99,1.049,1.39
68,2023-07-19,1.29,1.587,0.85
69,2023-07-20,-0.59,0.892,0.87
70,2023-07-21,-2.7,-0.352,0.36
71,2023-07-24,0.96,0.502,0.61
72,2023-07-25,-1.0,-2.125,0.61
73,2023-07-26,0.25,0.915,0.69
74,2023-07-27,-3.27,-0.104,0.57
75,2023-07-28,-1.98,-0.79,0.64
76,2023-07-31,-0.05,-5.759,1.73
77,2023-08-01,-1.22,-0.428,0.56
78,2023-08-02,-1.45,1.104,0.74
79,2023-08-03,-1.58,-1.475,1.4
80,2023-08-04,8.21,-4.829,0.86
81,2023-08-07,5.89,-3.05,1.26
82,2023-08-08,0.97,-2.523,1.36
83,2023-08-09,-2.35,1.799,0.84
84,2023-08-10,-1.18,0.099,0.74
85,2023-08-14,-0.5,0.0,0.9
86,2023-08-15,-3.99,2.287,1.82
87,2023-08-16,2.44,3.958,0.55
88,2023-08-17,-4.31,-4.363,0.87
89,2023-08-18,5.94,1.165,1.15
90,2023-08-21,-2.05,-3.693,1.24
91,2023-08-22,-0.2,-0.964,0.67
92,2023-08-23,2.15,3.692,0.56
93,2023-08-24,-5.42,-0.685,0.81
94,2023-08-25,-2.49,1.49,0.42
95,2023-08-28,-2.72,-4.992,0.84
96,2023-08-29,5.53,2.275,0.49
97,2023-08-30,-2.6,3.199,0.34
98,2023-08-31,-2.12,1.868,0.41
99,2023-09-01,-1.44,2.484,0.58
100,2023-09-04,-4.79,-0.295,0.43
101,2023-09-05,-0.18,-0.059,0.59
102,2023-09-06,1.66,-2.057,0.49
103,2023-09-07,2.45,-2.876,1.37
104,2023-09-08,-2.39,-5.252,1.15
105,2023-09-11,4.38,-0.501,1.67
106,2023-09-12,-3.63,0.937,0.77
107,2023-09-13,-1.97,3.175,0.37
108,2023-09-14,-3.96,0.433,0.56
109,2023-09-15,1.54,2.679,0.52
110,2023-09-19,-2.49,0.879,0.77
111,2023-09-20,-0.5,-4.821,0.33
112,2023-09-21,5.82,-0.646,0.4
113,2023-09-22,2.01,-2.596,1.18
114,2023-09-25,5.74,-5.538,1.89
115,2023-09-26,-2.3,0.848,0.62
116,2023-09-27,-1.23,1.616,0.99
117,2023-09-28,3.46,-3.852,1.03
118,2023-09-29,-0.55,-0.055,1.5
119,2023-10-02,3.81,1.951,0.77
120,2023-10-03,-2.18,1.099,1.15
121,2023-10-04,2.61,-3.772,0.9
122,2023-10-05,7.52,-8.517,1.43
123,2023-10-06,12.12,7.612,0.76
