,날짜,변동 %,야간변화율
0,2023-04-03,0.97,0.361
1,2023-04-04,-0.18,0.143
2,2023-04-05,0.33,0.085
3,2023-04-06,0.59,-0.289
4,2023-04-07,-1.44,0.789
5,2023-04-10,1.27,0.051
6,2023-04-11,0.87,0.448
7,2023-04-12,1.42,-0.059
8,2023-04-13,0.11,-0.625
9,2023-04-14,0.43,0.72
10,2023-04-17,0.38,-0.046
11,2023-04-18,0.17,0.245
12,2023-04-19,-0.19,-0.04
13,2023-04-20,0.16,-0.35
14,2023-04-21,-0.46,-0.25
15,2023-04-24,-0.73,-0.237
16,2023-04-25,-0.82,0.311
17,2023-04-26,-1.37,0.019
18,2023-04-27,-0.17,-0.021
19,2023-04-28,0.44,0.64
20,2023-05-02,0.23,0.099
21,2023-05-03,0.91,-0.563
22,2023-05-04,-0.91,-0.263
23,2023-05-08,-0.02,0.703
24,2023-05-09,0.49,-0.035
25,2023-05-10,-0.13,-0.163
26,2023-05-11,-0.54,0.363
27,2023-05-12,-0.22,-0.147
28,2023-05-15,-0.63,-0.227
29,2023-05-16,0.16,0.607
30,2023-05-17,0.04,-0.024
31,2023-05-18,0.58,0.659
32,2023-05-19,0.83,0.613
33,2023-05-22,0.89,0.088
34,2023-05-23,0.76,0.341
35,2023-05-24,0.41,-0.407
36,2023-05-25,0.0,0.124
37,2023-05-26,-0.5,0.284
38,2023-05-30,0.16,0.922
39,2023-05-31,1.04,0.02
40,2023-06-01,-0.32,-0.177
41,2023-06-02,-0.31,0.666
42,2023-06-05,1.25,0.618
43,2023-06-07,0.54,0.308
44,2023-06-08,0.01,-0.244
45,2023-06-09,-0.18,0.509
46,2023-06-12,1.16,0.24
47,2023-06-13,-0.45,0.574
48,2023-06-14,0.33,0.108
49,2023-06-15,-0.72,0.388
50,2023-06-16,-0.4,0.576
51,2023-06-19,0.66,-0.294
52,2023-06-20,-0.62,-0.256
53,2023-06-21,-0.18,-0.22
54,2023-06-22,-0.86,-0.27
55,2023-06-23,0.43,0.206
56,2023-06-26,-0.91,-0.056
57,2023-06-27,0.47,-0.046
58,2023-06-28,-0.03,0.354
59,2023-06-29,-0.67,-0.007
60,2023-06-30,-0.55,0.33
61,2023-07-03,0.56,0.648
62,2023-07-04,1.49,0.086
63,2023-07-05,-0.35,0.006
64,2023-07-06,-0.55,-0.165
65,2023-07-07,-0.88,-0.347
66,2023-07-10,-1.16,0.054
67,2023-07-11,-0.24,0.72
68,2023-07-12,1.66,-0.19
69,2023-07-13,0.48,0.589
70,2023-07-14,0.64,0.627
71,2023-07-17,1.43,-0.404
72,2023-07-18,-0.35,0.213
73,2023-07-19,-0.43,0.561
74,2023-07-20,0.02,-0.493
75,2023-07-21,-0.31,-0.737
76,2023-07-24,0.37,-0.049
77,2023-07-25,0.72,0.564
78,2023-07-26,0.3,0.087
79,2023-07-27,-1.67,0.288
80,2023-07-28,0.44,-0.389
81,2023-07-31,0.17,0.788
82,2023-08-01,0.93,0.447
83,2023-08-02,1.31,-0.583
84,2023-08-03,-1.9,0.317
85,2023-08-04,-0.42,0.03
86,2023-08-07,-0.1,-0.431
87,2023-08-08,-0.85,0.681
88,2023-08-09,-0.26,0.257
89,2023-08-10,1.21,-0.488
90,2023-08-11,-0.14,0.372
91,2023-08-14,-0.4,-0.183
92,2023-08-16,-0.79,-0.807
93,2023-08-17,-1.76,-0.504
94,2023-08-18,-0.23,-0.979
95,2023-08-21,-0.61,0.287
96,2023-08-22,0.17,0.781
97,2023-08-23,0.28,-0.228
98,2023-08-24,-0.41,1.049
99,2023-08-25,1.28,-1.272
100,2023-08-28,-0.73,0.607
101,2023-08-29,0.96,0.289
102,2023-08-30,0.34,0.911
103,2023-08-31,0.35,0.126
104,2023-09-01,-0.19,-0.17
105,2023-09-04,0.29,0.126
106,2023-09-05,0.81,-0.218
107,2023-09-06,-0.09,-0.185
108,2023-09-07,-0.73,-0.33
109,2023-09-08,-0.59,-0.086
110,2023-09-11,-0.02,0.086
111,2023-09-12,0.36,0.373
112,2023-09-13,-0.79,-0.014
113,2023-09-14,-0.07,0.402
114,2023-09-15,1.51,0.081
115,2023-09-18,1.1,-0.484
116,2023-09-19,-1.02,0.18
117,2023-09-20,-0.6,-0.104
118,2023-09-21,0.02,-0.583
119,2023-09-22,-1.75,-0.935
120,2023-09-25,-0.27,-0.161
121,2023-09-26,-0.49,-0.085
122,2023-09-27,-1.31,-0.608
123,2023-10-04,0.09,-1.188
124,2023-10-05,-2.41,0.734
125,2023-10-06,-0.09,0.217
126,2023-10-10,0.21,1.156
127,2023-10-11,-0.26,1.413
128,2023-10-12,1.98,0.617
129,2023-10-13,1.21,-0.765
130,2023-10-16,-0.95,-0.559
131,2023-10-17,-0.81,0.735
132,2023-10-18,0.98,-0.33
133,2023-10-19,0.1,-1.246
134,2023-10-20,-1.9,-1.004
