,날짜,변동 %,당일 변동률,당일 변화량
0,2023-04-10,0.76,1.247,200.14
1,2023-04-11,-0.03,0.912,160.75
2,2023-04-12,-0.43,-0.4,79.87
3,2023-04-13,-0.85,-1.499,217.96
4,2023-04-14,1.99,1.407,182.86
5,2023-04-17,-0.35,0.046,179.17
6,2023-04-18,0.28,0.409,94.92
7,2023-04-19,-0.04,-0.663,135.2
8,2023-04-20,0.03,0.775,130.93
9,2023-04-21,-0.8,0.17,144.01
10,2023-04-24,0.11,0.219,110.33
11,2023-04-25,-0.29,-0.135,143.28
12,2023-04-26,-1.98,-1.417,191.69
13,2023-04-27,0.47,-0.494,134.92
14,2023-04-28,2.43,1.421,203.09
15,2023-05-01,0.69,0.9,145.15
16,2023-05-02,-0.11,0.021,80.24
17,2023-05-03,-1.08,-0.963,191.36
18,2023-05-04,-0.46,-0.593,190.09
19,2023-05-05,-0.49,-0.258,107.78
20,2023-05-08,2.25,1.345,199.11
21,2023-05-09,0.18,0.206,86.73
22,2023-05-10,-0.63,-0.133,42.07
23,2023-05-11,1.04,0.161,156.83
24,2023-05-12,0.18,0.059,91.94
25,2023-05-15,-0.35,-0.533,155.07
26,2023-05-16,0.66,0.521,113.05
27,2023-05-17,-0.18,0.13,79.29
28,2023-05-18,1.28,0.904,179.05
29,2023-05-19,1.51,1.398,186.24
30,2023-05-22,-0.24,-0.406,107.67
31,2023-05-23,0.5,0.445,100.96
32,2023-05-24,-1.26,-0.732,155.31
33,2023-05-25,-0.61,0.018,113.78
34,2023-05-26,1.71,-0.066,132.03
35,2023-05-30,2.19,1.879,272.17
36,2023-05-31,0.32,-0.699,186.17
37,2023-06-01,-0.63,-0.255,139.71
38,2023-06-02,1.28,1.209,238.2
39,2023-06-05,1.07,0.381,130.35
40,2023-06-06,-0.09,-0.068,135.7
41,2023-06-07,0.36,0.582,140.56
42,2023-06-08,-1.29,-1.432,272.42
43,2023-06-09,1.02,0.955,147.42
44,2023-06-12,0.16,-0.4,156.62
45,2023-06-13,1.53,1.017,163.33
46,2023-06-14,0.83,0.05,121.21
47,2023-06-15,0.39,0.412,205.75
48,2023-06-16,1.15,1.547,266.8
49,2023-06-20,-0.68,-1.223,183.1
50,2023-06-21,-0.16,0.183,149.34
51,2023-06-22,-1.21,-0.871,177.63
52,2023-06-23,0.95,1.393,190.29
53,2023-06-26,-1.01,0.062,129.53
54,2023-06-27,-1.16,-0.987,239.15
55,2023-06-28,1.65,1.243,211.83
56,2023-06-29,0.27,0.635,158.41
57,2023-06-30,0.0,-0.008,78.27
58,2023-07-03,1.45,0.495,100.51
59,2023-07-05,0.21,0.131,65.68
60,2023-07-06,-0.18,0.142,80.25
61,2023-07-07,-0.82,0.189,122.27
62,2023-07-10,-0.13,-0.054,147.77
63,2023-07-11,0.18,0.294,107.54
64,2023-07-12,0.55,0.371,131.51
65,2023-07-13,1.15,0.024,121.32
66,2023-07-14,1.58,0.837,151.56
67,2023-07-17,-0.18,-0.374,150.15
68,2023-07-18,0.93,0.672,136.41
69,2023-07-19,0.76,0.995,220.58
70,2023-07-20,0.03,-0.281,129.46
71,2023-07-21,-2.05,-1.471,279.29
72,2023-07-24,-0.22,-0.815,158.56
73,2023-07-25,0.19,-0.162,113.02
74,2023-07-26,0.61,0.364,109.39
75,2023-07-27,-0.12,0.027,145.4
76,2023-07-28,-0.55,-1.879,353.28
77,2023-07-31,1.9,0.823,156.25
78,2023-08-01,0.21,0.057,78.16
79,2023-08-02,-0.43,0.063,93.57
80,2023-08-03,-2.17,-1.127,219.04
81,2023-08-04,-0.1,0.431,150.93
82,2023-08-07,-0.36,-0.832,221.29
83,2023-08-08,0.61,0.157,132.23
84,2023-08-09,-0.79,0.064,130.4
85,2023-08-10,-1.17,-1.263,200.15
86,2023-08-11,0.12,-0.581,260.65
87,2023-08-14,-0.68,0.082,110.35
88,2023-08-15,1.05,1.392,206.67
89,2023-08-16,-1.14,-0.941,163.05
90,2023-08-17,-1.15,-0.872,171.29
91,2023-08-18,-1.17,-1.555,231.64
92,2023-08-21,-0.2,0.764,174.11
93,2023-08-22,1.56,1.126,191.27
94,2023-08-23,0.06,-0.648,114.38
95,2023-08-24,1.59,1.394,224.57
96,2023-08-25,-1.87,-2.677,371.84
97,2023-08-28,0.94,0.564,257.08
98,2023-08-29,0.84,0.071,109.34
99,2023-08-30,1.74,1.874,282.75
100,2023-08-31,0.54,0.412,126.62
101,2023-09-01,0.11,-0.047,104.19
102,2023-09-05,-0.02,-0.695,167.2
103,2023-09-06,-0.08,0.189,115.2
104,2023-09-07,-1.06,-0.832,199.53
105,2023-09-08,-0.89,0.539,132.16
106,2023-09-11,0.09,0.05,110.19
107,2023-09-12,1.14,0.244,132.33
108,2023-09-13,-1.04,-0.616,149.91
109,2023-09-14,0.29,0.29,134.75
110,2023-09-15,0.81,0.261,146.91
111,2023-09-18,-1.56,-1.302,211.51
112,2023-09-19,0.01,0.295,87.82
113,2023-09-20,-0.23,0.211,126.28
114,2023-09-21,-1.53,-1.759,260.53
115,2023-09-22,-1.82,-0.781,139.67
116,2023-09-25,-0.09,-0.567,152.58
117,2023-09-26,0.45,0.75,145.83
118,2023-09-27,-1.57,-0.89,165.73
119,2023-09-28,0.22,-0.172,193.21
120,2023-09-29,0.83,1.211,245.86
121,2023-10-02,0.14,-0.888,205.89
122,2023-10-03,0.67,0.679,159.95
123,2023-10-04,-1.87,-1.287,271.44
124,2023-10-05,1.35,1.093,186.25
125,2023-10-06,-0.12,-0.063,163.61
