,날짜,변동 %,당일 변동률,당일 변화량
0,2023-04-10,0.36,0.585,37.48
1,2023-04-11,0.1,0.585,36.95
2,2023-04-12,0.0,-0.033,21.65
3,2023-04-13,-0.41,-0.722,47.43
4,2023-04-14,1.33,1.126,50.86
5,2023-04-17,-0.21,-0.06,49.99
6,2023-04-18,0.33,0.342,28.54
7,2023-04-19,0.09,-0.225,29.12
8,2023-04-20,-0.01,0.367,28.08
9,2023-04-21,-0.6,-0.017,34.0
10,2023-04-24,0.09,0.033,24.16
11,2023-04-25,0.09,0.12,24.64
12,2023-04-26,-1.58,-1.328,55.05
13,2023-04-27,-0.38,-0.778,40.32
14,2023-04-28,1.96,1.474,62.95
15,2023-05-01,0.83,0.965,42.88
16,2023-05-02,-0.04,0.026,22.8
17,2023-05-03,-1.16,-1.069,74.38
18,2023-05-04,-0.7,-0.764,59.44
19,2023-05-05,-0.72,-0.522,34.33
20,2023-05-08,1.85,1.261,62.29
21,2023-05-09,0.05,0.028,18.49
22,2023-05-10,-0.46,-0.123,13.7
23,2023-05-11,0.45,-0.147,55.36
24,2023-05-12,-0.17,-0.039,23.51
25,2023-05-15,-0.16,-0.349,44.62
26,2023-05-16,0.3,0.233,30.98
27,2023-05-17,-0.64,-0.437,25.68
28,2023-05-18,1.19,0.871,51.05
29,2023-05-19,0.94,0.971,48.7
30,2023-05-22,-0.14,-0.289,32.71
31,2023-05-23,0.02,0.044,29.54
32,2023-05-24,-1.12,-0.747,43.14
33,2023-05-25,-0.73,-0.429,28.98
34,2023-05-26,0.88,-0.107,36.01
35,2023-05-30,1.3,1.186,56.71
36,2023-05-31,0.0,-0.501,38.92
37,2023-06-01,-0.61,-0.26,29.29
38,2023-06-02,0.99,0.908,60.79
39,2023-06-05,1.45,0.975,49.66
40,2023-06-06,-0.2,-0.215,32.46
41,2023-06-07,0.24,0.293,25.24
42,2023-06-08,-0.38,-0.419,35.23
43,2023-06-09,0.62,0.591,36.94
44,2023-06-12,0.11,-0.14,30.92
45,2023-06-13,0.93,0.71,35.76
46,2023-06-14,0.69,0.377,26.06
47,2023-06-15,0.08,0.144,53.97
48,2023-06-16,1.22,1.386,76.6
49,2023-06-20,-0.37,-0.706,41.03
50,2023-06-21,-0.47,-0.168,32.96
51,2023-06-22,-0.52,-0.327,26.08
52,2023-06-23,0.37,0.608,30.43
53,2023-06-26,-0.77,-0.134,25.21
54,2023-06-27,-0.45,-0.369,33.98
55,2023-06-28,1.15,0.946,49.42
56,2023-06-29,-0.04,0.215,30.13
57,2023-06-30,0.45,0.491,26.42
58,2023-07-03,1.23,0.632,36.04
59,2023-07-05,0.12,0.115,14.17
60,2023-07-06,-0.2,0.108,17.45
61,2023-07-07,-0.79,-0.249,37.57
62,2023-07-10,-0.29,-0.127,42.99
63,2023-07-11,0.24,0.348,22.68
64,2023-07-12,0.67,0.537,35.18
65,2023-07-13,0.74,0.1,25.11
66,2023-07-14,0.85,0.413,28.02
67,2023-07-17,-0.1,-0.204,28.2
68,2023-07-18,0.39,0.309,27.95
69,2023-07-19,0.71,0.734,47.71
70,2023-07-20,0.24,0.041,20.95
71,2023-07-21,-0.68,-0.428,37.18
72,2023-07-24,0.03,-0.304,19.21
73,2023-07-25,0.4,0.248,22.12
74,2023-07-26,0.28,0.269,28.2
75,2023-07-27,-0.02,0.171,34.89
76,2023-07-28,-0.64,-1.323,78.51
77,2023-07-31,0.99,0.361,26.15
78,2023-08-01,0.15,0.09,21.08
79,2023-08-02,-0.27,-0.046,17.09
80,2023-08-03,-1.38,-0.825,45.18
81,2023-08-04,-0.25,0.17,33.95
82,2023-08-07,-0.53,-0.796,65.79
83,2023-08-08,0.9,0.598,28.69
84,2023-08-09,-0.42,0.03,38.92
85,2023-08-10,-0.7,-0.752,41.11
86,2023-08-11,0.03,-0.408,69.45
87,2023-08-14,-0.11,0.3,32.25
88,2023-08-15,0.58,0.709,36.89
89,2023-08-16,-1.16,-0.916,46.68
90,2023-08-17,-0.76,-0.664,46.4
91,2023-08-18,-0.77,-1.041,56.34
92,2023-08-21,-0.01,0.571,46.51
93,2023-08-22,0.69,0.445,47.25
94,2023-08-23,-0.28,-0.629,35.82
95,2023-08-24,1.1,0.9,46.74
96,2023-08-25,-1.35,-1.77,82.75
97,2023-08-28,0.67,0.372,62.17
98,2023-08-29,0.63,0.164,24.58
99,2023-08-30,1.45,1.464,68.46
100,2023-08-31,0.38,0.323,28.06
101,2023-09-01,-0.16,-0.207,24.87
102,2023-09-05,0.18,-0.327,39.9
103,2023-09-06,-0.42,-0.293,18.28
104,2023-09-07,-0.7,-0.554,47.97
105,2023-09-08,-0.32,0.374,27.35
106,2023-09-11,0.14,0.139,25.15
107,2023-09-12,0.67,0.145,22.88
108,2023-09-13,-0.57,-0.254,30.28
109,2023-09-14,0.12,0.107,25.87
110,2023-09-15,0.84,0.386,33.3
111,2023-09-18,-1.22,-1.06,50.77
112,2023-09-19,0.07,0.189,24.25
113,2023-09-20,-0.22,-0.033,33.24
114,2023-09-21,-0.94,-1.137,59.65
115,2023-09-22,-1.64,-1.014,46.53
116,2023-09-25,-0.23,-0.499,40.91
117,2023-09-26,0.4,0.622,35.81
118,2023-09-27,-1.47,-0.912,47.03
119,2023-09-28,0.02,-0.19,53.44
120,2023-09-29,0.59,0.704,52.89
121,2023-10-02,-0.27,-0.927,58.29
122,2023-10-03,0.01,0.09,40.37
123,2023-10-04,-1.37,-0.944,64.7
124,2023-10-05,0.81,0.707,48.02
125,2023-10-06,-0.13,-0.026,41.22
