,날짜,야간 변동률
0,2023-04-03,0.028
1,2023-04-04,0.014
2,2023-04-05,0.035
3,2023-04-06,0.024
4,2023-04-07,0.037
5,2023-04-10,0.007
6,2023-04-11,0.028
7,2023-04-12,0.032
8,2023-04-13,0.033
9,2023-04-14,0.061
10,2023-04-17,0.029
11,2023-04-18,0.03
12,2023-04-19,0.032
13,2023-04-20,0.032
14,2023-04-21,0.032
15,2023-04-24,0.077
16,2023-04-25,0.032
17,2023-04-26,0.031
18,2023-04-27,0.032
19,2023-04-28,0.03
20,2023-05-01,0.029
21,2023-05-02,0.066
22,2023-05-03,0.032
23,2023-05-04,0.073
24,2023-05-05,0.024
25,2023-05-08,0.037
26,2023-05-09,0.092
27,2023-05-10,0.031
28,2023-05-11,0.034
29,2023-05-12,0.023
30,2023-05-15,0.005
31,2023-05-16,0.032
32,2023-05-17,0.032
33,2023-05-18,0.036
34,2023-05-19,-0.033
35,2023-05-22,0.001
36,2023-05-23,0.032
37,2023-05-24,0.08
38,2023-05-25,0.026
39,2023-05-26,0.001
40,2023-05-29,0.058
41,2023-05-30,0.067
42,2023-05-31,0.03
43,2023-06-01,0.134
44,2023-06-02,0.041
45,2023-06-05,0.011
46,2023-06-06,0.023
47,2023-06-07,0.032
48,2023-06-08,0.031
49,2023-06-09,0.086
50,2023-06-12,0.029
51,2023-06-13,0.025
52,2023-06-14,0.025
53,2023-06-15,0.03
54,2023-06-16,0.031
55,2023-06-19,0.085
56,2023-06-20,0.078
57,2023-06-21,0.04
58,2023-06-22,0.032
59,2023-06-23,0.032
60,2023-06-26,0.025
61,2023-06-27,0.034
62,2023-06-28,0.023
63,2023-06-29,0.031
64,2023-06-30,0.073
65,2023-07-03,0.141
66,2023-07-04,0.035
67,2023-07-05,0.036
68,2023-07-06,0.031
69,2023-07-07,0.027
70,2023-07-10,0.092
71,2023-07-11,0.031
72,2023-07-12,0.031
73,2023-07-13,0.024
74,2023-07-14,0.034
75,2023-07-17,0.08
76,2023-07-18,0.044
77,2023-07-19,0.028
78,2023-07-20,0.079
79,2023-07-21,0.047
80,2023-07-24,0.036
81,2023-07-25,0.034
82,2023-07-26,0.031
83,2023-07-27,0.049
84,2023-07-28,0.03
85,2023-07-31,0.039
86,2023-08-01,0.033
87,2023-08-02,0.031
88,2023-08-03,0.042
89,2023-08-04,0.071
90,2023-08-07,0.016
91,2023-08-08,0.048
92,2023-08-09,0.023
93,2023-08-10,0.002
94,2023-08-11,0.094
95,2023-08-14,0.023
96,2023-08-15,0.085
97,2023-08-16,0.034
98,2023-08-17,0.054
99,2023-08-18,0.037
100,2023-08-21,0.075
101,2023-08-22,0.066
102,2023-08-23,0.075
103,2023-08-24,0.113
104,2023-08-25,0.075
105,2023-08-28,0.079
106,2023-08-29,0.03
107,2023-08-30,0.041
108,2023-08-31,0.023
109,2023-09-01,0.024
110,2023-09-04,0.068
111,2023-09-05,0.091
112,2023-09-06,0.068
113,2023-09-07,0.071
114,2023-09-08,0.1
115,2023-09-11,0.103
116,2023-09-12,0.042
117,2023-09-13,0.043
118,2023-09-14,0.121
119,2023-09-15,0.038
120,2023-09-18,0.072
121,2023-09-19,0.036
122,2023-09-20,0.028
123,2023-09-21,0.039
124,2023-09-22,0.043
125,2023-09-25,0.115
126,2023-09-26,0.126
127,2023-09-27,0.086
128,2023-09-28,0.069
129,2023-09-29,0.074
130,2023-10-02,0.025
131,2023-10-03,0.096
132,2023-10-04,0.071
133,2023-10-05,0.069
134,2023-10-06,0.046
135,2023-10-09,-0.007
136,2023-10-10,0.086
137,2023-10-11,0.096
138,2023-10-12,0.084
139,2023-10-13,0.033
140,2023-10-16,0.064
141,2023-10-17,0.025
142,2023-10-18,0.042
143,2023-10-19,0.12
144,2023-10-20,0.08
