,현재가,거래량,일자,시가,고가,저가,거래대금,대업종구분,소업종구분,종목정보,전일종가
0,31843,93256,20231024,31734,31863,31177,5696795,,,,
1,31550,89162,20231023,31743,31830,31509,4886900,,,,
2,31796,112714,20231020,31945,32018,31628,6689660,,,,
3,32276,115714,20231019,32475,32508,32240,6112652,,,,
4,32882,134130,20231018,32632,32906,32612,5961952,,,,
5,32735,88461,20231017,32570,32826,32501,5216247,,,,
6,32329,93097,20231016,32410,32600,32132,4933432,,,,
7,32577,91775,20231013,32611,32733,32543,4452713,,,,
8,32885,108820,20231012,32689,32885,32689,6630382,,,,
9,32474,119112,20231011,32396,32726,32395,7187299,,,,
10,31911,128817,20231010,32297,32485,31906,7413755,,,,
11,31894,87539,20231006,31927,32067,31844,4785511,,,,
12,31858,104523,20231005,32146,32171,31846,6140532,,,,
13,31945,149155,20231004,32261,32261,31888,8398231,,,,
14,32671,81603,20230927,32505,32750,32473,5135896,,,,
15,32690,90025,20230926,33151,33156,32663,5104544,,,,
16,33158,84400,20230925,33140,33265,33010,5404392,,,,
17,33202,87028,20230922,32990,33259,32911,4845964,,,,
18,33304,96329,20230921,33673,33754,33301,5422533,,,,
19,33875,104346,20230920,33854,33987,33757,4864915,,,,
20,33882,96051,20230919,34150,34218,33821,5150652,,,,
21,34067,100512,20230918,34298,34439,34051,5807078,,,,
22,34498,159760,20230915,34156,34629,34102,8612804,,,,
23,34119,121377,20230914,33734,34119,33664,7339688,,,,
24,33599,106779,20230913,33583,33761,33467,6586600,,,,
25,33554,94676,20230912,33851,33881,33528,6577900,,,,
26,33758,112565,20230911,33652,33762,33533,6057232,,,,
27,33640,79833,20230908,33629,33666,33392,5163660,,,,
28,33674,88385,20230907,33693,33802,33508,5855713,,,,
29,33785,91706,20230906,33966,34048,33736,5420049,,,,
30,34029,82753,20230905,34015,34145,33925,5134979,,,,
31,34102,96695,20230904,33910,34102,33760,6508907,,,,
32,33828,119774,20230901,33411,33895,33407,7125172,,,,
33,33475,146249,20230831,33538,33606,33339,8353484,,,,
34,33494,89255,20230830,33711,33769,33494,5261255,,,,
35,33376,88518,20230829,33357,33446,33270,5374375,,,,
36,33253,95136,20230828,33210,33267,33087,5316398,,,,
37,33025,82420,20230825,32931,33140,32866,5183029,,,,
38,33382,105020,20230824,33314,33404,33214,7005814,,,,
39,32915,87579,20230823,32895,33022,32787,4908115,,,,
40,32970,93981,20230822,33165,33253,32869,5506519,,,,
41,32884,100072,20230821,32945,33109,32830,5306601,,,,
42,32842,119156,20230818,32690,33065,32624,6558915,,,,
43,33023,117990,20230817,32963,33043,32574,7284433,,,,
44,33128,126660,20230816,33369,33417,33054,7665363,,,,
45,33633,125087,20230814,33858,33952,33528,7013972,,,,
46,33898,128908,20230811,34188,34303,33880,7520583,,,,
47,34046,164734,20230810,33969,34046,33909,8882538,,,,
48,34161,115524,20230809,33900,34238,33845,7886431,,,,
49,33795,127774,20230808,34212,34262,33725,8629259,,,,
50,33968,117858,20230807,33960,34318,33946,9069975,,,,
51,34125,118844,20230804,34160,34272,34062,7770010,,,,
52,34154,169191,20230803,34480,34505,34010,10148539,,,,
53,34380,173994,20230802,34910,34974,34325,11758447,,,,
54,35100,171253,20230801,34735,35123,34656,12746206,,,,
55,34562,168148,20230731,34650,34718,34472,12853489,,,,
56,34403,197316,20230728,34355,34434,34131,13896926,,,,
57,34476,238862,20230727,34164,34550,34058,20393085,,,,
58,34056,296537,20230726,34518,34542,33953,30537102,,,,
59,34492,200892,20230725,34578,34627,34293,15078063,,,,
60,34432,151454,20230724,34198,34587,34067,14838460,,,,
61,34239,130846,20230721,33919,34239,33745,9892910,,,,
62,34167,116380,20230720,34137,34329,34062,6938620,,,,
63,34311,123777,20230719,34561,34569,34178,7905985,,,,
64,34338,131143,20230718,34649,34698,34290,8781575,,,,
65,34575,150886,20230717,34538,34698,34474,8057203,,,,
66,34693,155035,20230714,34349,34693,34290,8932216,,,,
67,34113,154057,20230713,34160,34301,34110,9011170,,,,
68,33946,185296,20230712,33682,33946,33615,9373929,,,,
69,33702,147277,20230711,33347,33702,33291,7596425,,,,
70,33084,116841,20230710,33182,33360,33039,6691187,,,,
71,33157,134887,20230707,33479,33479,33033,7478770,,,,
72,33620,146367,20230706,33819,33888,33555,7314514,,,,
73,33904,130507,20230705,34147,34282,33893,7033001,,,,
74,34159,103849,20230704,34354,34388,34142,5886726,,,,
75,34308,98770,20230703,34026,34350,34007,5786891,,,,
