,현재가,거래량,체결시간,시가,고가,저가,수정주가이벤트,전일종가
0,-316.35,3,20231023154500,-316.35,-316.35,-316.35,-316.45,+344.35
1,-316.45,16,20231023151500,-316.20,-316.60,-316.20,,
2,-316.10,20,20231023144500,-316.05,-316.45,-315.85,,
3,-316.00,21,20231023141500,-315.95,-316.25,-315.80,,
4,-315.85,14,20231023134500,-315.95,-316.25,-315.85,,
5,-316.10,79,20231023131500,-317.10,-317.15,-315.95,,
6,-317.10,20,20231023124500,-316.55,-317.10,-316.35,,
7,-316.50,6,20231023121500,-316.50,-316.60,-316.45,,
8,-316.70,31,20231023114500,-316.45,-316.70,-316.05,,
9,-316.45,30,20231023111500,-316.70,-317.20,-316.40,,
10,-317.00,92,20231023104500,-317.60,-318.05,-317.00,,
11,-317.65,37,20231023101500,-317.60,-318.35,-317.60,,
12,-317.50,20,20231023094500,-317.90,-318.25,-317.50,,
13,-317.70,53,20231023091500,-318.20,-318.25,-316.70,,
14,+318.50,93,20231023084500,-317.30,+318.50,-316.75,,
15,-318.40,5,20231020154500,-318.40,-318.40,-318.40,,
16,-318.60,23,20231020151500,-318.65,-318.65,-318.20,,
17,-318.65,32,20231020144500,-319.30,-319.30,-318.35,,
18,-319.25,35,20231020141500,-319.75,-320.10,-319.25,,
19,-319.55,63,20231020134500,-320.20,-320.30,-319.55,,
20,-320.05,25,20231020131500,-319.50,-320.30,-319.50,,
21,-319.50,68,20231020124500,-319.40,-319.75,-319.35,,
22,-319.00,27,20231020121500,-319.15,-319.35,-319.00,,
23,-319.20,49,20231020114500,-318.10,-319.30,-318.10,,
24,-318.10,16,20231020111500,-317.75,-318.15,-317.50,,
25,-317.90,42,20231020104500,-317.80,-318.10,-317.65,,
26,-317.80,67,20231020101500,-316.95,-317.90,-316.80,,
27,-317.00,81,20231020094500,-317.25,-317.80,-316.95,,
28,-317.55,104,20231020091500,-318.95,-318.95,-317.40,,
29,-318.90,184,20231020084500,-320.10,-320.70,-318.90,,
30,-322.85,6,20231019154500,-322.85,-322.85,-322.85,,
31,-323.00,15,20231019151500,-323.35,-323.35,-323.00,,
32,-323.20,17,20231019144500,-323.25,-323.35,-323.00,,
33,-323.40,7,20231019141500,-323.55,-323.55,-323.40,,
34,-323.85,6,20231019134500,-323.35,-323.85,-323.35,,
35,-323.35,13,20231019131500,-323.65,-323.75,-323.35,,
36,-323.70,10,20231019124500,-323.70,-323.75,-323.50,,
37,-323.45,21,20231019121500,-323.45,-323.45,-323.00,,
38,-323.40,13,20231019114500,-323.80,-323.90,-323.40,,
