,현재가,거래량,체결시간,시가,고가,저가,수정주가이벤트,전일종가
0,+308.60,6,20231027153000,+308.75,+308.75,+308.60,,
1,+308.70,9,20231027144500,308.55,+308.85,308.55,,
2,+308.70,37,20231027140000,308.55,+308.85,-308.10,,
3,+308.80,25,20231027131500,-308.00,+309.10,-307.80,,
4,-308.05,41,20231027123000,+309.20,+309.20,-308.05,,
5,+309.30,55,20231027114500,+310.30,+310.30,+309.15,,
6,+310.50,277,20231027110000,+309.75,+310.70,+309.70,,
7,+309.70,126,20231027101500,+309.25,+310.25,+309.05,,
8,+309.00,104,20231027093000,+309.15,+309.50,-308.00,,
9,+309.00,116,20231027084500,+309.10,+310.55,+309.00,,
10,-308.55,11,20231026153000,-308.80,-308.95,-308.55,,
11,-308.85,48,20231026144500,-308.95,-309.90,-308.70,,
12,-308.95,67,20231026140000,-309.20,-309.45,-308.50,,
13,-309.20,72,20231026131500,-309.35,-309.55,-309.00,,
14,-309.50,34,20231026123000,-309.65,-310.05,-309.45,,
15,-309.60,80,20231026114500,-310.30,-310.30,-309.35,,
16,-310.10,279,20231026110000,-310.90,-310.90,-309.60,,
17,-310.95,72,20231026101500,-311.10,-312.10,-310.85,,
18,-311.00,86,20231026093000,-311.95,-311.95,-310.80,,
19,-311.95,89,20231026084500,-312.55,-312.90,-311.65,,
20,-317.25,9,20231025153000,-317.15,-317.25,-317.10,,
21,-317.25,13,20231025144500,-317.20,-317.75,-317.10,,
22,-317.40,21,20231025140000,-318.30,-318.30,-317.20,,
23,-317.90,29,20231025131500,-317.50,-317.90,-316.95,,
24,-317.45,22,20231025123000,-317.95,-317.95,-317.45,,
25,-317.95,30,20231025114500,-318.55,318.90,-317.90,,
26,-318.65,45,20231025110000,-318.85,+319.05,-318.50,,
27,-318.70,102,20231025101500,-318.10,-318.70,-317.50,,
28,-318.20,85,20231025093000,-318.80,+319.00,-317.85,,
29,+319.50,86,20231025084500,+319.75,+320.00,-318.60,,
30,+318.90,9,20231024153000,+318.95,+318.95,+318.90,,
31,+318.95,46,20231024144500,+318.50,+318.95,+318.30,,
32,+318.50,78,20231024140000,+317.30,+318.85,+317.30,,
33,+317.20,33,20231024131500,-315.35,+317.20,-315.35,,
34,-315.35,39,20231024123000,-315.20,-315.60,-315.00,,
35,-315.10,56,20231024114500,316.35,316.35,-315.00,,
36,+316.70,149,20231024110000,-313.20,+316.95,-313.20,,
37,-313.20,277,20231024101500,-315.35,-315.35,-312.40,,
38,-315.40,70,20231024093000,+316.45,+316.85,-315.25,,
39,+316.75,71,20231024084500,+318.00,+318.20,-316.30,,
40,-316.35,10,20231023153000,-316.50,-316.55,-316.35,,
41,-316.35,29,20231023144500,-316.05,-316.60,-315.85,,
42,-316.00,26,20231023140000,-316.25,-316.25,-315.80,,
43,-316.05,88,20231023131500,-317.10,-317.15,-315.95,,
44,-317.10,25,20231023123000,-316.50,-317.10,-316.35,,
45,-316.50,32,20231023114500,-316.45,-316.70,-316.05,,
46,-316.45,89,20231023110000,-317.55,-317.55,-316.40,,
47,-317.55,70,20231023101500,-317.60,-318.35,-317.55,,
48,-317.50,34,20231023093000,-317.45,-318.25,-317.45,,
49,-316.95,132,20231023084500,-317.30,+318.50,-316.70,,
50,-318.40,14,20231020153000,-318.35,-318.60,-318.35,,
51,-318.30,46,20231020144500,-319.30,-319.30,-318.20,,
52,-319.25,57,20231020140000,-320.25,-320.25,-319.25,,
53,-320.25,66,20231020131500,-319.50,-320.30,-319.50,,
54,-319.50,89,20231020123000,-319.15,-319.75,-319.00,,
55,-319.20,55,20231020114500,-318.10,-319.30,-318.10,,
56,-318.10,26,20231020110000,-317.65,-318.15,-317.50,,
57,-317.75,99,20231020101500,-316.95,-318.10,-316.80,,
58,-317.00,138,20231020093000,-318.15,-318.15,-316.95,,
59,-318.25,231,20231020084500,-320.10,-320.70,-318.10,,
60,-322.85,16,20231019153000,-323.25,-323.35,-322.85,,
61,-323.25,22,20231019144500,-323.25,-323.35,-323.00,,
62,-323.40,10,20231019140000,-323.70,-323.85,-323.40,,
63,-323.45,16,20231019131500,-323.65,-323.75,-323.35,,
64,-323.70,13,20231019123000,-323.30,-323.75,-323.30,,
65,-323.20,31,20231019114500,-323.80,-323.90,-323.00,,
66,-323.65,40,20231019110000,-324.30,-324.40,-323.65,,
67,-324.30,35,20231019101500,-325.05,-325.50,-324.25,,
68,-324.85,42,20231019093000,-324.10,-325.05,-323.85,,
69,-323.90,127,20231019084500,-325.90,-325.90,-323.80,,
70,+329.35,5,20231018153000,+329.45,+329.45,+329.35,,
71,+329.40,27,20231018144500,+329.35,+329.60,+329.35,,
72,+329.25,24,20231018140000,+329.05,+329.30,+328.90,,
73,+329.35,25,20231018131500,+329.55,+329.60,+329.35,,
74,+329.40,1,20231018123000,+329.40,+329.40,+329.40,,
75,+329.40,76,20231018114500,+328.90,+329.80,+328.90,,
76,+328.70,91,20231018110000,+328.60,+329.45,+328.60,,
77,+328.40,102,20231018101500,+328.00,+329.05,+328.00,,
78,-327.80,80,20231018093000,+328.40,+328.85,-327.80,,
79,+328.00,68,20231018084500,-327.20,+328.30,-327.00,,
80,+327.90,1,20231017153000,+327.90,+327.90,+327.90,,
81,+328.05,39,20231017144500,+328.60,+328.80,+328.00,,
82,+328.55,49,20231017140000,+328.05,+328.55,+327.75,,
83,+328.05,28,20231017131500,+328.30,+328.70,+328.00,,
84,+328.20,50,20231017123000,+328.45,+328.80,+327.65,,
85,+328.45,132,20231017114500,+327.15,+328.50,+327.05,,
86,+327.15,42,20231017110000,+327.05,+327.40,+326.65,,
87,+327.00,57,20231017101500,+326.50,+327.15,+325.80,,
88,+326.40,62,20231017093000,+326.75,+326.75,+325.80,,
89,+326.90,95,20231017084500,+326.70,+327.05,+325.90,,
90,-324.05,12,20231016153000,-324.15,-324.25,-324.05,,
91,-324.20,77,20231016144500,-323.10,-324.55,-322.90,,
92,-323.15,48,20231016140000,-322.70,-323.50,-322.70,,
93,-322.75,23,20231016131500,-322.35,-322.90,-322.30,,
94,-322.20,21,20231016123000,-322.30,-322.50,-322.15,,
95,-322.35,50,20231016114500,-323.25,-323.30,-322.10,,
96,-323.30,37,20231016110000,-323.70,-323.70,-323.05,,
97,-323.90,79,20231016101500,-325.05,-325.05,-323.90,,
98,-325.10,107,20231016093000,-325.65,-325.85,-324.30,,
99,-325.35,95,20231016084500,-324.50,-326.40,-324.50,,
100,-326.65,5,20231013153000,-326.55,-326.75,-326.55,,
101,-326.60,8,20231013144500,-326.60,-326.70,-326.60,,
102,-326.60,46,20231013140000,-326.25,-326.80,-326.25,,
103,-326.40,11,20231013131500,-327.00,-327.00,-326.40,,
104,-326.90,13,20231013123000,-326.75,-327.00,-326.65,,
105,-326.95,11,20231013114500,-327.25,-327.25,-326.95,,
106,-327.25,20,20231013110000,-327.45,-327.60,-327.25,,
107,-327.20,25,20231013101500,-327.55,-327.60,-326.75,,
108,-327.40,38,20231013093000,-327.05,-327.50,-326.55,,
109,-326.70,50,20231013084500,-327.05,-327.75,-325.90,,
110,+329.45,7,20231012153000,+329.45,+329.45,+329.30,,
111,+329.55,47,20231012144500,+328.55,+329.75,+328.35,,
112,+328.60,31,20231012140000,+328.45,+328.75,+328.30,,
113,+328.50,23,20231012131500,+329.00,+329.00,+328.50,,
114,+329.00,22,20231012123000,+328.65,+329.00,+328.65,,
115,+328.50,54,20231012114500,+328.45,+328.50,+328.10,,
116,+328.60,50,20231012110000,+329.00,+329.05,+328.55,,
117,+329.20,5,20231012101500,+328.70,+329.20,+328.70,,
118,+328.70,47,20231012093000,+328.70,+329.35,+328.55,,
119,+328.50,102,20231012084500,+328.00,+329.10,+327.50,,
120,+326.15,58,20231011153000,+325.75,+326.15,+325.75,,
121,+325.80,78,20231011144500,+326.65,+326.65,+325.50,,
122,+327.10,22,20231011140000,+326.80,+327.30,+326.75,,
123,+326.60,41,20231011131500,+327.90,+327.90,+326.60,,
124,+327.95,19,20231011123000,+327.80,+328.20,+327.80,,
125,+327.70,26,20231011114500,+327.65,+327.70,+327.40,,
126,+327.50,88,20231011110000,+326.75,+327.50,+326.65,,
127,+327.00,49,20231011101500,+326.50,+327.10,+326.50,,
128,+326.40,41,20231011093000,+326.40,+326.80,+326.00,,
129,+326.20,194,20231011084500,+323.25,+326.50,+323.25,,
130,+320.65,50,20231010153000,+320.65,+320.65,+320.65,,
131,+320.55,21,20231010144500,+320.90,+320.90,+320.20,,
132,+321.30,35,20231010140000,+321.25,+321.50,+320.30,,
133,+321.45,14,20231010131500,+321.25,+321.45,+320.65,,
134,+321.35,33,20231010123000,+322.80,+322.80,+321.25,,
135,+322.70,39,20231010114500,+323.55,+323.55,+322.50,,
136,+323.70,14,20231010110000,+324.00,+324.15,+323.55,,
137,+323.75,23,20231010101500,+324.00,+324.55,+323.50,,
138,+324.00,62,20231010093000,+325.55,+325.60,+323.80,,
139,+325.35,154,20231010084500,+323.15,+325.65,+323.10,,
140,+319.60,10,20231006153000,+319.65,+319.65,+319.60,,
141,+319.75,23,20231006144500,+319.35,+320.00,+319.20,,
142,+319.45,24,20231006140000,+320.00,+320.05,+319.45,,
143,+319.90,2,20231006131500,+319.90,+319.90,+319.90,,
