,일자,시장베이시스,이론베이시스,괴리율
0,2023-06-12,2.71,2.38,0.09
1,2023-06-13,2.08,2.25,-0.05
2,2023-06-14,2.01,2.24,-0.07
3,2023-06-15,1.75,2.18,-0.12
4,2023-06-16,1.96,2.14,-0.05
5,2023-06-19,2.13,2.12,0.0
6,2023-06-20,1.97,1.99,-0.01
7,2023-06-21,1.57,1.95,-0.11
8,2023-06-22,1.71,1.89,-0.05
9,2023-06-23,1.13,1.87,-0.22
10,2023-06-26,1.8,1.81,0.0
11,2023-06-27,1.02,1.72,-0.2
12,2023-06-28,1.23,1.69,-0.13
13,2023-06-29,1.14,1.64,-0.15
14,2023-06-30,2.81,2.66,0.04
15,2023-07-03,2.55,2.64,-0.03
16,2023-07-04,2.67,2.57,0.03
17,2023-07-05,2.26,2.53,-0.08
18,2023-07-06,1.56,2.47,-0.27
19,2023-07-07,1.9,2.41,-0.15
20,2023-07-10,1.28,2.35,-0.32
21,2023-07-11,2.01,2.24,-0.07
22,2023-07-12,1.83,2.25,-0.12
23,2023-07-13,1.34,2.23,-0.26
24,2023-07-14,2.52,2.21,0.09
25,2023-07-17,1.27,2.21,-0.27
26,2023-07-18,2.15,2.1,0.01
27,2023-07-19,2.22,2.05,0.05
28,2023-07-20,1.29,2.01,-0.21
29,2023-07-21,1.63,1.97,-0.1
30,2023-07-24,1.76,1.93,-0.05
31,2023-07-25,1.68,1.84,-0.05
32,2023-07-26,1.48,1.81,-0.1
33,2023-07-27,1.89,1.75,0.04
34,2023-07-28,1.59,1.74,-0.04
35,2023-07-31,1.22,1.69,-0.14
36,2023-08-01,1.63,1.59,0.01
37,2023-08-02,1.35,1.58,-0.07
38,2023-08-03,1.0,1.51,-0.15
39,2023-08-04,1.16,1.47,-0.09
40,2023-08-07,1.05,1.43,-0.11
41,2023-08-08,1.27,1.32,-0.01
42,2023-08-09,1.2,1.27,-0.02
43,2023-08-10,0.89,1.25,-0.1
44,2023-08-11,-0.01,1.21,-0.36
45,2023-08-14,1.47,1.16,0.09
46,2023-08-16,0.92,1.05,-0.04
47,2023-08-17,1.07,0.97,0.03
48,2023-08-18,0.77,0.94,-0.05
49,2023-08-21,0.08,0.9,-0.25
50,2023-08-22,0.11,0.8,-0.21
51,2023-08-23,0.3,0.77,-0.14
52,2023-08-24,0.5,0.73,-0.07
53,2023-08-25,0.08,0.71,-0.19
54,2023-08-28,-0.05,0.67,-0.22
55,2023-08-29,0.12,0.57,-0.14
56,2023-08-30,-0.31,0.54,-0.25
57,2023-08-31,-0.19,0.51,-0.21
58,2023-09-01,0.2,0.47,-0.08
59,2023-09-04,-0.43,0.44,-0.26
60,2023-09-05,-0.27,0.34,-0.18
61,2023-09-06,0.21,0.31,-0.03
62,2023-09-07,-0.05,0.27,-0.09
63,2023-09-08,-0.44,0.24,-0.2
64,2023-09-11,0.35,0.21,0.04
65,2023-09-12,0.47,0.1,0.11
66,2023-09-13,0.21,0.07,0.04
67,2023-09-14,0.11,0.03,0.02
68,2023-09-15,-0.89,,
69,2023-09-18,1.92,2.38,-0.13
70,2023-09-19,2.28,2.25,0.01
71,2023-09-20,1.93,2.2,-0.08
72,2023-09-21,1.85,2.18,-0.1
73,2023-09-22,1.16,2.1,-0.28
74,2023-09-25,0.83,2.07,-0.37
75,2023-09-26,1.52,1.96,-0.13
76,2023-09-27,1.45,2.71,-0.38
77,2023-10-04,2.29,2.67,-0.12
78,2023-10-05,0.65,2.38,-0.54
79,2023-10-06,1.17,2.35,-0.37
