,date,CD 변동률,CD 변화량
0,2023-06-12,0.0,0.0
1,2023-06-13,0.0,0.0
2,2023-06-14,0.0,0.0
3,2023-06-15,0.0,0.0
4,2023-06-16,0.0,0.0
5,2023-06-19,0.0,0.0
6,2023-06-20,0.0,0.0
7,2023-06-21,0.0,0.0
8,2023-06-22,0.0,0.0
9,2023-06-23,0.0,0.0
10,2023-06-26,0.0,0.0
11,2023-06-27,0.0,0.0
12,2023-06-28,0.0,0.0
13,2023-06-29,0.0,0.0
14,2023-06-30,0.0,0.0
15,2023-07-03,0.0,0.0
16,2023-07-04,0.0,0.0
17,2023-07-05,-0.267,0.01
18,2023-07-06,0.0,0.0
19,2023-07-07,0.0,0.0
20,2023-07-10,0.267,-0.01
21,2023-07-11,0.0,0.0
22,2023-07-12,0.0,0.0
23,2023-07-13,0.0,0.0
24,2023-07-14,0.0,0.0
25,2023-07-17,0.0,0.0
26,2023-07-18,0.0,0.0
27,2023-07-19,0.0,0.0
28,2023-07-20,0.0,0.0
29,2023-07-21,0.0,0.0
30,2023-07-24,0.0,0.0
31,2023-07-25,0.0,0.0
32,2023-07-26,0.0,0.0
33,2023-07-27,0.0,0.0
34,2023-07-28,-0.267,0.01
35,2023-07-31,0.0,0.0
36,2023-08-01,0.0,0.0
37,2023-08-02,0.0,0.0
38,2023-08-03,0.0,0.0
39,2023-08-04,-0.267,0.01
40,2023-08-07,-0.268,0.01
41,2023-08-08,0.0,0.0
42,2023-08-09,-0.538,0.02
43,2023-08-10,0.0,0.0
44,2023-08-11,-0.541,0.02
45,2023-08-14,0.272,-0.01
46,2023-08-16,0.0,0.0
47,2023-08-17,0.271,-0.01
48,2023-08-18,0.0,0.0
49,2023-08-21,0.0,0.0
50,2023-08-22,0.0,0.0
51,2023-08-23,0.0,0.0
52,2023-08-24,-0.27,0.01
53,2023-08-25,0.0,0.0
54,2023-08-28,0.0,0.0
55,2023-08-29,0.0,0.0
56,2023-08-30,0.0,0.0
57,2023-08-31,0.0,0.0
58,2023-09-01,0.0,0.0
59,2023-09-04,-0.271,0.01
60,2023-09-05,0.272,-0.01
61,2023-09-06,0.271,-0.01
62,2023-09-07,0.27,-0.01
63,2023-09-08,0.27,-0.01
64,2023-09-11,0.0,0.0
65,2023-09-12,0.0,0.0
66,2023-09-13,0.269,-0.01
67,2023-09-14,0.536,-0.02
68,2023-09-15,0.267,-0.01
69,2023-09-18,0.532,-0.02
70,2023-09-19,0.265,-0.01
71,2023-09-20,0.264,-0.01
72,2023-09-21,0.263,-0.01
73,2023-09-22,0.262,-0.01
74,2023-09-25,0.262,-0.01
75,2023-09-26,0.0,0.0
76,2023-09-27,0.0,0.0
77,2023-10-04,0.0,0.0
78,2023-10-05,0.261,-0.01
79,2023-10-06,-0.26,0.01
