,날짜,야간 변동률
0,2023-06-12,0.044
1,2023-06-13,0.05
2,2023-06-14,0.045
3,2023-06-15,0.062
4,2023-06-16,0.05
5,2023-06-19,0.112
6,2023-06-20,0.084
7,2023-06-21,0.05
8,2023-06-22,0.056
9,2023-06-23,0.055
10,2023-06-26,0.049
11,2023-06-27,0.05
12,2023-06-28,0.039
13,2023-06-29,0.044
14,2023-06-30,0.088
15,2023-07-03,0.16
16,2023-07-04,0.044
17,2023-07-05,0.039
18,2023-07-06,0.044
19,2023-07-07,0.033
20,2023-07-10,0.1
21,2023-07-11,0.039
22,2023-07-12,0.045
23,2023-07-13,0.034
24,2023-07-14,0.045
25,2023-07-17,0.09
26,2023-07-18,0.057
27,2023-07-19,0.051
28,2023-07-20,0.097
29,2023-07-21,0.067
30,2023-07-24,0.061
31,2023-07-25,0.051
32,2023-07-26,0.062
33,2023-07-27,0.056
34,2023-07-28,0.045
35,2023-07-31,0.045
36,2023-08-01,0.034
37,2023-08-02,0.033
38,2023-08-03,0.05
39,2023-08-04,0.088
40,2023-08-07,0.022
41,2023-08-08,0.066
42,2023-08-09,0.049
43,2023-08-10,0.027
44,2023-08-11,0.115
45,2023-08-14,0.044
46,2023-08-15,0.033
47,2023-08-16,0.049
48,2023-08-17,0.065
49,2023-08-18,0.044
50,2023-08-21,0.098
51,2023-08-22,0.087
52,2023-08-23,0.093
53,2023-08-24,0.137
54,2023-08-25,0.088
55,2023-08-28,0.094
56,2023-08-29,0.033
57,2023-08-30,0.055
58,2023-08-31,0.039
59,2023-09-01,0.033
60,2023-09-04,0.083
61,2023-09-05,0.066
62,2023-09-06,0.077
63,2023-09-07,0.088
64,2023-09-08,0.11
65,2023-09-11,0.116
66,2023-09-12,0.061
67,2023-09-13,0.055
68,2023-09-14,0.132
69,2023-09-15,0.049
70,2023-09-18,0.071
71,2023-09-19,0.039
72,2023-09-20,0.033
73,2023-09-21,0.049
74,2023-09-22,0.055
75,2023-09-25,0.12
76,2023-09-26,0.137
77,2023-09-27,0.124
78,2023-09-28,0.076
79,2023-09-29,0.081
80,2023-10-02,0.065
81,2023-10-03,0.108
82,2023-10-04,0.075
83,2023-10-05,0.059
84,2023-10-06,0.054
