,날짜,변동 %,전날 변동율,전날 변화량
0,2023-07-31,-1.22,-0.428,0.56
1,2023-08-01,-1.45,1.104,0.74
2,2023-08-02,-1.58,-1.475,1.4
3,2023-08-03,8.21,-4.829,0.86
4,2023-08-04,5.89,-3.05,1.26
5,2023-08-07,0.97,-2.523,1.36
6,2023-08-08,-2.35,1.799,0.84
7,2023-08-09,-1.18,0.099,0.74
8,2023-08-10,-0.5,0.0,0.9
9,2023-08-14,-3.99,2.287,1.82
10,2023-08-15,2.44,3.958,0.55
11,2023-08-16,-4.31,-4.363,0.87
12,2023-08-17,5.94,1.165,1.15
13,2023-08-18,-2.05,-3.693,1.24
14,2023-08-21,-0.2,-0.964,0.67
15,2023-08-22,2.15,3.692,0.56
16,2023-08-23,-5.42,-0.685,0.81
17,2023-08-24,-2.49,1.49,0.42
18,2023-08-25,-2.72,-4.992,0.84
19,2023-08-28,5.53,2.275,0.49
20,2023-08-29,-2.6,3.199,0.34
21,2023-08-30,-2.12,1.868,0.41
22,2023-08-31,-1.44,2.484,0.58
23,2023-09-01,-4.79,-0.295,0.43
24,2023-09-04,-0.18,-0.059,0.59
25,2023-09-05,1.66,-2.057,0.49
26,2023-09-06,2.45,-2.876,1.37
27,2023-09-07,-2.39,-5.252,1.15
28,2023-09-08,4.38,-0.501,1.67
29,2023-09-11,-3.63,0.937,0.77
30,2023-09-12,-1.97,3.175,0.37
31,2023-09-13,-3.96,0.433,0.56
32,2023-09-14,1.54,2.679,0.52
33,2023-09-15,-2.49,0.879,0.77
34,2023-09-19,-0.5,-4.821,0.33
35,2023-09-20,5.82,-0.646,0.4
36,2023-09-21,2.01,-2.596,1.18
37,2023-09-22,5.74,-5.538,1.89
38,2023-09-25,-2.3,0.848,0.62
39,2023-09-26,-1.23,1.616,0.99
40,2023-09-27,3.46,-3.852,1.03
41,2023-09-28,-0.55,-0.055,1.5
42,2023-09-29,3.81,1.951,0.77
43,2023-10-02,-2.18,1.099,1.15
44,2023-10-03,2.61,-3.772,0.9
45,2023-10-04,7.52,-8.517,1.43
46,2023-10-05,12.12,7.612,0.76
47,2023-10-06,-8.44,1.214,0.76
48,2023-10-10,-1.78,-1.964,0.92
49,2023-10-11,3.03,1.983,0.69
50,2023-10-12,-1.99,1.423,0.86
51,2023-10-13,0.05,0.878,0.93
52,2023-10-16,1.4,-2.283,1.19
53,2023-10-17,4.43,4.435,0.56
54,2023-10-18,-3.42,0.284,0.7
55,2023-10-19,-0.71,-6.25,0.69
56,2023-10-20,7.0,-1.318,0.93
