,날짜,야간 변동률
0,2023-06-12,0.003
1,2023-06-13,0.029
2,2023-06-14,0.037
3,2023-06-15,0.033
4,2023-06-16,0.06
5,2023-06-19,0.111
6,2023-06-20,0.085
7,2023-06-21,0.051
8,2023-06-22,0.035
9,2023-06-23,0.034
10,2023-06-26,0.132
11,2023-06-27,0.045
12,2023-06-28,0.027
13,2023-06-29,0.05
14,2023-06-30,0.055
15,2023-07-03,0.08
16,2023-07-04,0.049
17,2023-07-05,0.039
18,2023-07-06,0.036
19,2023-07-07,0.036
20,2023-07-10,-0.032
21,2023-07-11,0.042
22,2023-07-12,0.049
23,2023-07-13,0.027
24,2023-07-14,0.045
25,2023-07-17,0.083
26,2023-07-18,0.057
27,2023-07-19,0.033
28,2023-07-20,0.09
29,2023-07-21,0.086
30,2023-07-24,0.13
31,2023-07-25,0.044
32,2023-07-26,0.021
33,2023-07-27,0.058
34,2023-07-28,0.041
35,2023-07-31,0.162
36,2023-08-01,0.043
37,2023-08-02,0.036
38,2023-08-03,0.045
39,2023-08-04,0.089
40,2023-08-07,0.024
41,2023-08-08,0.078
42,2023-08-09,0.044
43,2023-08-10,0.039
44,2023-08-11,0.052
45,2023-08-14,0.027
46,2023-08-15,0.016
47,2023-08-16,0.041
48,2023-08-17,0.081
49,2023-08-18,0.029
50,2023-08-21,0.126
51,2023-08-22,0.122
52,2023-08-23,0.081
53,2023-08-24,0.123
54,2023-08-25,0.088
55,2023-08-28,0.086
56,2023-08-29,0.03
57,2023-08-30,0.044
58,2023-08-31,0.033
59,2023-09-01,0.034
60,2023-09-04,0.11
61,2023-09-05,0.088
62,2023-09-06,0.064
63,2023-09-07,0.079
64,2023-09-08,0.103
65,2023-09-11,0.657
66,2023-09-12,0.074
67,2023-09-13,0.07
68,2023-09-14,0.109
69,2023-09-15,0.034
70,2023-09-18,0.15
71,2023-09-19,0.046
72,2023-09-20,0.031
73,2023-09-21,0.031
74,2023-09-22,0.053
75,2023-09-25,0.125
76,2023-09-26,0.09
77,2023-09-27,0.112
78,2023-09-28,0.103
79,2023-09-29,0.087
80,2023-10-02,-0.014
81,2023-10-03,0.104
82,2023-10-04,0.078
83,2023-10-05,0.056
84,2023-10-06,0.053
