,날짜,변동 %,야간변화율
0,2023-06-12,1.16,0.24
1,2023-06-13,-0.45,0.574
2,2023-06-14,0.33,0.108
3,2023-06-15,-0.72,0.388
4,2023-06-16,-0.4,0.576
5,2023-06-19,0.66,-0.294
6,2023-06-20,-0.62,-0.256
7,2023-06-21,-0.18,-0.22
8,2023-06-22,-0.86,-0.27
9,2023-06-23,0.43,0.206
10,2023-06-26,-0.91,-0.056
11,2023-06-27,0.47,-0.046
12,2023-06-28,-0.03,0.354
13,2023-06-29,-0.67,-0.007
14,2023-06-30,-0.55,0.33
15,2023-07-03,0.56,0.648
16,2023-07-04,1.49,0.086
17,2023-07-05,-0.35,0.006
18,2023-07-06,-0.55,-0.165
19,2023-07-07,-0.88,-0.347
20,2023-07-10,-1.16,0.054
21,2023-07-11,-0.24,0.72
22,2023-07-12,1.66,-0.19
23,2023-07-13,0.48,0.589
24,2023-07-14,0.64,0.627
25,2023-07-17,1.43,-0.404
26,2023-07-18,-0.35,0.213
27,2023-07-19,-0.43,0.561
28,2023-07-20,0.02,-0.493
29,2023-07-21,-0.31,-0.737
30,2023-07-24,0.37,-0.049
31,2023-07-25,0.72,0.564
32,2023-07-26,0.3,0.087
33,2023-07-27,-1.67,0.288
34,2023-07-28,0.44,-0.389
35,2023-07-31,0.17,0.788
36,2023-08-01,0.93,0.447
37,2023-08-02,1.31,-0.583
38,2023-08-03,-1.9,0.317
39,2023-08-04,-0.42,0.03
40,2023-08-07,-0.1,-0.431
41,2023-08-08,-0.85,0.681
42,2023-08-09,-0.26,0.257
43,2023-08-10,1.21,-0.488
44,2023-08-11,-0.14,0.372
45,2023-08-14,-0.4,-0.183
46,2023-08-16,-0.79,-0.807
47,2023-08-17,-1.76,-0.504
48,2023-08-18,-0.23,-0.979
49,2023-08-21,-0.61,0.287
50,2023-08-22,0.17,0.781
51,2023-08-23,0.28,-0.228
52,2023-08-24,-0.41,1.049
53,2023-08-25,1.28,-1.272
54,2023-08-28,-0.73,0.607
55,2023-08-29,0.96,0.289
56,2023-08-30,0.34,0.911
57,2023-08-31,0.35,0.126
58,2023-09-01,-0.19,-0.17
59,2023-09-04,0.29,0.126
60,2023-09-05,0.81,-0.218
61,2023-09-06,-0.09,-0.185
62,2023-09-07,-0.73,-0.33
63,2023-09-08,-0.59,-0.086
64,2023-09-11,-0.02,0.086
65,2023-09-12,0.36,0.373
66,2023-09-13,-0.79,-0.014
67,2023-09-14,-0.07,0.402
68,2023-09-15,1.51,0.081
69,2023-09-18,1.1,-0.484
70,2023-09-19,-1.02,0.18
71,2023-09-20,-0.6,-0.104
72,2023-09-21,0.02,-0.583
73,2023-09-22,-1.75,-0.935
74,2023-09-25,-0.27,-0.161
75,2023-09-26,-0.49,-0.085
76,2023-09-27,-1.31,-0.608
77,2023-10-04,0.09,-1.188
78,2023-10-05,-2.41,0.734
79,2023-10-06,-0.09,0.217
