,날짜,변동 %,야간변화율
0,2023-06-12,1.18,0.216
1,2023-06-13,-0.64,0.682
2,2023-06-14,0.53,0.029
3,2023-06-15,-0.5,0.371
4,2023-06-16,-0.42,0.554
5,2023-06-19,0.58,-0.235
6,2023-06-20,-0.59,-0.335
7,2023-06-21,-0.16,-0.321
8,2023-06-22,-0.92,-0.271
9,2023-06-23,0.49,0.243
10,2023-06-26,-0.78,-0.021
11,2023-06-27,0.57,0.012
12,2023-06-28,-0.02,0.311
13,2023-06-29,-0.56,0.015
14,2023-06-30,-0.6,0.348
15,2023-07-03,0.46,0.684
16,2023-07-04,1.52,0.134
17,2023-07-05,-0.43,-0.035
18,2023-07-06,-0.75,-0.251
19,2023-07-07,-0.84,-0.419
20,2023-07-10,-1.38,0.075
21,2023-07-11,-0.22,0.795
22,2023-07-12,1.87,-0.059
23,2023-07-13,0.72,0.63
24,2023-07-14,0.49,0.692
25,2023-07-17,1.7,-0.447
26,2023-07-18,-0.34,0.214
27,2023-07-19,-0.69,0.649
28,2023-07-20,-0.08,-0.507
29,2023-07-21,-0.42,-0.726
30,2023-07-24,0.21,-0.12
31,2023-07-25,0.56,0.424
32,2023-07-26,0.17,0.075
33,2023-07-27,-1.26,0.317
34,2023-07-28,1.23,-0.351
35,2023-07-31,-0.21,0.718
36,2023-08-01,0.46,0.501
37,2023-08-02,1.56,-0.541
38,2023-08-03,-2.05,0.291
39,2023-08-04,-0.66,0.018
40,2023-08-07,-0.08,-0.484
41,2023-08-08,-0.46,0.718
42,2023-08-09,-0.51,0.311
43,2023-08-10,1.08,-0.562
44,2023-08-11,-0.34,0.417
45,2023-08-14,-0.43,-0.118
46,2023-08-16,-0.78,-0.785
47,2023-08-17,-1.5,-0.498
48,2023-08-18,-0.32,-1.008
49,2023-08-21,-0.55,0.314
50,2023-08-22,0.13,0.855
51,2023-08-23,0.26,-0.227
52,2023-08-24,-0.17,1.212
53,2023-08-25,1.42,-1.351
54,2023-08-28,-1.07,0.56
55,2023-08-29,0.69,0.313
56,2023-08-30,0.37,1.004
57,2023-08-31,0.35,0.131
58,2023-09-01,-0.06,-0.191
59,2023-09-04,1.05,0.242
60,2023-09-05,0.81,-0.255
61,2023-09-06,-0.21,-0.185
62,2023-09-07,-0.72,-0.272
63,2023-09-08,-0.33,-0.134
64,2023-09-11,-0.1,0.036
65,2023-09-12,0.35,0.275
66,2023-09-13,-0.6,0.086
67,2023-09-14,0.13,0.402
68,2023-09-15,1.55,0.108
69,2023-09-18,1.11,-0.58
70,2023-09-19,-1.25,0.244
71,2023-09-20,-0.54,-0.083
72,2023-09-21,-0.02,-0.596
73,2023-09-22,-1.69,-0.943
74,2023-09-25,-0.31,-0.187
75,2023-09-26,-0.13,-0.021
76,2023-09-27,-1.41,-0.566
77,2023-10-04,-0.06,-1.255
78,2023-10-05,-2.22,0.629
79,2023-10-06,-0.27,0.217
