,날짜,변동 %,당일 변동률,당일 변화량
0,2023-06-12,0.11,-0.14,30.92
1,2023-06-13,0.93,0.71,35.76
2,2023-06-14,0.69,0.377,26.06
3,2023-06-15,0.08,0.144,53.97
4,2023-06-16,1.22,1.386,76.6
5,2023-06-20,-0.37,-0.706,41.03
6,2023-06-21,-0.47,-0.168,32.96
7,2023-06-22,-0.52,-0.327,26.08
8,2023-06-23,0.37,0.608,30.43
9,2023-06-26,-0.77,-0.134,25.21
10,2023-06-27,-0.45,-0.369,33.98
11,2023-06-28,1.15,0.946,49.42
12,2023-06-29,-0.04,0.215,30.13
13,2023-06-30,0.45,0.491,26.42
14,2023-07-03,1.23,0.632,36.04
15,2023-07-05,0.12,0.115,14.17
16,2023-07-06,-0.2,0.108,17.45
17,2023-07-07,-0.79,-0.249,37.57
18,2023-07-10,-0.29,-0.127,42.99
19,2023-07-11,0.24,0.348,22.68
20,2023-07-12,0.67,0.537,35.18
21,2023-07-13,0.74,0.1,25.11
22,2023-07-14,0.85,0.413,28.02
23,2023-07-17,-0.1,-0.204,28.2
24,2023-07-18,0.39,0.309,27.95
25,2023-07-19,0.71,0.734,47.71
26,2023-07-20,0.24,0.041,20.95
27,2023-07-21,-0.68,-0.428,37.18
28,2023-07-24,0.03,-0.304,19.21
29,2023-07-25,0.4,0.248,22.12
30,2023-07-26,0.28,0.269,28.2
31,2023-07-27,-0.02,0.171,34.89
32,2023-07-28,-0.64,-1.323,78.51
33,2023-07-31,0.99,0.361,26.15
34,2023-08-01,0.15,0.09,21.08
35,2023-08-02,-0.27,-0.046,17.09
36,2023-08-03,-1.38,-0.825,45.18
37,2023-08-04,-0.25,0.17,33.95
38,2023-08-07,-0.53,-0.796,65.79
39,2023-08-08,0.9,0.598,28.69
40,2023-08-09,-0.42,0.03,38.92
41,2023-08-10,-0.7,-0.752,41.11
42,2023-08-11,0.03,-0.408,69.45
43,2023-08-14,-0.11,0.3,32.25
44,2023-08-15,0.58,0.709,36.89
45,2023-08-16,-1.16,-0.916,46.68
46,2023-08-17,-0.76,-0.664,46.4
47,2023-08-18,-0.77,-1.041,56.34
48,2023-08-21,-0.01,0.571,46.51
49,2023-08-22,0.69,0.445,47.25
50,2023-08-23,-0.28,-0.629,35.82
51,2023-08-24,1.1,0.9,46.74
52,2023-08-25,-1.35,-1.77,82.75
53,2023-08-28,0.67,0.372,62.17
54,2023-08-29,0.63,0.164,24.58
55,2023-08-30,1.45,1.464,68.46
56,2023-08-31,0.38,0.323,28.06
57,2023-09-01,-0.16,-0.207,24.87
58,2023-09-05,0.18,-0.327,39.9
59,2023-09-06,-0.42,-0.293,18.28
60,2023-09-07,-0.7,-0.554,47.97
61,2023-09-08,-0.32,0.374,27.35
62,2023-09-11,0.14,0.139,25.15
63,2023-09-12,0.67,0.145,22.88
64,2023-09-13,-0.57,-0.254,30.28
65,2023-09-14,0.12,0.107,25.87
66,2023-09-15,0.84,0.386,33.3
67,2023-09-18,-1.22,-1.06,50.77
68,2023-09-19,0.07,0.189,24.25
69,2023-09-20,-0.22,-0.033,33.24
70,2023-09-21,-0.94,-1.137,59.65
71,2023-09-22,-1.64,-1.014,46.53
72,2023-09-25,-0.23,-0.499,40.91
73,2023-09-26,0.4,0.622,35.81
74,2023-09-27,-1.47,-0.912,47.03
75,2023-09-28,0.02,-0.19,53.44
76,2023-09-29,0.59,0.704,52.89
77,2023-10-02,-0.27,-0.927,58.29
78,2023-10-03,0.01,0.09,40.37
79,2023-10-04,-1.37,-0.944,64.7
80,2023-10-05,0.81,0.707,48.02
81,2023-10-06,-0.13,-0.026,41.22
