,날짜,야간 변동률
0,2023-06-12,0.029
1,2023-06-13,0.025
2,2023-06-14,0.025
3,2023-06-15,0.03
4,2023-06-16,0.031
5,2023-06-19,0.085
6,2023-06-20,0.078
7,2023-06-21,0.04
8,2023-06-22,0.032
9,2023-06-23,0.032
10,2023-06-26,0.025
11,2023-06-27,0.034
12,2023-06-28,0.023
13,2023-06-29,0.031
14,2023-06-30,0.073
15,2023-07-03,0.141
16,2023-07-04,0.035
17,2023-07-05,0.036
18,2023-07-06,0.031
19,2023-07-07,0.027
20,2023-07-10,0.092
21,2023-07-11,0.031
22,2023-07-12,0.031
23,2023-07-13,0.024
24,2023-07-14,0.034
25,2023-07-17,0.08
26,2023-07-18,0.044
27,2023-07-19,0.028
28,2023-07-20,0.079
29,2023-07-21,0.047
30,2023-07-24,0.036
31,2023-07-25,0.034
32,2023-07-26,0.031
33,2023-07-27,0.049
34,2023-07-28,0.03
35,2023-07-31,0.039
36,2023-08-01,0.033
37,2023-08-02,0.031
38,2023-08-03,0.042
39,2023-08-04,0.071
40,2023-08-07,0.016
41,2023-08-08,0.048
42,2023-08-09,0.023
43,2023-08-10,0.002
44,2023-08-11,0.094
45,2023-08-14,0.023
46,2023-08-15,0.085
47,2023-08-16,0.034
48,2023-08-17,0.054
49,2023-08-18,0.037
50,2023-08-21,0.075
51,2023-08-22,0.066
52,2023-08-23,0.075
53,2023-08-24,0.113
54,2023-08-25,0.075
55,2023-08-28,0.079
56,2023-08-29,0.03
57,2023-08-30,0.041
58,2023-08-31,0.023
59,2023-09-01,0.024
60,2023-09-04,0.068
61,2023-09-05,0.091
62,2023-09-06,0.068
63,2023-09-07,0.071
64,2023-09-08,0.1
65,2023-09-11,0.103
66,2023-09-12,0.042
67,2023-09-13,0.043
68,2023-09-14,0.121
69,2023-09-15,0.038
70,2023-09-18,0.072
71,2023-09-19,0.036
72,2023-09-20,0.028
73,2023-09-21,0.039
74,2023-09-22,0.043
75,2023-09-25,0.115
76,2023-09-26,0.126
77,2023-09-27,0.086
78,2023-09-28,0.069
79,2023-09-29,0.074
80,2023-10-02,0.025
81,2023-10-03,0.096
82,2023-10-04,0.071
83,2023-10-05,0.069
84,2023-10-06,0.046
