,날짜,VKOSPI_Label
0,2023-06-12,
1,2023-06-13,
2,2023-06-14,
3,2023-06-15,
4,2023-06-16,
5,2023-06-19,
6,2023-06-20,
7,2023-06-21,
8,2023-06-22,
9,2023-06-23,
10,2023-06-26,
11,2023-06-27,
12,2023-06-28,
13,2023-06-29,
14,2023-06-30,
15,2023-07-03,
16,2023-07-04,
17,2023-07-05,
18,2023-07-06,
19,2023-07-07,
20,2023-07-10,
21,2023-07-11,
22,2023-07-12,
23,2023-07-13,
24,2023-07-14,
25,2023-07-17,
26,2023-07-18,
27,2023-07-19,
28,2023-07-20,
29,2023-07-21,
30,2023-07-24,
31,2023-07-25,
32,2023-07-26,
33,2023-07-27,
34,2023-07-28,
35,2023-07-31,
36,2023-08-01,
37,2023-08-02,
38,2023-08-03,
39,2023-08-04,
40,2023-08-07,
41,2023-08-08,
42,2023-08-09,
43,2023-08-10,
44,2023-08-11,
45,2023-08-14,
46,2023-08-16,
47,2023-08-17,
48,2023-08-18,
49,2023-08-21,
50,2023-08-22,
51,2023-08-23,
52,2023-08-24,
53,2023-08-25,
54,2023-08-28,
55,2023-08-29,
56,2023-08-30,
57,2023-08-31,
58,2023-09-01,
59,2023-09-04,
60,2023-09-05,
61,2023-09-06,
62,2023-09-07,
63,2023-09-08,
64,2023-09-11,
65,2023-09-12,
66,2023-09-13,
67,2023-09-14,
68,2023-09-15,
69,2023-09-18,
70,2023-09-19,
71,2023-09-20,
72,2023-09-21,
73,2023-09-22,
74,2023-09-25,
75,2023-09-26,
76,2023-09-27,
77,2023-10-04,
78,2023-10-05,
79,2023-10-06,
80,2023-10-10,
81,2023-10-11,
