날짜,기준행사가,S-4,S-3,S-2,S-1,S+1,S+2,S+3,S+4
2023-11-08,325.0,315.0,317.5,320.0,322.5,327.5,330.0,332.5,335.0
2023-11-07,325.0,315.0,317.5,320.0,322.5,327.5,330.0,332.5,335.0
2023-11-06,332.5,322.5,325.0,327.5,330.0,335.0,337.5,340.0,342.5
2023-11-03,317.5,307.5,310.0,312.5,315.0,320.0,322.5,325.0,327.5
2023-11-02,315.0,305.0,307.5,310.0,312.5,317.5,320.0,322.5,325.0
2023-11-01,307.5,297.5,300.0,302.5,305.0,310.0,312.5,315.0,317.5
2023-10-31,305.0,295.0,297.5,300.0,302.5,307.5,310.0,312.5,315.0
2023-10-30,307.5,297.5,300.0,302.5,305.0,310.0,312.5,315.0,317.5
2023-10-27,307.5,297.5,300.0,302.5,305.0,310.0,312.5,315.0,317.5
2023-10-26,307.5,297.5,300.0,302.5,305.0,310.0,312.5,315.0,317.5
2023-10-25,315.0,305.0,307.5,310.0,312.5,317.5,320.0,322.5,325.0
2023-10-24,317.5,307.5,310.0,312.5,315.0,320.0,322.5,325.0,327.5
2023-10-23,315.0,305.0,307.5,310.0,312.5,317.5,320.0,322.5,325.0
2023-10-20,317.5,307.5,310.0,312.5,315.0,320.0,322.5,325.0,327.5
2023-10-19,322.5,312.5,315.0,317.5,320.0,325.0,327.5,330.0,332.5
2023-10-18,327.5,317.5,320.0,322.5,325.0,330.0,332.5,335.0,337.5
2023-10-17,325.0,315.0,317.5,320.0,322.5,327.5,330.0,332.5,335.0
2023-10-16,322.5,312.5,315.0,317.5,320.0,325.0,327.5,330.0,332.5
2023-10-13,325.0,315.0,317.5,320.0,322.5,327.5,330.0,332.5,335.0
2023-10-12,327.5,317.5,320.0,322.5,325.0,330.0,332.5,335.0,337.5
2023-10-11,322.5,312.5,315.0,317.5,320.0,325.0,327.5,330.0,332.5
2023-10-10,317.5,307.5,310.0,312.5,315.0,320.0,322.5,325.0,327.5
