,date,CD 변동률,CD 변화량
0,2023-08-07,-0.268,0.01
1,2023-08-08,0.0,0.0
2,2023-08-09,-0.538,0.02
3,2023-08-10,0.0,0.0
4,2023-08-11,-0.541,0.02
5,2023-08-14,0.272,-0.01
6,2023-08-16,0.0,0.0
7,2023-08-17,0.271,-0.01
8,2023-08-18,0.0,0.0
9,2023-08-21,0.0,0.0
10,2023-08-22,0.0,0.0
11,2023-08-23,0.0,0.0
12,2023-08-24,-0.27,0.01
13,2023-08-25,0.0,0.0
14,2023-08-28,0.0,0.0
15,2023-08-29,0.0,0.0
16,2023-08-30,0.0,0.0
17,2023-08-31,0.0,0.0
18,2023-09-01,0.0,0.0
19,2023-09-04,-0.271,0.01
20,2023-09-05,0.272,-0.01
21,2023-09-06,0.271,-0.01
22,2023-09-07,0.27,-0.01
23,2023-09-08,0.27,-0.01
24,2023-09-11,0.0,0.0
25,2023-09-12,0.0,0.0
26,2023-09-13,0.269,-0.01
27,2023-09-14,0.536,-0.02
28,2023-09-15,0.267,-0.01
29,2023-09-18,0.532,-0.02
30,2023-09-19,0.265,-0.01
31,2023-09-20,0.264,-0.01
32,2023-09-21,0.263,-0.01
33,2023-09-22,0.262,-0.01
34,2023-09-25,0.262,-0.01
35,2023-09-26,0.0,0.0
36,2023-09-27,0.0,0.0
37,2023-10-04,0.0,0.0
38,2023-10-05,0.261,-0.01
39,2023-10-06,-0.26,0.01
