,날짜,야간 변동률
0,2023-08-07,0.022
1,2023-08-08,0.066
2,2023-08-09,0.049
3,2023-08-10,0.027
4,2023-08-11,0.115
5,2023-08-14,0.044
6,2023-08-15,0.033
7,2023-08-16,0.049
8,2023-08-17,0.065
9,2023-08-18,0.044
10,2023-08-21,0.098
11,2023-08-22,0.087
12,2023-08-23,0.093
13,2023-08-24,0.137
14,2023-08-25,0.088
15,2023-08-28,0.094
16,2023-08-29,0.033
17,2023-08-30,0.055
18,2023-08-31,0.039
19,2023-09-01,0.033
20,2023-09-04,0.083
21,2023-09-05,0.066
22,2023-09-06,0.077
23,2023-09-07,0.088
24,2023-09-08,0.11
25,2023-09-11,0.116
26,2023-09-12,0.061
27,2023-09-13,0.055
28,2023-09-14,0.132
29,2023-09-15,0.049
30,2023-09-18,0.071
31,2023-09-19,0.039
32,2023-09-20,0.033
33,2023-09-21,0.049
34,2023-09-22,0.055
35,2023-09-25,0.12
36,2023-09-26,0.137
37,2023-09-27,0.124
38,2023-09-28,0.076
39,2023-09-29,0.081
40,2023-10-02,0.065
41,2023-10-03,0.108
42,2023-10-04,0.075
43,2023-10-05,0.059
44,2023-10-06,0.054
