,날짜,변동 %,전날 변동율,전날 변화량
0,2023-08-07,5.89,-3.05,1.26
1,2023-08-08,0.97,-2.523,1.36
2,2023-08-09,-2.35,1.799,0.84
3,2023-08-10,-1.18,0.099,0.74
4,2023-08-14,-0.5,0.0,0.9
5,2023-08-15,-3.99,2.287,1.82
6,2023-08-16,2.44,3.958,0.55
7,2023-08-17,-4.31,-4.363,0.87
8,2023-08-18,5.94,1.165,1.15
9,2023-08-21,-2.05,-3.693,1.24
10,2023-08-22,-0.2,-0.964,0.67
11,2023-08-23,2.15,3.692,0.56
12,2023-08-24,-5.42,-0.685,0.81
13,2023-08-25,-2.49,1.49,0.42
14,2023-08-28,-2.72,-4.992,0.84
15,2023-08-29,5.53,2.275,0.49
16,2023-08-30,-2.6,3.199,0.34
17,2023-08-31,-2.12,1.868,0.41
18,2023-09-01,-1.44,2.484,0.58
19,2023-09-04,-4.79,-0.295,0.43
20,2023-09-05,-0.18,-0.059,0.59
21,2023-09-06,1.66,-2.057,0.49
22,2023-09-07,2.45,-2.876,1.37
23,2023-09-08,-2.39,-5.252,1.15
24,2023-09-11,4.38,-0.501,1.67
25,2023-09-12,-3.63,0.937,0.77
26,2023-09-13,-1.97,3.175,0.37
27,2023-09-14,-3.96,0.433,0.56
28,2023-09-15,1.54,2.679,0.52
29,2023-09-19,-2.49,0.879,0.77
30,2023-09-20,-0.5,-4.821,0.33
31,2023-09-21,5.82,-0.646,0.4
32,2023-09-22,2.01,-2.596,1.18
33,2023-09-25,5.74,-5.538,1.89
34,2023-09-26,-2.3,0.848,0.62
35,2023-09-27,-1.23,1.616,0.99
36,2023-09-28,3.46,-3.852,1.03
37,2023-09-29,-0.55,-0.055,1.5
38,2023-10-02,3.81,1.951,0.77
39,2023-10-03,-2.18,1.099,1.15
40,2023-10-04,2.61,-3.772,0.9
41,2023-10-05,7.52,-8.517,1.43
42,2023-10-06,12.12,7.612,0.76
