,날짜,야간 변동률
0,2023-08-07,0.024
1,2023-08-08,0.078
2,2023-08-09,0.044
3,2023-08-10,0.039
4,2023-08-11,0.052
5,2023-08-14,0.027
6,2023-08-15,0.016
7,2023-08-16,0.041
8,2023-08-17,0.081
9,2023-08-18,0.029
10,2023-08-21,0.126
11,2023-08-22,0.122
12,2023-08-23,0.081
13,2023-08-24,0.123
14,2023-08-25,0.088
15,2023-08-28,0.086
16,2023-08-29,0.03
17,2023-08-30,0.044
18,2023-08-31,0.033
19,2023-09-01,0.034
20,2023-09-04,0.11
21,2023-09-05,0.088
22,2023-09-06,0.064
23,2023-09-07,0.079
24,2023-09-08,0.103
25,2023-09-11,0.657
26,2023-09-12,0.074
27,2023-09-13,0.07
28,2023-09-14,0.109
29,2023-09-15,0.034
30,2023-09-18,0.15
31,2023-09-19,0.046
32,2023-09-20,0.031
33,2023-09-21,0.031
34,2023-09-22,0.053
35,2023-09-25,0.125
36,2023-09-26,0.09
37,2023-09-27,0.112
38,2023-09-28,0.103
39,2023-09-29,0.087
40,2023-10-02,-0.014
41,2023-10-03,0.104
42,2023-10-04,0.078
43,2023-10-05,0.056
44,2023-10-06,0.053
