,날짜,변동 %,야간변화율
0,2023-08-07,-0.1,-0.431
1,2023-08-08,-0.85,0.681
2,2023-08-09,-0.26,0.257
3,2023-08-10,1.21,-0.488
4,2023-08-11,-0.14,0.372
5,2023-08-14,-0.4,-0.183
6,2023-08-16,-0.79,-0.807
7,2023-08-17,-1.76,-0.504
8,2023-08-18,-0.23,-0.979
9,2023-08-21,-0.61,0.287
10,2023-08-22,0.17,0.781
11,2023-08-23,0.28,-0.228
12,2023-08-24,-0.41,1.049
13,2023-08-25,1.28,-1.272
14,2023-08-28,-0.73,0.607
15,2023-08-29,0.96,0.289
16,2023-08-30,0.34,0.911
17,2023-08-31,0.35,0.126
18,2023-09-01,-0.19,-0.17
19,2023-09-04,0.29,0.126
20,2023-09-05,0.81,-0.218
21,2023-09-06,-0.09,-0.185
22,2023-09-07,-0.73,-0.33
23,2023-09-08,-0.59,-0.086
24,2023-09-11,-0.02,0.086
25,2023-09-12,0.36,0.373
26,2023-09-13,-0.79,-0.014
27,2023-09-14,-0.07,0.402
28,2023-09-15,1.51,0.081
29,2023-09-18,1.1,-0.484
30,2023-09-19,-1.02,0.18
31,2023-09-20,-0.6,-0.104
32,2023-09-21,0.02,-0.583
33,2023-09-22,-1.75,-0.935
34,2023-09-25,-0.27,-0.161
35,2023-09-26,-0.49,-0.085
36,2023-09-27,-1.31,-0.608
37,2023-10-04,0.09,-1.188
38,2023-10-05,-2.41,0.734
39,2023-10-06,-0.09,0.217
