,날짜,변동 %,당일 변동률,당일 변화량
0,2023-08-07,-0.36,-0.832,221.29
1,2023-08-08,0.61,0.157,132.23
2,2023-08-09,-0.79,0.064,130.4
3,2023-08-10,-1.17,-1.263,200.15
4,2023-08-11,0.12,-0.581,260.65
5,2023-08-14,-0.68,0.082,110.35
6,2023-08-15,1.05,1.392,206.67
7,2023-08-16,-1.14,-0.941,163.05
8,2023-08-17,-1.15,-0.872,171.29
9,2023-08-18,-1.17,-1.555,231.64
10,2023-08-21,-0.2,0.764,174.11
11,2023-08-22,1.56,1.126,191.27
12,2023-08-23,0.06,-0.648,114.38
13,2023-08-24,1.59,1.394,224.57
14,2023-08-25,-1.87,-2.677,371.84
15,2023-08-28,0.94,0.564,257.08
16,2023-08-29,0.84,0.071,109.34
17,2023-08-30,1.74,1.874,282.75
18,2023-08-31,0.54,0.412,126.62
19,2023-09-01,0.11,-0.047,104.19
20,2023-09-05,-0.02,-0.695,167.2
21,2023-09-06,-0.08,0.189,115.2
22,2023-09-07,-1.06,-0.832,199.53
23,2023-09-08,-0.89,0.539,132.16
24,2023-09-11,0.09,0.05,110.19
25,2023-09-12,1.14,0.244,132.33
26,2023-09-13,-1.04,-0.616,149.91
27,2023-09-14,0.29,0.29,134.75
28,2023-09-15,0.81,0.261,146.91
29,2023-09-18,-1.56,-1.302,211.51
30,2023-09-19,0.01,0.295,87.82
31,2023-09-20,-0.23,0.211,126.28
32,2023-09-21,-1.53,-1.759,260.53
33,2023-09-22,-1.82,-0.781,139.67
34,2023-09-25,-0.09,-0.567,152.58
35,2023-09-26,0.45,0.75,145.83
36,2023-09-27,-1.57,-0.89,165.73
37,2023-09-28,0.22,-0.172,193.21
38,2023-09-29,0.83,1.211,245.86
39,2023-10-02,0.14,-0.888,205.89
40,2023-10-03,0.67,0.679,159.95
41,2023-10-04,-1.87,-1.287,271.44
42,2023-10-05,1.35,1.093,186.25
43,2023-10-06,-0.12,-0.063,163.61
