,일자,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc
0,2023-08-07,1.06,-6.215,4.463,-87188.0,59328.0
1,2023-08-08,0.91,13.884,-1.401,182663.0,-19454.0
2,2023-08-09,1.02,48.18,65.515,721884.0,896966.0
3,2023-08-10,1.05,-21.881,-19.689,-485790.0,-446175.0
4,2023-08-11,1.04,-9.487,-10.175,-164540.0,-185171.0
5,2023-08-14,1.16,-65.087,-61.225,-1021778.0,-1000851.0
6,2023-08-16,0.9,13.975,-11.772,76596.0,-74618.0
7,2023-08-17,0.94,11.155,16.81,69682.0,94010.0
8,2023-08-18,1.03,32.39,45.564,224900.0,297654.0
9,2023-08-21,0.98,-29.439,-33.046,-270624.0,-314235.0
10,2023-08-22,1.01,-13.823,-10.94,-89660.0,-69656.0
11,2023-08-23,1.27,8.842,36.359,49425.0,206163.0
12,2023-08-24,1.01,-3.781,-23.268,-23001.0,-179902.0
13,2023-08-25,1.49,-5.5,38.667,-32199.0,229403.0
14,2023-08-28,1.13,6.52,-18.996,36070.0,-156276.0
15,2023-08-29,1.21,-16.185,-10.66,-95374.0,-71037.0
16,2023-08-30,1.17,21.369,17.657,105542.0,105128.0
17,2023-08-31,1.26,-3.553,4.38,-21296.0,30679.0
18,2023-09-01,0.88,-0.202,-30.902,-1170.0,-225950.0
19,2023-09-04,1.1,45.763,82.344,264035.0,416028.0
20,2023-09-05,1.09,-11.021,-11.839,-92691.0,-109065.0
21,2023-09-06,0.96,-9.553,-20.144,-71486.0,-163608.0
22,2023-09-07,1.07,5.622,18.336,38054.0,118928.0
23,2023-09-08,0.91,15.031,-2.269,107451.0,-17418.0
24,2023-09-11,0.98,31.97,41.154,262900.0,308696.0
25,2023-09-12,0.98,0.945,1.444,10255.0,15288.0
26,2023-09-13,0.88,46.43,31.33,508632.0,336505.0
27,2023-09-14,0.92,4.785,9.733,76753.0,137289.0
28,2023-09-15,1.1,-2.324,16.478,-39059.0,255066.0
29,2023-09-18,1.2,-56.424,-52.5,-926376.0,-946547.0
30,2023-09-19,1.16,-33.587,-35.781,-240293.0,-306428.0
31,2023-09-20,0.93,12.389,-9.872,58867.0,-54290.0
32,2023-09-21,0.9,-13.694,-16.071,-73128.0,-79662.0
33,2023-09-22,0.82,56.807,42.404,261812.0,176409.0
34,2023-09-25,1.06,-3.402,24.434,-24587.0,144753.0
35,2023-09-26,0.69,1.702,-33.137,11884.0,-244281.0
36,2023-09-27,1.04,-4.23,43.365,-30035.0,213744.0
37,2023-10-04,0.97,27.653,19.408,188026.0,137145.0
38,2023-10-05,1.21,15.01,43.31,130285.0,365440.0
39,2023-10-06,1.1,-2.268,-11.59,-22640.0,-140148.0
