,날짜,변동 %,당일 변동률,당일 변화량
0,2023-08-07,-0.53,-0.796,65.79
1,2023-08-08,0.9,0.598,28.69
2,2023-08-09,-0.42,0.03,38.92
3,2023-08-10,-0.7,-0.752,41.11
4,2023-08-11,0.03,-0.408,69.45
5,2023-08-14,-0.11,0.3,32.25
6,2023-08-15,0.58,0.709,36.89
7,2023-08-16,-1.16,-0.916,46.68
8,2023-08-17,-0.76,-0.664,46.4
9,2023-08-18,-0.77,-1.041,56.34
10,2023-08-21,-0.01,0.571,46.51
11,2023-08-22,0.69,0.445,47.25
12,2023-08-23,-0.28,-0.629,35.82
13,2023-08-24,1.1,0.9,46.74
14,2023-08-25,-1.35,-1.77,82.75
15,2023-08-28,0.67,0.372,62.17
16,2023-08-29,0.63,0.164,24.58
17,2023-08-30,1.45,1.464,68.46
18,2023-08-31,0.38,0.323,28.06
19,2023-09-01,-0.16,-0.207,24.87
20,2023-09-05,0.18,-0.327,39.9
21,2023-09-06,-0.42,-0.293,18.28
22,2023-09-07,-0.7,-0.554,47.97
23,2023-09-08,-0.32,0.374,27.35
24,2023-09-11,0.14,0.139,25.15
25,2023-09-12,0.67,0.145,22.88
26,2023-09-13,-0.57,-0.254,30.28
27,2023-09-14,0.12,0.107,25.87
28,2023-09-15,0.84,0.386,33.3
29,2023-09-18,-1.22,-1.06,50.77
30,2023-09-19,0.07,0.189,24.25
31,2023-09-20,-0.22,-0.033,33.24
32,2023-09-21,-0.94,-1.137,59.65
33,2023-09-22,-1.64,-1.014,46.53
34,2023-09-25,-0.23,-0.499,40.91
35,2023-09-26,0.4,0.622,35.81
36,2023-09-27,-1.47,-0.912,47.03
37,2023-09-28,0.02,-0.19,53.44
38,2023-09-29,0.59,0.704,52.89
39,2023-10-02,-0.27,-0.927,58.29
40,2023-10-03,0.01,0.09,40.37
41,2023-10-04,-1.37,-0.944,64.7
42,2023-10-05,0.81,0.707,48.02
43,2023-10-06,-0.13,-0.026,41.22
