,날짜,야간 변동률
0,2023-08-07,0.016
1,2023-08-08,0.048
2,2023-08-09,0.023
3,2023-08-10,0.002
4,2023-08-11,0.094
5,2023-08-14,0.023
6,2023-08-15,0.085
7,2023-08-16,0.034
8,2023-08-17,0.054
9,2023-08-18,0.037
10,2023-08-21,0.075
11,2023-08-22,0.066
12,2023-08-23,0.075
13,2023-08-24,0.113
14,2023-08-25,0.075
15,2023-08-28,0.079
16,2023-08-29,0.03
17,2023-08-30,0.041
18,2023-08-31,0.023
19,2023-09-01,0.024
20,2023-09-04,0.068
21,2023-09-05,0.091
22,2023-09-06,0.068
23,2023-09-07,0.071
24,2023-09-08,0.1
25,2023-09-11,0.103
26,2023-09-12,0.042
27,2023-09-13,0.043
28,2023-09-14,0.121
29,2023-09-15,0.038
30,2023-09-18,0.072
31,2023-09-19,0.036
32,2023-09-20,0.028
33,2023-09-21,0.039
34,2023-09-22,0.043
35,2023-09-25,0.115
36,2023-09-26,0.126
37,2023-09-27,0.086
38,2023-09-28,0.069
39,2023-09-29,0.074
40,2023-10-02,0.025
41,2023-10-03,0.096
42,2023-10-04,0.071
43,2023-10-05,0.069
44,2023-10-06,0.046
