,날짜,VKOSPI_Label
0,2023-08-07,0.0
1,2023-08-08,0.0
2,2023-08-09,1.0
3,2023-08-10,0.0
4,2023-08-11,0.0
5,2023-08-14,0.0
6,2023-08-16,1.0
7,2023-08-17,1.0
8,2023-08-18,0.0
9,2023-08-21,0.0
10,2023-08-22,0.0
11,2023-08-23,0.0
12,2023-08-24,0.0
13,2023-08-25,0.0
14,2023-08-28,0.0
15,2023-08-29,0.0
16,2023-08-30,0.0
17,2023-08-31,0.0
18,2023-09-01,0.0
19,2023-09-04,0.0
20,2023-09-05,0.0
21,2023-09-06,0.0
22,2023-09-07,1.0
23,2023-09-08,1.0
24,2023-09-11,0.0
25,2023-09-12,0.0
26,2023-09-13,1.0
27,2023-09-14,1.0
28,2023-09-15,0.0
29,2023-09-18,0.0
30,2023-09-19,1.0
31,2023-09-20,1.0
32,2023-09-21,0.0
33,2023-09-22,1.0
34,2023-09-25,0.0
35,2023-09-26,0.0
36,2023-09-27,1.0
37,2023-10-04,0.0
38,2023-10-05,1.0
39,2023-10-06,1.0
