,시장베이시스,이론베이시스,괴리율,원위안 야간변동율,원엔 야간변동율,KOPSI 전날변동율,KOSPI 야간변동율,KS200 전날변동율,KS200 야간변동율,NAS 야간변동율,NAS 당일변동율,NAS 당일변화량,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc,S&P 야간변동율,S&P 당일변동율,S&P 당일변화량,원달러 야간변동율,VIX 전날변동율,VIX 당일변동율,VIX 당일변화량,JNIV 종가변동율,JNIV 전날변동율,JNIV 전날변화량,CD 전날변동율,CD 전날변화량,KOSPI 오전변동율,KOSPI 오전변화량,KS200 오전변동율,KS200 오전변화량,VKOSPI_Label
2023-08-07,1.05,1.43,-0.11,0.022,0.024,-0.1,-0.431,-0.08,-0.484,-0.36,-0.832,221.29,1.06,-6.215,4.463,-87188.0,59328.0,-0.53,-0.796,65.79,0.016,7.41,6.808,2.82,5.89,-3.05,1.26,-0.268,0.01,0.197,14.16,0.346,3.11,0.0
2023-08-08,1.27,1.32,-0.01,0.066,0.078,-0.85,0.681,-0.46,0.718,0.61,0.157,132.23,0.91,13.884,-1.401,182663.0,-19454.0,0.9,0.598,28.69,0.048,-7.78,-6.686,1.59,0.97,-2.523,1.36,0.0,0.0,0.16,16.09,0.047,2.58,0.0
2023-08-09,1.2,1.27,-0.02,0.049,0.044,-0.26,0.257,-0.51,0.311,-0.79,0.064,130.4,1.02,48.18,65.515,721884.0,896966.0,-0.42,0.03,38.92,0.023,1.4,-1.781,2.18,-2.35,1.799,0.84,-0.538,0.02,0.068,23.9,-0.05,3.17,1.0
2023-08-10,0.89,1.25,-0.1,0.027,0.039,1.21,-0.488,1.08,-0.562,-1.17,-1.263,200.15,1.05,-21.881,-19.689,-485790.0,-446175.0,-0.7,-0.752,41.11,0.002,-0.19,0.949,1.49,-1.18,0.099,0.74,0.0,0.0,0.12,7.65,-0.012,1.02,0.0
2023-08-11,-0.01,1.21,-0.36,0.115,0.052,-0.14,0.372,-0.34,0.417,0.12,-0.581,260.65,1.04,-9.487,-10.175,-164540.0,-185171.0,0.03,-0.408,69.45,0.094,-0.69,1.733,2.26,-1.18,0.099,0.74,-0.541,0.02,-0.333,17.65,-0.286,2.46,0.0
2023-08-14,1.47,1.16,0.09,0.044,0.027,-0.4,-0.183,-0.43,-0.118,-0.68,0.082,110.35,1.16,-65.087,-61.225,-1021778.0,-1000851.0,-0.11,0.3,32.25,0.023,-6.37,-4.443,1.67,-0.5,0.0,0.9,0.272,-0.01,-0.604,16.6,-0.569,2.37,0.0
2023-08-16,0.92,1.05,-0.04,0.049,0.041,-0.79,-0.807,-0.78,-0.785,-1.14,-0.941,163.05,0.9,13.975,-11.772,76596.0,-74618.0,-1.16,-0.916,46.68,0.034,11.07,10.1,1.66,2.44,3.958,0.55,0.0,0.0,-0.359,18.01,-0.336,2.39,1.0
2023-08-17,1.07,0.97,0.03,0.065,0.081,-1.76,-0.504,-1.5,-0.498,-1.15,-0.872,171.29,0.94,11.155,16.81,69682.0,94010.0,-0.76,-0.664,46.4,0.054,1.94,1.451,1.13,-4.31,-4.363,0.87,0.271,-0.01,0.349,30.86,0.279,3.89,1.0
2023-08-18,0.77,0.94,-0.05,0.044,0.029,-0.23,-0.979,-0.32,-1.008,-1.17,-1.555,231.64,1.03,32.39,45.564,224900.0,297654.0,-0.77,-1.041,56.34,0.037,6.62,5.483,1.73,5.94,1.165,1.15,0.0,0.0,0.184,22.07,0.332,3.39,0.0
2023-08-21,0.08,0.9,-0.25,0.098,0.126,-0.61,0.287,-0.55,0.314,-0.2,0.764,174.11,0.98,-29.439,-33.046,-270624.0,-314235.0,-0.01,0.571,46.51,0.075,-3.3,-2.809,1.74,-2.05,-3.693,1.24,0.0,0.0,0.12,12.71,0.048,1.88,0.0
