,날짜,야간 변동률
0,2022-10-17,0.304
1,2022-10-18,0.057
2,2022-10-19,0.025
3,2022-10-20,0.027
4,2022-10-21,0.027
5,2022-10-24,0.126
6,2022-10-25,0.032
7,2022-10-26,0.048
8,2022-10-27,0.034
9,2022-10-28,0.041
10,2022-10-31,-0.169
11,2022-11-01,0.1
12,2022-11-02,0.042
13,2022-11-03,0.121
14,2022-11-04,0.028
15,2022-11-07,-0.298
16,2022-11-08,0.081
17,2022-11-09,0.011
18,2022-11-10,0.014
19,2022-11-11,0.042
20,2022-11-14,0.231
21,2022-11-15,0.034
22,2022-11-16,0.052
23,2022-11-17,0.03
24,2022-11-18,0.036
25,2022-11-21,0.084
26,2022-11-22,0.026
27,2022-11-23,0.038
28,2022-11-24,0.029
29,2022-11-25,0.115
30,2022-11-28,-0.067
31,2022-11-29,0.143
32,2022-11-30,0.042
33,2022-12-01,0.001
34,2022-12-02,0.058
35,2022-12-05,0.11
36,2022-12-06,0.035
37,2022-12-07,0.029
38,2022-12-08,0.04
39,2022-12-09,0.086
40,2022-12-12,0.02
41,2022-12-13,0.091
42,2022-12-14,0.045
43,2022-12-15,0.041
44,2022-12-16,0.086
45,2022-12-19,0.525
46,2022-12-20,0.039
47,2022-12-21,0.031
48,2022-12-22,0.104
49,2022-12-23,0.035
50,2022-12-26,0.126
51,2022-12-27,0.09
52,2022-12-28,0.04
53,2022-12-29,0.027
54,2022-12-30,0.035
55,2023-01-02,0.093
56,2023-01-03,0.082
57,2023-01-04,0.057
58,2023-01-05,0.047
59,2023-01-06,0.021
60,2023-01-09,0.161
61,2023-01-10,0.037
62,2023-01-11,0.046
63,2023-01-12,0.0
64,2023-01-13,0.067
65,2023-01-16,0.093
66,2023-01-17,0.041
67,2023-01-18,0.031
68,2023-01-19,0.045
69,2023-01-20,0.045
70,2023-01-23,0.196
71,2023-01-24,0.045
72,2023-01-25,0.045
73,2023-01-26,0.044
74,2023-01-27,0.031
75,2023-01-30,0.161
76,2023-01-31,0.041
77,2023-02-01,0.045
78,2023-02-02,0.007
79,2023-02-03,0.046
80,2023-02-06,-0.653
81,2023-02-07,0.122
82,2023-02-08,0.016
83,2023-02-09,0.045
84,2023-02-10,0.046
85,2023-02-13,0.068
86,2023-02-14,0.044
87,2023-02-15,0.009
88,2023-02-16,0.06
89,2023-02-17,0.037
90,2023-02-20,0.016
91,2023-02-21,0.019
92,2023-02-22,0.042
93,2023-02-23,0.041
94,2023-02-24,0.015
95,2023-02-27,0.017
96,2023-02-28,0.094
97,2023-03-01,0.046
98,2023-03-02,0.043
99,2023-03-03,0.043
100,2023-03-06,0.015
101,2023-03-07,0.091
102,2023-03-08,0.036
103,2023-03-09,0.041
104,2023-03-10,0.034
105,2023-03-13,0.056
106,2023-03-14,0.04
107,2023-03-15,0.034
108,2023-03-16,0.037
109,2023-03-17,0.096
110,2023-03-20,-0.455
111,2023-03-21,0.071
112,2023-03-22,0.05
113,2023-03-23,0.085
114,2023-03-24,0.05
115,2023-03-27,0.238
116,2023-03-28,0.036
117,2023-03-29,0.06
118,2023-03-30,0.06
119,2023-03-31,0.037
120,2023-04-03,-0.096
121,2023-04-04,0.05
122,2023-04-05,0.046
123,2023-04-06,0.036
124,2023-04-07,0.048
125,2023-04-10,0.029
126,2023-04-11,0.038
127,2023-04-12,0.051
128,2023-04-13,0.044
129,2023-04-14,0.054
130,2023-04-17,0.006
131,2023-04-18,0.045
132,2023-04-19,0.046
133,2023-04-20,0.048
134,2023-04-21,0.04
135,2023-04-24,0.141
136,2023-04-25,0.042
137,2023-04-26,0.04
138,2023-04-27,0.035
139,2023-04-28,0.048
140,2023-05-01,0.041
141,2023-05-02,0.078
142,2023-05-03,0.036
143,2023-05-04,0.069
144,2023-05-05,0.039
145,2023-05-08,0.062
146,2023-05-09,0.072
147,2023-05-10,0.046
148,2023-05-11,0.04
149,2023-05-12,0.033
150,2023-05-15,0.102
151,2023-05-16,0.031
152,2023-05-17,0.043
153,2023-05-18,0.047
154,2023-05-19,0.029
155,2023-05-22,-0.032
156,2023-05-23,0.035
157,2023-05-24,0.075
158,2023-05-25,0.034
159,2023-05-26,0.004
160,2023-05-29,0.033
161,2023-05-30,0.075
162,2023-05-31,0.041
163,2023-06-01,0.049
164,2023-06-02,0.09
165,2023-06-05,-0.011
166,2023-06-06,0.063
167,2023-06-07,0.037
168,2023-06-08,0.041
169,2023-06-09,0.1
170,2023-06-12,0.003
171,2023-06-13,0.029
172,2023-06-14,0.037
173,2023-06-15,0.033
174,2023-06-16,0.06
175,2023-06-19,0.111
176,2023-06-20,0.085
177,2023-06-21,0.051
178,2023-06-22,0.035
179,2023-06-23,0.034
180,2023-06-26,0.132
181,2023-06-27,0.045
182,2023-06-28,0.027
183,2023-06-29,0.05
184,2023-06-30,0.055
185,2023-07-03,0.08
186,2023-07-04,0.049
187,2023-07-05,0.039
188,2023-07-06,0.036
189,2023-07-07,0.036
190,2023-07-10,-0.032
191,2023-07-11,0.042
192,2023-07-12,0.049
193,2023-07-13,0.027
194,2023-07-14,0.045
195,2023-07-17,0.083
196,2023-07-18,0.057
197,2023-07-19,0.033
198,2023-07-20,0.09
199,2023-07-21,0.086
200,2023-07-24,0.13
201,2023-07-25,0.044
202,2023-07-26,0.021
203,2023-07-27,0.058
204,2023-07-28,0.041
205,2023-07-31,0.162
206,2023-08-01,0.043
207,2023-08-02,0.036
208,2023-08-03,0.045
209,2023-08-04,0.089
210,2023-08-07,0.024
211,2023-08-08,0.078
212,2023-08-09,0.044
213,2023-08-10,0.039
214,2023-08-11,0.052
215,2023-08-14,0.027
216,2023-08-15,0.016
217,2023-08-16,0.041
218,2023-08-17,0.081
219,2023-08-18,0.029
220,2023-08-21,0.126
221,2023-08-22,0.122
222,2023-08-23,0.081
223,2023-08-24,0.123
224,2023-08-25,0.088
225,2023-08-28,0.086
226,2023-08-29,0.03
227,2023-08-30,0.044
228,2023-08-31,0.033
229,2023-09-01,0.034
230,2023-09-04,0.11
231,2023-09-05,0.088
232,2023-09-06,0.064
233,2023-09-07,0.079
234,2023-09-08,0.103
235,2023-09-11,0.657
236,2023-09-12,0.074
237,2023-09-13,0.07
238,2023-09-14,0.109
239,2023-09-15,0.034
240,2023-09-18,0.15
241,2023-09-19,0.046
242,2023-09-20,0.031
243,2023-09-21,0.031
244,2023-09-22,0.053
245,2023-09-25,0.125
246,2023-09-26,0.09
247,2023-09-27,0.112
248,2023-09-28,0.103
249,2023-09-29,0.087
250,2023-10-02,-0.014
251,2023-10-03,0.104
252,2023-10-04,0.078
253,2023-10-05,0.056
254,2023-10-06,0.053
255,2023-10-09,0.189
256,2023-10-10,0.056
257,2023-10-11,0.105
258,2023-10-12,0.105
259,2023-10-13,0.036
260,2023-10-16,0.124
261,2023-10-17,0.038
262,2023-10-18,0.051
263,2023-10-19,0.114
264,2023-10-20,0.085
