,날짜,변동 %,야간변화율
0,2022-10-17,2.3,-1.147
1,2022-10-18,0.32,1.326
2,2022-10-19,1.36,-0.027
3,2022-10-20,-0.56,-0.532
4,2022-10-21,-0.86,-0.338
5,2022-10-24,-0.22,1.588
6,2022-10-25,1.04,0.039
7,2022-10-26,-0.05,0.252
8,2022-10-27,0.65,0.734
9,2022-10-28,1.74,-0.526
10,2022-10-31,-0.89,1.118
11,2022-11-01,1.11,0.347
12,2022-11-02,1.81,-0.393
13,2022-11-03,0.07,-1.687
14,2022-11-04,-0.33,-0.143
15,2022-11-07,0.83,0.502
16,2022-11-08,0.99,0.65
17,2022-11-09,1.15,0.396
18,2022-11-10,1.06,-0.769
19,2022-11-11,-0.91,2.692
20,2022-11-14,3.37,0.081
21,2022-11-15,-0.34,0.328
22,2022-11-16,0.23,0.269
23,2022-11-17,-0.12,-0.442
24,2022-11-18,-1.39,0.214
25,2022-11-21,0.06,0.064
26,2022-11-22,-1.02,-0.56
27,2022-11-23,-0.59,0.794
28,2022-11-24,0.53,0.806
29,2022-11-25,0.96,0.036
30,2022-11-28,-0.14,-0.525
31,2022-11-29,-1.21,-0.113
32,2022-11-30,1.04,-0.368
33,2022-12-01,1.61,1.169
34,2022-12-02,0.3,-0.336
35,2022-12-05,-1.84,0.322
36,2022-12-06,-0.62,-0.894
37,2022-12-07,-1.08,-0.305
38,2022-12-08,-0.43,0.172
39,2022-12-09,-0.49,0.491
40,2022-12-12,0.76,-0.647
41,2022-12-13,-0.67,0.507
42,2022-12-14,-0.03,0.354
43,2022-12-15,1.13,-0.643
44,2022-12-16,-1.6,-1.322
45,2022-12-19,-0.04,-0.392
46,2022-12-20,-0.33,-0.316
47,2022-12-21,-0.8,0.561
48,2022-12-22,-0.19,0.474
49,2022-12-23,1.19,-1.31
50,2022-12-26,-1.83,-0.05
51,2022-12-27,0.15,0.448
52,2022-12-28,0.68,-1.558
53,2022-12-29,-2.24,-0.645
54,2023-01-02,-1.93,0.606
55,2023-01-03,-0.48,0.239
56,2023-01-04,-0.31,-0.572
57,2023-01-05,1.68,0.542
58,2023-01-06,0.38,-0.497
59,2023-01-09,1.12,1.131
60,2023-01-10,2.63,-0.091
61,2023-01-11,0.05,0.542
62,2023-01-12,0.35,0.729
63,2023-01-13,0.24,0.518
64,2023-01-16,0.89,0.166
65,2023-01-17,0.58,0.044
66,2023-01-18,-0.85,0.041
67,2023-01-19,-0.47,-0.581
68,2023-01-20,0.51,-0.014
69,2023-01-25,0.63,1.308
70,2023-01-26,1.39,0.313
71,2023-01-27,1.65,0.238
72,2023-01-30,0.62,0.025
73,2023-01-31,-1.35,-0.022
74,2023-02-01,-1.04,0.864
75,2023-02-02,1.02,1.312
76,2023-02-03,0.78,-0.095
77,2023-02-06,0.47,-0.749
78,2023-02-07,-1.7,0.08
79,2023-02-08,0.55,0.722
80,2023-02-09,1.3,-0.523
81,2023-02-10,-0.09,-0.438
82,2023-02-13,-0.48,-0.315
83,2023-02-14,-0.69,0.76
84,2023-02-15,0.53,0.302
85,2023-02-16,-1.53,0.666
86,2023-02-17,1.96,-1.124
87,2023-02-20,-0.98,0.083
88,2023-02-21,0.16,0.097
89,2023-02-22,0.16,-1.142
90,2023-02-23,-1.68,0.51
91,2023-02-24,0.89,0.139
92,2023-02-27,-0.63,-0.751
93,2023-02-28,-0.87,0.622
94,2023-03-02,0.42,0.073
95,2023-03-03,0.62,0.448
96,2023-03-06,0.17,0.838
97,2023-03-07,1.26,-0.227
98,2023-03-08,0.03,-1.127
99,2023-03-09,-1.28,0.365
100,2023-03-10,-0.53,-1.21
101,2023-03-13,-1.01,0.245
102,2023-03-14,0.67,-0.84
103,2023-03-15,-2.56,1.325
104,2023-03-16,1.31,-0.914
105,2023-03-17,-0.08,1.085
106,2023-03-20,0.75,-0.159
107,2023-03-21,-0.69,0.729
108,2023-03-22,0.38,0.959
109,2023-03-23,1.2,-0.773
110,2023-03-24,0.31,-0.132
111,2023-03-27,-0.39,0.372
112,2023-03-28,-0.24,0.393
113,2023-03-29,1.07,-0.095
114,2023-03-30,0.37,0.37
115,2023-03-31,0.38,0.276
116,2023-04-03,0.97,0.361
117,2023-04-04,-0.18,0.143
118,2023-04-05,0.33,0.085
119,2023-04-06,0.59,-0.289
120,2023-04-07,-1.44,0.789
121,2023-04-10,1.27,0.051
122,2023-04-11,0.87,0.448
123,2023-04-12,1.42,-0.059
124,2023-04-13,0.11,-0.625
125,2023-04-14,0.43,0.72
126,2023-04-17,0.38,-0.046
127,2023-04-18,0.17,0.245
128,2023-04-19,-0.19,-0.04
129,2023-04-20,0.16,-0.35
130,2023-04-21,-0.46,-0.25
131,2023-04-24,-0.73,-0.237
132,2023-04-25,-0.82,0.311
133,2023-04-26,-1.37,0.019
134,2023-04-27,-0.17,-0.021
135,2023-04-28,0.44,0.64
136,2023-05-02,0.23,0.099
137,2023-05-03,0.91,-0.563
138,2023-05-04,-0.91,-0.263
139,2023-05-08,-0.02,0.703
140,2023-05-09,0.49,-0.035
141,2023-05-10,-0.13,-0.163
142,2023-05-11,-0.54,0.363
143,2023-05-12,-0.22,-0.147
144,2023-05-15,-0.63,-0.227
145,2023-05-16,0.16,0.607
146,2023-05-17,0.04,-0.024
147,2023-05-18,0.58,0.659
148,2023-05-19,0.83,0.613
149,2023-05-22,0.89,0.088
150,2023-05-23,0.76,0.341
151,2023-05-24,0.41,-0.407
152,2023-05-25,0.0,0.124
153,2023-05-26,-0.5,0.284
154,2023-05-30,0.16,0.922
155,2023-05-31,1.04,0.02
156,2023-06-01,-0.32,-0.177
157,2023-06-02,-0.31,0.666
158,2023-06-05,1.25,0.618
159,2023-06-07,0.54,0.308
160,2023-06-08,0.01,-0.244
161,2023-06-09,-0.18,0.509
162,2023-06-12,1.16,0.24
163,2023-06-13,-0.45,0.574
164,2023-06-14,0.33,0.108
165,2023-06-15,-0.72,0.388
166,2023-06-16,-0.4,0.576
167,2023-06-19,0.66,-0.294
168,2023-06-20,-0.62,-0.256
169,2023-06-21,-0.18,-0.22
170,2023-06-22,-0.86,-0.27
171,2023-06-23,0.43,0.206
172,2023-06-26,-0.91,-0.056
173,2023-06-27,0.47,-0.046
174,2023-06-28,-0.03,0.354
175,2023-06-29,-0.67,-0.007
176,2023-06-30,-0.55,0.33
177,2023-07-03,0.56,0.648
178,2023-07-04,1.49,0.086
179,2023-07-05,-0.35,0.006
180,2023-07-06,-0.55,-0.165
181,2023-07-07,-0.88,-0.347
182,2023-07-10,-1.16,0.054
183,2023-07-11,-0.24,0.72
