,날짜,변동 %,야간변화율
0,2022-10-17,2.4,-1.199
1,2022-10-18,0.07,1.302
2,2022-10-19,1.39,-0.061
3,2022-10-20,-0.78,-0.673
4,2022-10-21,-0.92,-0.322
5,2022-10-24,-0.01,1.743
6,2022-10-25,1.0,-0.062
7,2022-10-26,0.04,0.216
8,2022-10-27,0.78,0.681
9,2022-10-28,1.69,-0.676
10,2022-10-31,-1.26,1.203
11,2022-11-01,1.53,0.317
12,2022-11-02,1.44,-0.457
13,2022-11-03,0.0,-1.751
14,2022-11-04,-0.73,-0.166
15,2022-11-07,0.89,0.575
16,2022-11-08,1.16,0.718
17,2022-11-09,1.34,0.445
18,2022-11-10,1.03,-0.825
19,2022-11-11,-1.3,3.002
20,2022-11-14,3.84,0.099
21,2022-11-15,-0.48,0.383
22,2022-11-16,0.24,0.208
23,2022-11-17,-0.11,-0.615
24,2022-11-18,-1.62,0.278
25,2022-11-21,0.12,0.032
26,2022-11-22,-0.77,-0.569
27,2022-11-23,-0.84,0.904
28,2022-11-24,0.67,0.793
29,2022-11-25,1.02,-0.006
30,2022-11-28,-0.39,-0.69
31,2022-11-29,-1.22,-0.135
32,2022-11-30,1.08,-0.39
33,2022-12-01,1.72,1.361
34,2022-12-02,0.32,-0.391
35,2022-12-05,-2.17,0.394
36,2022-12-06,-0.35,-0.959
37,2022-12-07,-1.2,-0.332
38,2022-12-08,-0.6,0.165
39,2022-12-09,-0.01,0.509
40,2022-12-12,1.1,-0.722
41,2022-12-13,-0.64,0.523
42,2022-12-14,-0.03,0.423
43,2022-12-15,1.19,-0.798
44,2022-12-16,-1.76,-1.381
45,2022-12-19,-0.08,-0.374
46,2022-12-20,-0.23,-0.365
47,2022-12-21,-0.89,0.589
48,2022-12-22,-0.27,0.472
49,2022-12-23,1.4,-1.411
50,2022-12-26,-1.76,-0.103
51,2022-12-27,0.07,0.496
52,2022-12-28,0.65,-1.598
53,2022-12-29,-2.34,-0.71
54,2023-01-02,-2.02,0.618
55,2023-01-03,-0.45,0.293
56,2023-01-04,-0.07,-0.428
57,2023-01-05,2.21,0.564
58,2023-01-06,0.64,-0.396
59,2023-01-09,1.23,1.184
60,2023-01-10,2.71,-0.323
61,2023-01-11,-0.04,0.675
62,2023-01-12,0.26,0.751
63,2023-01-13,0.1,0.528
64,2023-01-16,0.99,0.204
65,2023-01-17,0.72,0.057
66,2023-01-18,-0.72,-0.041
67,2023-01-19,-0.59,-0.587
68,2023-01-20,0.61,0.057
69,2023-01-25,0.56,1.657
70,2023-01-26,1.64,0.33
71,2023-01-27,1.5,0.2
72,2023-01-30,0.74,0.034
73,2023-01-31,-1.62,0.012
74,2023-02-01,-1.68,1.034
75,2023-02-02,1.24,1.479
76,2023-02-03,0.85,-0.108
77,2023-02-06,0.6,-0.908
78,2023-02-07,-2.16,0.166
79,2023-02-08,0.54,0.849
80,2023-02-09,1.58,-0.59
81,2023-02-10,-0.22,-0.492
82,2023-02-13,-0.37,-0.318
83,2023-02-14,-0.6,0.855
84,2023-02-15,0.53,0.297
85,2023-02-16,-1.69,0.632
86,2023-02-17,1.92,-1.219
87,2023-02-20,-1.02,0.09
88,2023-02-21,0.31,0.115
89,2023-02-22,-0.07,-1.126
90,2023-02-23,-1.75,0.579
91,2023-02-24,1.11,0.141
92,2023-02-27,-0.78,-0.836
93,2023-02-28,-0.95,0.577
94,2023-03-02,0.27,0.159
95,2023-03-03,0.46,0.452
96,2023-03-06,0.03,0.904
97,2023-03-07,1.45,-0.28
98,2023-03-08,-0.36,-1.144
99,2023-03-09,-1.38,0.377
100,2023-03-10,-0.42,-1.239
101,2023-03-13,-1.08,0.361
102,2023-03-14,0.82,-0.967
103,2023-03-15,-2.44,1.365
104,2023-03-16,1.15,-1.045
105,2023-03-17,-0.23,1.235
106,2023-03-20,1.19,-0.154
107,2023-03-21,-0.83,0.766
108,2023-03-22,0.28,0.957
109,2023-03-23,1.21,-0.828
110,2023-03-24,0.52,-0.184
111,2023-03-27,-0.46,0.169
112,2023-03-28,-0.46,0.416
113,2023-03-29,1.12,-0.215
114,2023-03-30,0.21,0.473
115,2023-03-31,0.33,0.487
116,2023-04-03,1.25,0.357
117,2023-04-04,-0.51,0.184
118,2023-04-05,0.43,0.09
119,2023-04-06,0.56,-0.368
120,2023-04-07,-1.77,1.092
121,2023-04-10,1.74,-0.028
122,2023-04-11,0.93,0.496
123,2023-04-12,1.38,0.003
124,2023-04-13,0.37,-0.611
125,2023-04-14,0.3,0.7
126,2023-04-17,0.18,-0.018
127,2023-04-18,0.07,0.302
128,2023-04-19,-0.13,-0.048
129,2023-04-20,0.08,-0.404
130,2023-04-21,-0.33,-0.174
131,2023-04-24,-0.52,-0.287
132,2023-04-25,-0.68,0.304
133,2023-04-26,-1.28,0.028
134,2023-04-27,-0.16,-0.059
135,2023-04-28,0.35,0.695
136,2023-05-02,0.42,0.162
137,2023-05-03,0.81,-0.638
138,2023-05-04,-0.78,-0.236
139,2023-05-08,-0.11,0.871
140,2023-05-09,0.84,-0.067
141,2023-05-10,-0.21,-0.149
142,2023-05-11,-0.66,0.35
143,2023-05-12,-0.23,-0.138
144,2023-05-15,-0.51,-0.192
145,2023-05-16,0.26,0.786
146,2023-05-17,0.26,0.092
147,2023-05-18,0.4,0.753
148,2023-05-19,0.99,0.858
149,2023-05-22,1.33,0.081
150,2023-05-23,0.61,0.312
151,2023-05-24,0.24,-0.513
152,2023-05-25,-0.18,0.366
153,2023-05-26,-0.34,0.453
154,2023-05-30,0.52,1.015
155,2023-05-31,1.3,0.015
156,2023-06-01,-0.7,-0.224
157,2023-06-02,-0.31,0.737
158,2023-06-05,1.36,0.648
159,2023-06-07,0.36,0.247
160,2023-06-08,-0.2,-0.309
161,2023-06-09,-0.14,0.446
162,2023-06-12,1.18,0.216
163,2023-06-13,-0.64,0.682
164,2023-06-14,0.53,0.029
165,2023-06-15,-0.5,0.371
166,2023-06-16,-0.42,0.554
167,2023-06-19,0.58,-0.235
168,2023-06-20,-0.59,-0.335
169,2023-06-21,-0.16,-0.321
170,2023-06-22,-0.92,-0.271
171,2023-06-23,0.49,0.243
172,2023-06-26,-0.78,-0.021
173,2023-06-27,0.57,0.012
174,2023-06-28,-0.02,0.311
175,2023-06-29,-0.56,0.015
176,2023-06-30,-0.6,0.348
177,2023-07-03,0.46,0.684
178,2023-07-04,1.52,0.134
179,2023-07-05,-0.43,-0.035
180,2023-07-06,-0.75,-0.251
181,2023-07-07,-0.84,-0.419
182,2023-07-10,-1.38,0.075
183,2023-07-11,-0.22,0.795
184,2023-07-12,1.87,-0.059
185,2023-07-13,0.72,0.63
186,2023-07-14,0.49,0.692
187,2023-07-17,1.7,-0.447
188,2023-07-18,-0.34,0.214
189,2023-07-19,-0.69,0.649
190,2023-07-20,-0.08,-0.507
191,2023-07-21,-0.42,-0.726
