,일자,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc
0,2022-10-17,0.94,-70.685,-68.561,-1627170.0,-1387942.0
1,2022-10-18,0.98,-0.838,3.172,-5652.0,20191.0
2,2022-10-19,1.12,14.585,30.886,97599.0,202811.0
3,2022-10-20,1.05,2.161,-4.297,16572.0,-36928.0
4,2022-10-21,1.06,9.963,10.593,78044.0,87134.0
5,2022-10-24,0.82,-20.338,-38.156,-175197.0,-347095.0
6,2022-10-25,1.25,3.677,57.975,25235.0,326149.0
7,2022-10-26,1.25,15.004,14.902,106746.0,132433.0
8,2022-10-27,1.13,-0.054,-9.665,-443.0,-98694.0
9,2022-10-28,1.03,18.981,8.434,155216.0,77798.0
10,2022-10-31,1.02,-10.447,-11.146,-101645.0,-111489.0
11,2022-11-01,1.08,8.382,14.729,73031.0,130905.0
12,2022-11-02,1.04,15.127,11.417,142848.0,116416.0
13,2022-11-03,0.98,-13.495,-18.778,-146716.0,-213332.0
14,2022-11-04,0.85,73.693,50.805,693070.0,468809.0
15,2022-11-07,0.93,13.226,24.227,216046.0,337128.0
16,2022-11-08,0.94,19.035,19.203,352063.0,331968.0
17,2022-11-09,0.95,-3.453,-1.741,-76031.0,-35885.0
18,2022-11-10,0.98,13.0,15.802,276341.0,319949.0
19,2022-11-11,0.91,15.533,7.407,373097.0,173667.0
20,2022-11-14,1.03,-66.712,-62.128,-1851294.0,-1564614.0
21,2022-11-15,0.93,-5.379,-14.722,-49686.0,-140412.0
22,2022-11-16,1.06,-24.341,-14.036,-212758.0,-114162.0
23,2022-11-17,1.26,45.821,73.416,303027.0,513324.0
24,2022-11-18,1.18,-33.859,-37.95,-326520.0,-460149.0
25,2022-11-21,0.93,24.853,-1.405,158524.0,-10569.0
26,2022-11-22,0.84,-15.578,-23.737,-124056.0,-176084.0
27,2022-11-23,0.92,-6.652,2.3,-44721.0,13014.0
28,2022-11-24,0.87,0.694,-4.97,4358.0,-28763.0
29,2022-11-25,1.25,-3.207,39.298,-20267.0,216127.0
30,2022-11-28,1.16,-8.495,-15.11,-51962.0,-115757.0
31,2022-11-29,1.01,41.427,22.917,231871.0,149042.0
32,2022-11-30,1.1,-9.865,-2.103,-78093.0,-16813.0
33,2022-12-01,0.96,77.32,54.734,551672.0,428331.0
34,2022-12-02,0.87,17.141,6.428,216865.0,77831.0
35,2022-12-05,0.87,21.055,21.623,312047.0,278660.0
36,2022-12-06,0.84,11.073,6.302,198655.0,98773.0
37,2022-12-07,0.84,7.541,7.405,150277.0,123376.0
38,2022-12-08,0.93,-1.591,10.02,-34086.0,179318.0
39,2022-12-09,0.92,3.883,2.38,81883.0,46858.0
40,2022-12-12,0.88,-75.373,-76.554,-1651267.0,-1543114.0
41,2022-12-13,0.97,-29.745,-22.191,-160484.0,-104875.0
42,2022-12-14,0.86,17.175,3.698,65103.0,13598.0
43,2022-12-15,1.07,-1.047,23.289,-4650.0,88806.0
44,2022-12-16,0.82,15.272,-11.304,67120.0,-53144.0
45,2022-12-19,0.94,16.461,32.489,83398.0,135477.0
46,2022-12-20,0.93,-31.469,-31.909,-185675.0,-176285.0
47,2022-12-21,1.06,57.467,79.397,232369.0,298677.0
48,2022-12-22,1.04,-27.52,-28.882,-175226.0,-194913.0
49,2022-12-23,1.18,1.683,15.33,7768.0,73577.0
50,2022-12-26,1.2,2.943,4.505,13811.0,24939.0
51,2022-12-27,0.92,-30.849,-46.602,-149022.0,-269576.0
52,2022-12-28,0.99,32.254,41.303,107745.0,127579.0
53,2022-12-29,0.91,11.373,2.061,50245.0,8997.0
54,2023-01-02,1.14,27.515,59.976,135384.0,267171.0
55,2023-01-03,0.82,13.324,-17.693,83595.0,-126084.0
56,2023-01-04,1.08,64.303,115.553,457207.0,677776.0
57,2023-01-05,0.88,-1.076,-19.812,-12575.0,-250493.0
58,2023-01-06,0.9,3.923,6.171,45340.0,62567.0
59,2023-01-09,0.84,84.531,73.142,1015210.0,787298.0
60,2023-01-10,0.64,38.323,5.844,849318.0,108919.0
61,2023-01-11,0.69,-10.16,-3.177,-311444.0,-62671.0
62,2023-01-12,0.86,-23.329,-4.918,-642511.0,-93922.0
63,2023-01-13,0.85,-1.555,-2.394,-32844.0,-43478.0
64,2023-01-16,0.91,-66.016,-63.88,-1372285.0,-1132306.0
65,2023-01-17,0.99,-20.766,-13.402,-146696.0,-85802.0
66,2023-01-18,0.93,-0.987,-6.808,-5522.0,-37746.0
67,2023-01-19,0.91,20.396,17.305,113038.0,89412.0
68,2023-01-20,0.85,-11.265,-17.275,-75164.0,-104703.0
