,날짜,변동 %,당일 변동률,당일 변화량
0,2022-10-17,-2.37,-2.909,132.32
1,2022-10-18,2.65,1.08,51.08
2,2022-10-19,1.14,-0.701,76.26
3,2022-10-20,-0.67,-0.215,62.07
4,2022-10-21,-0.8,-0.631,79.56
5,2022-10-24,2.37,2.615,110.47
6,2022-10-25,1.19,0.939,69.09
7,2022-10-26,1.63,1.57,63.41
8,2022-10-27,-0.74,0.121,62.08
9,2022-10-28,-0.61,-0.714,56.16
10,2022-10-31,2.46,2.437,97.16
11,2022-11-01,-0.75,-0.254,30.55
12,2022-11-02,-0.41,-1.171,67.99
13,2022-11-03,-2.5,-2.419,135.76
14,2022-11-04,-1.06,-0.358,52.44
15,2022-11-07,1.36,0.095,87.5
16,2022-11-08,0.96,0.69,49.25
17,2022-11-09,0.56,0.291,73.12
18,2022-11-10,-2.08,-1.637,73.98
19,2022-11-11,5.54,2.5,98.44
20,2022-11-14,0.92,0.737,56.66
21,2022-11-15,-0.89,-0.521,52.57
22,2022-11-16,0.87,-0.366,75.67
23,2022-11-17,-0.83,-0.453,28.75
24,2022-11-18,-0.31,0.697,47.79
25,2022-11-21,0.48,-0.026,43.91
26,2022-11-22,-0.39,-0.159,28.66
27,2022-11-23,1.36,0.96,49.0
28,2022-11-25,0.59,0.674,35.12
29,2022-11-28,-0.03,0.069,13.26
30,2022-11-29,-1.54,-1.034,56.5
31,2022-11-30,-0.16,-0.165,39.12
32,2022-12-01,3.09,3.107,141.53
33,2022-12-02,-0.09,-0.259,49.64
34,2022-12-05,-0.12,0.78,53.85
35,2022-12-06,-1.79,-1.312,67.96
36,2022-12-07,-1.44,-1.385,83.12
37,2022-12-08,-0.19,0.016,34.89
38,2022-12-09,0.75,0.398,38.36
39,2022-12-12,-0.73,-0.5,43.98
40,2022-12-13,1.43,1.302,55.41
41,2022-12-14,0.73,-1.222,107.93
42,2022-12-15,-0.61,-0.504,88.11
43,2022-12-16,-2.49,-1.582,78.92
44,2022-12-19,-1.11,-0.991,63.0
45,2022-12-20,-0.9,-0.938,54.82
46,2022-12-21,0.1,0.293,42.62
47,2022-12-22,1.49,1.014,50.33
48,2022-12-23,-1.45,-0.801,88.77
49,2022-12-27,0.59,0.779,48.79
50,2022-12-28,-0.4,-0.367,33.43
51,2022-12-29,-1.2,-1.21,67.54
52,2022-12-30,1.75,1.152,52.74
53,2023-01-03,-0.25,0.273,39.51
54,2023-01-04,-0.4,-0.756,84.13
55,2023-01-05,0.75,0.328,57.39
56,2023-01-06,-1.16,-0.824,37.32
57,2023-01-09,2.28,1.876,96.63
58,2023-01-10,-0.08,-0.479,60.15
59,2023-01-11,0.7,0.789,42.54
60,2023-01-12,1.28,0.948,41.53
61,2023-01-13,0.34,0.141,60.2
62,2023-01-17,0.4,0.972,56.28
63,2023-01-18,-0.2,-0.208,30.82
64,2023-01-19,-1.56,-1.834,87.57
65,2023-01-20,-0.76,-0.332,37.4
66,2023-01-23,1.89,1.626,75.1
67,2023-01-24,1.19,1.047,67.67
68,2023-01-25,-0.07,0.38,34.13
69,2023-01-26,-0.02,0.841,70.49
70,2023-01-27,1.1,0.603,48.28
71,2023-01-30,0.25,0.415,45.51
72,2023-01-31,-1.3,-0.778,48.3
