,날짜,변동 %,당일 변동률,당일 변화량
0,2022-10-17,0.25,0.408,1.84
1,2022-10-18,-2.03,-2.789,1.89
2,2022-10-19,-2.77,-1.929,1.51
3,2022-10-20,0.85,-0.582,1.14
4,2022-10-21,-2.54,-4.217,1.56
5,2022-10-24,-0.97,-1.721,1.2
6,2022-10-25,0.54,-2.61,1.17
7,2022-10-26,-4.66,-4.497,1.78
8,2022-10-27,-4.15,-4.079,1.25
9,2022-10-28,0.4,-0.436,0.73
10,2022-10-31,-5.99,-6.125,1.84
11,2022-11-01,0.5,-3.828,1.23
12,2022-11-02,-0.27,-0.578,0.69
13,2022-11-03,0.19,-0.691,1.23
14,2022-11-04,-2.17,-2.617,1.77
15,2022-11-07,-2.96,-4.214,1.71
16,2022-11-08,-0.81,-5.142,1.33
17,2022-11-09,4.89,3.359,1.92
18,2022-11-10,2.15,2.96,1.33
19,2022-11-11,-9.81,-11.241,3.75
20,2022-11-14,-4.29,-5.735,1.54
21,2022-11-15,5.37,-1.084,1.47
22,2022-11-16,3.41,3.239,3.04
23,2022-11-17,-1.75,-0.741,0.73
24,2022-11-18,-0.75,-0.499,1.37
25,2022-11-21,-3.38,-3.787,1.14
26,2022-11-22,-3.29,-7.027,1.82
27,2022-11-23,-4.79,-5.755,1.43
28,2022-11-24,-4.42,-5.305,1.46
29,2022-11-25,0.34,-0.39,0.23
30,2022-11-28,0.39,-0.534,0.65
31,2022-11-29,8.34,0.543,0.85
32,2022-11-30,-1.44,-0.905,0.74
33,2022-12-01,-5.98,-5.161,2.32
34,2022-12-02,-3.6,-4.753,1.26
35,2022-12-05,-3.93,-6.66,2.01
36,2022-12-06,8.87,2.217,1.51
37,2022-12-07,6.84,7.153,2.22
38,2022-12-08,2.3,1.613,0.83
39,2022-12-09,-1.72,-2.28,1.22
40,2022-12-12,2.42,1.242,1.03
41,2022-12-13,9.51,2.459,0.87
42,2022-12-14,-9.8,-10.658,4.38
43,2022-12-15,-6.25,-7.403,2.4
44,2022-12-16,7.99,6.087,2.42
45,2022-12-19,-0.92,-2.752,1.74
46,2022-12-20,-0.88,-0.928,1.25
47,2022-12-21,-4.19,-7.294,2.04
48,2022-12-22,-6.56,-5.553,1.35
49,2022-12-23,9.47,9.412,4.29
50,2022-12-26,-5.01,-5.864,1.86
51,2022-12-27,0.0,0.0,0.0
52,2022-12-28,3.74,-0.092,1.21
53,2022-12-29,2.26,3.121,1.3
54,2022-12-30,-3.16,-3.64,0.95
55,2023-01-03,1.07,-0.733,0.81
56,2023-01-04,5.68,-0.823,1.03
57,2023-01-05,-3.89,-4.012,1.33
58,2023-01-06,2.04,1.171,0.95
59,2023-01-09,-5.92,-6.875,1.9
60,2023-01-10,3.98,1.011,0.71
61,2023-01-11,-6.33,-7.381,1.88
62,2023-01-12,2.48,1.394,0.63
63,2023-01-13,-10.72,-12.662,2.97
64,2023-01-16,-2.55,-3.421,1.4
65,2023-01-17,6.21,0.257,0.22
66,2023-01-18,-0.67,-2.665,1.01
67,2023-01-19,5.06,5.498,1.87
68,2023-01-20,0.88,0.441,1.54
69,2023-01-23,-3.27,-2.12,1.29
70,2023-01-24,-0.2,-1.979,0.78
71,2023-01-25,-3.08,-3.469,1.56
72,2023-01-26,-0.63,-2.454,1.91
73,2023-01-27,-1.83,-1.68,0.81
74,2023-01-30,-1.17,-2.063,1.03
75,2023-01-31,7.73,0.911,0.71
76,2023-02-01,-2.71,-3.579,1.57
77,2023-02-02,-7.89,-8.919,2.34
78,2023-02-03,4.81,5.581,2.19
79,2023-02-06,-2.14,-1.292,1.37
80,2023-02-07,6.0,1.04,0.6
81,2023-02-08,-3.96,-4.504,1.56
82,2023-02-09,5.2,3.972,1.57
