일자,종목코드,종목명,선물가격,현물가격,선물이론가격,시장베이시스,이론베이시스,괴리율
"2023/10/30","101TC000","코스피200 F 202312","310.20","308.95","310.41","1.25","1.46","-0.07"
"2023/10/30","101V3000","코스피200 F 202403","309.50","308.95","308.90","0.55","-0.05","0.19"
"2023/10/30","101V6000","코스피200 F 202406","310.50","308.95","310.96","1.55","2.01","-0.15"
"2023/10/30","101V9000","코스피200 F 202409","0.00","308.95","312.72",,"3.77",
"2023/10/30","101VC000","코스피200 F 202412","0.00","308.95","314.61",,"5.66",
"2023/10/30","101W6000","코스피200 F 202506","0.00","308.95","315.02",,"6.07",
"2023/10/30","101WC000","코스피200 F 202512","320.00","308.95","318.53","11.05","9.58","0.46"
"2023/10/27","101TC000","코스피200 F 202312","309.20","308.53","310.08","0.67","1.55","-0.28"
"2023/10/27","101V3000","코스피200 F 202403","308.40","308.53","308.58","-0.13","0.05","-0.06"
"2023/10/27","101V6000","코스피200 F 202406","309.00","308.53","310.62","0.47","2.09","-0.52"
"2023/10/27","101V9000","코스피200 F 202409","311.40","308.53","312.39","2.87","3.86","-0.32"
"2023/10/27","101VC000","코스피200 F 202412","0.00","308.53","314.27",,"5.74",
"2023/10/27","101W6000","코스피200 F 202506","0.00","308.53","314.67",,"6.14",
"2023/10/27","101WC000","코스피200 F 202512","0.00","308.53","318.17",,"9.64",
"2023/10/26","101TC000","코스피200 F 202312","309.15","307.75","309.33","1.40","1.58","-0.06"
"2023/10/26","101V3000","코스피200 F 202403","308.55","307.75","307.82","0.80","0.07","0.24"
"2023/10/26","101V6000","코스피200 F 202406","309.15","307.75","309.86","1.40","2.11","-0.23"
"2023/10/26","101V9000","코스피200 F 202409","312.70","307.75","311.61","4.95","3.86","0.35"
"2023/10/26","101VC000","코스피200 F 202412","312.90","307.75","313.58","5.15","5.83","-0.22"
"2023/10/26","101W6000","코스피200 F 202506","312.90","307.75","313.98","5.15","6.23","-0.34"
"2023/10/26","101WC000","코스피200 F 202512","325.20","307.75","317.56","17.45","9.81","2.41"
"2023/10/25","101TC000","코스피200 F 202312","317.85","316.49","318.15","1.36","1.66","-0.09"
"2023/10/25","101V3000","코스피200 F 202403","317.25","316.49","316.72","0.76","0.23","0.17"
"2023/10/25","101V6000","코스피200 F 202406","318.10","316.49","318.84","1.61","2.35","-0.23"
"2023/10/25","101V9000","코스피200 F 202409","319.55","316.49","320.68","3.06","4.19","-0.35"
"2023/10/25","101VC000","코스피200 F 202412","0.00","316.49","322.80",,"6.31",
"2023/10/25","101W6000","코스피200 F 202506","0.00","316.49","323.36",,"6.87",
"2023/10/25","101WC000","코스피200 F 202512","0.00","316.49","327.17",,"10.68",
"2023/10/24","101TC000","코스피200 F 202312","319.55","318.43","320.13","1.12","1.70","-0.18"
"2023/10/24","101V3000","코스피200 F 202403","318.90","318.43","318.72","0.47","0.29","0.06"
"2023/10/24","101V6000","코스피200 F 202406","318.20","318.43","320.86","-0.23","2.43","-0.83"
"2023/10/24","101V9000","코스피200 F 202409","0.00","318.43","322.72",,"4.29",
"2023/10/24","101VC000","코스피200 F 202412","0.00","318.43","324.87",,"6.44",
"2023/10/24","101W6000","코스피200 F 202506","0.00","318.43","325.47",,"7.04",
"2023/10/24","101WC000","코스피200 F 202512","318.50","318.43","329.34","0.07","10.91","-3.29"
"2023/10/23","101TC000","코스피200 F 202312","317.00","315.50","317.22","1.50","1.72","-0.07"
"2023/10/23","101V3000","코스피200 F 202403","316.35","315.50","315.78","0.85","0.28","0.18"
"2023/10/23","101V6000","코스피200 F 202406","316.40","315.50","317.90","0.90","2.40","-0.47"
"2023/10/23","101V9000","코스피200 F 202409","319.50","315.50","319.72","4.00","4.22","-0.07"
"2023/10/23","101VC000","코스피200 F 202412","0.00","315.50","321.85",,"6.35",
"2023/10/23","101W6000","코스피200 F 202506","0.00","315.50","322.39",,"6.89",
"2023/10/23","101WC000","코스피200 F 202512","318.50","315.50","326.21","3.00","10.71","-2.36"
"2023/10/20","101TC000","코스피200 F 202312","318.85","317.96","319.79","0.89","1.83","-0.29"
"2023/10/20","101V3000","코스피200 F 202403","318.40","317.96","318.38","0.44","0.42","0.01"
"2023/10/20","101V6000","코스피200 F 202406","318.60","317.96","320.52","0.64","2.56","-0.60"
"2023/10/20","101V9000","코스피200 F 202409","0.00","317.96","322.37",,"4.41",
"2023/10/20","101VC000","코스피200 F 202412","0.00","317.96","324.51",,"6.55",
"2023/10/20","101W6000","코스피200 F 202506","0.00","317.96","325.10",,"7.14",
"2023/10/20","101WC000","코스피200 F 202512","0.00","317.96","328.97",,"11.01",
"2023/10/19","101TC000","코스피200 F 202312","323.70","322.76","324.65","0.94","1.89","-0.29"
"2023/10/19","101V3000","코스피200 F 202403","322.85","322.76","323.28","0.09","0.52","-0.13"
