,현재가,거래량,체결시간,시가,고가,저가,대업종구분,소업종구분,종목정보,전일종가
0,+230220,4029,20231027143000,+230154,+230248,+230082,,,,
1,+230106,29224,20231027140000,+230554,+230554,+229931,,,,
2,+230572,24056,20231027133000,-229821,+230641,-229719,,,,
3,-229788,34357,20231027130000,+230073,+230228,-229523,,,,
4,+230062,28154,20231027123000,+231080,+231080,+230053,,,,
5,+231075,21619,20231027120000,+231701,+231727,+230871,,,,
6,+231669,29374,20231027113000,+231719,+232184,+231593,,,,
7,+231708,36997,20231027110000,+231299,+231932,+231207,,,,
8,+231178,34423,20231027103000,+231030,+231481,+230683,,,,
9,+230907,37301,20231027100000,-229742,+231295,-229717,,,,
10,-229745,59923,20231027093000,+229930,+230600,-229305,,,,
11,+230000,107666,20231027090000,+231159,+231256,+229936,,,,
12,-229908,22749,20231026153000,+230169,+230169,+229908,,,,
13,-230169,29278,20231026150000,+230668,+230688,+230133,,,,
14,-230774,35040,20231026143000,+230049,+231059,+229989,,,,
15,-230045,51176,20231026140000,+230458,+230811,+229994,,,,
16,-230400,49569,20231026133000,+230519,+230816,+230329,,,,
17,-230583,26203,20231026130000,+230919,+231106,+230469,,,,
18,-230985,16851,20231026123000,+230983,+231357,+230822,,,,
19,-230954,21842,20231026120000,+231157,+231214,+230625,,,,
20,-231064,25255,20231026113000,+231211,+231613,+231003,,,,
21,-231116,27882,20231026110000,+232170,+232245,+231116,,,,
22,-232175,32600,20231026103000,+231986,+232952,+231949,,,,
23,-232095,39340,20231026100000,+232056,+232389,+231864,,,,
24,-232044,54458,20231026093000,+232596,+232715,+231813,,,,
25,-232618,98830,20231026090000,+232582,+233055,+232034,,,,
26,-236317,14628,20231025153000,+236431,+236431,+236269,,,,
27,-236431,21200,20231025150000,+236803,+236903,+236337,,,,
28,-236922,32147,20231025143000,+237046,+237046,+236538,,,,
29,-236964,32205,20231025140000,+237213,+237605,+236964,,,,
30,-237226,26369,20231025133000,+237009,+237291,+236947,,,,
31,-237105,24924,20231025130000,+237078,+237116,+236397,,,,
32,-237081,20413,20231025123000,+237238,+237303,+236887,,,,
33,-237221,18411,20231025120000,+237535,+237829,+237174,,,,
34,-237645,19182,20231025113000,+237950,+238035,+237544,,,,
35,-238038,20153,20231025110000,+237990,+238074,-237669,,,,
36,-237922,26679,20231025103000,-237320,+238011,-237029,,,,
37,-237341,33553,20231025100000,+237675,+237901,+237271,,,,
38,-237676,67237,20231025093000,+238312,+238392,+237518,,,,
39,+238397,83706,20231025090000,+238923,+238990,-237937,,,,
40,+238351,14337,20231024153000,+238395,+238401,+238337,,,,
41,+238395,19997,20231024150000,+237872,+238414,+237794,,,,
42,+237860,25691,20231024143000,+237772,+238258,+237700,,,,
43,+237841,36852,20231024140000,+236808,+237971,+236733,,,,
44,+236753,32347,20231024133000,-235605,+236801,-235581,,,,
45,-235625,24533,20231024130000,-235304,+235817,-234913,,,,
46,-235195,24411,20231024123000,+234810,+235411,+234810,,,,
47,-234887,26163,20231024120000,+235334,+235376,+234835,,,,
48,-235337,18643,20231024113000,+235567,+235953,+235337,,,,
49,-235583,24899,20231024110000,-233389,+235588,-233389,,,,
