,날짜,변동 %,전날 변동율,전날 변화량
0,2023-04-03,-0.77,-2.459,0.42
1,2023-04-04,2.52,1.97,0.42
2,2023-04-05,-3.1,-1.488,1.23
3,2023-04-06,6.47,-0.339,0.89
4,2023-04-07,0.57,1.257,0.46
5,2023-04-10,-2.37,0.698,0.47
6,2023-04-11,-0.92,2.758,0.74
7,2023-04-12,-1.4,-0.118,0.27
8,2023-04-13,-0.77,-1.411,0.65
9,2023-04-14,-1.67,-1.493,0.38
10,2023-04-17,0.67,-1.717,0.69
11,2023-04-18,-1.45,1.05,0.29
12,2023-04-19,-1.59,-0.31,0.28
13,2023-04-20,-0.37,-1.896,0.58
14,2023-04-21,0.94,-0.797,0.37
15,2023-04-24,-0.56,-2.719,0.47
16,2023-04-25,1.37,2.642,0.46
17,2023-04-26,-0.31,-4.012,0.58
18,2023-04-27,3.38,-1.001,0.72
19,2023-04-28,-2.38,0.922,1.68
20,2023-05-01,-7.31,-2.185,0.58
21,2023-05-02,2.63,-1.389,0.4
22,2023-05-08,1.22,-1.74,0.41
23,2023-05-09,2.47,2.208,0.44
24,2023-05-10,-2.65,-0.316,0.4
25,2023-05-11,2.03,3.075,0.54
26,2023-05-12,-2.92,0.644,0.76
27,2023-05-15,1.02,-2.713,0.4
28,2023-05-16,1.96,-2.603,0.88
29,2023-05-17,7.15,-0.116,0.72
30,2023-05-18,3.13,-5.173,1.93
31,2023-05-19,15.13,-8.698,2.43
32,2023-05-22,-1.95,2.085,1.15
33,2023-05-23,-5.43,-3.262,1.16
34,2023-05-24,3.85,2.603,0.59
35,2023-05-25,-3.6,0.0,0.58
36,2023-05-26,-2.68,-2.169,1.14
37,2023-05-29,4.54,-10.881,1.51
38,2023-05-30,4.55,3.165,0.43
39,2023-05-31,-1.48,1.478,1.05
40,2023-06-01,0.45,1.317,0.49
41,2023-06-02,-1.85,-1.058,0.48
42,2023-06-05,2.19,-5.777,0.96
43,2023-06-06,8.72,2.155,1.0
44,2023-06-07,-3.03,-2.669,1.47
45,2023-06-08,3.92,-3.044,2.15
46,2023-06-09,5.37,4.137,1.77
47,2023-06-12,-6.78,1.362,0.91
48,2023-06-13,-4.82,1.935,1.51
49,2023-06-14,4.18,-1.924,1.18
50,2023-06-15,2.71,1.758,1.59
51,2023-06-16,1.5,1.964,1.8
52,2023-06-19,-7.08,-0.623,0.77
53,2023-06-20,-1.01,0.934,0.54
54,2023-06-21,-2.14,1.056,0.65
55,2023-06-22,0.7,1.709,1.14
56,2023-06-23,0.05,1.555,1.84
57,2023-06-26,4.3,-1.17,1.46
58,2023-06-27,-0.62,1.255,0.76
59,2023-06-28,-4.67,0.402,0.6
60,2023-06-29,0.95,1.918,0.48
61,2023-06-30,-2.43,0.305,0.58
62,2023-07-03,-2.99,-1.95,0.41
63,2023-07-04,2.41,1.768,0.37
64,2023-07-05,-1.53,0.679,0.75
65,2023-07-06,-2.44,-3.54,0.86
66,2023-07-07,2.18,-3.224,0.9
67,2023-07-10,5.47,-1.411,1.37
68,2023-07-11,4.29,3.986,0.82
69,2023-07-12,-2.22,1.324,1.91
70,2023-07-13,4.16,5.284,0.88
71,2023-07-14,-5.99,1.049,1.39
72,2023-07-18,1.29,1.587,0.85
73,2023-07-19,-0.59,0.892,0.87
74,2023-07-20,-2.7,-0.352,0.36
75,2023-07-21,0.96,0.502,0.61
76,2023-07-24,-1.0,-2.125,0.61
77,2023-07-25,0.25,0.915,0.69
78,2023-07-26,-3.27,-0.104,0.57
79,2023-07-27,-1.98,-0.79,0.64
80,2023-07-28,-0.05,-5.759,1.73
81,2023-07-31,-1.22,-0.428,0.56
82,2023-08-01,-1.45,1.104,0.74
83,2023-08-02,-1.58,-1.475,1.4
84,2023-08-03,8.21,-4.829,0.86
85,2023-08-04,5.89,-3.05,1.26
86,2023-08-07,0.97,-2.523,1.36
87,2023-08-08,-2.35,1.799,0.84
88,2023-08-09,-1.18,0.099,0.74
89,2023-08-10,-0.5,0.0,0.9
90,2023-08-14,-3.99,2.287,1.82
91,2023-08-15,2.44,3.958,0.55
92,2023-08-16,-4.31,-4.363,0.87
93,2023-08-17,5.94,1.165,1.15
94,2023-08-18,-2.05,-3.693,1.24
95,2023-08-21,-0.2,-0.964,0.67
96,2023-08-22,2.15,3.692,0.56
97,2023-08-23,-5.42,-0.685,0.81
98,2023-08-24,-2.49,1.49,0.42
99,2023-08-25,-2.72,-4.992,0.84
100,2023-08-28,5.53,2.275,0.49
101,2023-08-29,-2.6,3.199,0.34
102,2023-08-30,-2.12,1.868,0.41
103,2023-08-31,-1.44,2.484,0.58
104,2023-09-01,-4.79,-0.295,0.43
105,2023-09-04,-0.18,-0.059,0.59
106,2023-09-05,1.66,-2.057,0.49
107,2023-09-06,2.45,-2.876,1.37
108,2023-09-07,-2.39,-5.252,1.15
109,2023-09-08,4.38,-0.501,1.67
110,2023-09-11,-3.63,0.937,0.77
111,2023-09-12,-1.97,3.175,0.37
112,2023-09-13,-3.96,0.433,0.56
113,2023-09-14,1.54,2.679,0.52
