,날짜,야간 변동률
0,2023-04-03,-0.096
1,2023-04-04,0.05
2,2023-04-05,0.046
3,2023-04-06,0.036
4,2023-04-07,0.048
5,2023-04-10,0.029
6,2023-04-11,0.038
7,2023-04-12,0.051
8,2023-04-13,0.044
9,2023-04-14,0.054
10,2023-04-17,0.006
11,2023-04-18,0.045
12,2023-04-19,0.046
13,2023-04-20,0.048
14,2023-04-21,0.04
15,2023-04-24,0.141
16,2023-04-25,0.042
17,2023-04-26,0.04
18,2023-04-27,0.035
19,2023-04-28,0.048
20,2023-05-01,0.041
21,2023-05-02,0.078
22,2023-05-03,0.036
23,2023-05-04,0.069
24,2023-05-05,0.039
25,2023-05-08,0.062
26,2023-05-09,0.072
27,2023-05-10,0.046
28,2023-05-11,0.04
29,2023-05-12,0.033
30,2023-05-15,0.102
31,2023-05-16,0.031
32,2023-05-17,0.043
33,2023-05-18,0.047
34,2023-05-19,0.029
35,2023-05-22,-0.032
36,2023-05-23,0.035
37,2023-05-24,0.075
38,2023-05-25,0.034
39,2023-05-26,0.004
40,2023-05-29,0.033
41,2023-05-30,0.075
42,2023-05-31,0.041
43,2023-06-01,0.049
44,2023-06-02,0.09
45,2023-06-05,-0.011
46,2023-06-06,0.063
47,2023-06-07,0.037
48,2023-06-08,0.041
49,2023-06-09,0.1
50,2023-06-12,0.003
51,2023-06-13,0.029
52,2023-06-14,0.037
53,2023-06-15,0.033
54,2023-06-16,0.06
55,2023-06-19,0.111
56,2023-06-20,0.085
57,2023-06-21,0.051
58,2023-06-22,0.035
59,2023-06-23,0.034
60,2023-06-26,0.132
61,2023-06-27,0.045
62,2023-06-28,0.027
63,2023-06-29,0.05
64,2023-06-30,0.055
65,2023-07-03,0.08
66,2023-07-04,0.049
67,2023-07-05,0.039
68,2023-07-06,0.036
69,2023-07-07,0.036
70,2023-07-10,-0.032
71,2023-07-11,0.042
72,2023-07-12,0.049
73,2023-07-13,0.027
74,2023-07-14,0.045
75,2023-07-17,0.083
76,2023-07-18,0.057
77,2023-07-19,0.033
78,2023-07-20,0.09
79,2023-07-21,0.086
80,2023-07-24,0.13
81,2023-07-25,0.044
82,2023-07-26,0.021
83,2023-07-27,0.058
84,2023-07-28,0.041
85,2023-07-31,0.162
86,2023-08-01,0.043
87,2023-08-02,0.036
88,2023-08-03,0.045
89,2023-08-04,0.089
90,2023-08-07,0.024
91,2023-08-08,0.078
92,2023-08-09,0.044
93,2023-08-10,0.039
94,2023-08-11,0.052
95,2023-08-14,0.027
96,2023-08-15,0.016
97,2023-08-16,0.041
98,2023-08-17,0.081
99,2023-08-18,0.029
100,2023-08-21,0.126
101,2023-08-22,0.122
102,2023-08-23,0.081
103,2023-08-24,0.123
104,2023-08-25,0.088
105,2023-08-28,0.086
106,2023-08-29,0.03
107,2023-08-30,0.044
108,2023-08-31,0.033
109,2023-09-01,0.034
110,2023-09-04,0.11
111,2023-09-05,0.088
112,2023-09-06,0.064
113,2023-09-07,0.079
114,2023-09-08,0.103
115,2023-09-11,0.657
116,2023-09-12,0.074
117,2023-09-13,0.07
118,2023-09-14,0.109
119,2023-09-15,0.034
120,2023-09-18,0.15
121,2023-09-19,0.046
122,2023-09-20,0.031
123,2023-09-21,0.031
124,2023-09-22,0.053
125,2023-09-25,0.125
126,2023-09-26,0.09
127,2023-09-27,0.112
128,2023-09-28,0.103
129,2023-09-29,0.087
130,2023-10-02,-0.014
131,2023-10-03,0.104
132,2023-10-04,0.078
133,2023-10-05,0.056
134,2023-10-06,0.053
135,2023-10-09,0.189
136,2023-10-10,0.056
137,2023-10-11,0.105
138,2023-10-12,0.105
139,2023-10-13,0.036
140,2023-10-16,0.124
141,2023-10-17,0.038
142,2023-10-18,0.051
143,2023-10-19,0.114
144,2023-10-20,0.085
