,날짜,변동 %,당일 변동률,당일 변화량
0,2023-04-03,-1.68,-2.655,0.91
1,2023-04-04,-0.8,-6.266,1.29
2,2023-04-05,2.43,1.118,1.45
3,2023-04-06,0.42,-1.751,1.08
4,2023-04-07,-3.56,-4.663,1.53
5,2023-04-10,0.0,0.0,0.0
6,2023-04-11,3.1,-2.166,1.12
7,2023-04-12,0.69,0.105,0.72
8,2023-04-13,-0.05,-1.496,1.73
9,2023-04-14,-6.76,-5.47,1.29
10,2023-04-17,-4.1,-4.849,1.05
11,2023-04-18,-0.7,-3.584,0.89
12,2023-04-19,-0.71,-0.649,0.76
13,2023-04-20,-2.2,-4.855,1.55
14,2023-04-21,4.31,1.899,1.36
15,2023-04-24,-2.33,-4.226,1.13
16,2023-04-25,0.72,-7.3,1.5
17,2023-04-26,11.07,6.47,2.53
18,2023-04-27,0.43,0.965,1.74
19,2023-04-28,-9.61,-7.596,1.71
20,2023-05-01,-7.34,-8.309,1.93
21,2023-05-02,1.9,-2.011,1.09
22,2023-05-03,10.57,9.281,3.55
23,2023-05-04,3.15,2.918,1.64
24,2023-05-05,9.54,4.799,2.66
25,2023-05-08,-14.44,-11.846,2.94
26,2023-05-09,-1.22,-4.23,1.05
27,2023-05-10,4.3,2.429,0.64
28,2023-05-11,-4.35,-3.641,1.95
29,2023-05-12,-0.06,0.774,1.56
30,2023-05-15,0.59,1.188,1.54
31,2023-05-16,0.53,-1.835,1.08
32,2023-05-17,5.08,2.566,1.04
33,2023-05-18,-6.23,-6.069,1.58
34,2023-05-19,-4.86,-5.142,1.1
35,2023-05-22,4.74,4.216,1.51
36,2023-05-23,2.38,-1.375,1.31
37,2023-05-24,7.67,6.801,2.01
38,2023-05-25,8.09,6.543,2.01
39,2023-05-26,-4.44,-2.047,1.25
40,2023-05-29,-6.22,-5.873,2.29
41,2023-05-30,-2.73,-0.399,0.26
42,2023-05-31,0.0,-0.569,1.36
43,2023-06-01,2.75,-0.554,1.28
44,2023-06-02,-12.76,-9.223,2.01
45,2023-06-05,-6.71,-6.709,1.23
46,2023-06-06,0.89,-3.599,0.63
47,2023-06-07,-5.23,-6.372,1.02
48,2023-06-08,-0.14,-1.414,0.52
49,2023-06-09,-2.08,-3.465,0.68
50,2023-06-12,1.32,0.363,0.64
51,2023-06-13,8.53,3.947,0.7
52,2023-06-14,-2.66,-2.535,0.59
53,2023-06-15,-5.0,-4.144,0.9
54,2023-06-16,4.47,2.91,0.73
55,2023-06-19,-6.62,-6.556,1.06
56,2023-06-20,4.8,0.71,0.18
57,2023-06-21,-2.18,-3.343,0.81
58,2023-06-22,-4.9,-4.899,0.79
59,2023-06-23,-2.2,-6.988,1.25
60,2023-06-26,4.11,1.511,0.92
61,2023-06-27,6.03,-1.247,0.93
62,2023-06-28,-3.58,-2.622,0.75
63,2023-06-29,-2.26,-3.381,0.6
64,2023-06-30,0.82,-0.733,0.44
65,2023-07-03,0.37,0.592,0.63
66,2023-07-04,-0.15,-2.022,0.38
67,2023-07-05,0.96,1.182,0.19
68,2023-07-06,3.5,-0.07,0.69
69,2023-07-07,8.89,3.973,2.29
70,2023-07-10,-3.95,-7.138,1.73
71,2023-07-11,1.62,-6.281,1.17
72,2023-07-12,-1.53,-1.198,0.62
73,2023-07-13,-8.76,-8.637,1.31
74,2023-07-14,0.52,1.265,0.49
75,2023-07-17,-1.98,-2.77,0.54
76,2023-07-18,1.05,-2.177,0.57
77,2023-07-19,-1.34,-2.278,0.38
78,2023-07-20,3.46,3.303,0.72
79,2023-07-21,1.67,0.215,0.65
80,2023-07-24,-2.79,-1.947,0.52
81,2023-07-25,2.28,-2.659,0.57
82,2023-07-26,-0.36,-1.141,0.27
83,2023-07-27,-4.83,-4.834,1.01
84,2023-07-28,9.25,9.665,2.28
85,2023-07-31,-7.49,-4.989,0.91
86,2023-08-01,2.25,-2.504,0.52
87,2023-08-02,2.2,1.309,0.55
88,2023-08-03,15.51,2.484,1.53
89,2023-08-04,-1.06,-5.069,1.7
90,2023-08-07,7.41,6.808,2.82
91,2023-08-08,-7.78,-6.686,1.59
92,2023-08-09,1.4,-1.781,2.18
93,2023-08-10,-0.19,0.949,1.49
94,2023-08-11,-0.69,1.733,2.26
95,2023-08-14,-6.37,-4.443,1.67
96,2023-08-15,-0.13,-6.675,1.29
97,2023-08-16,11.07,10.1,1.66
98,2023-08-17,1.94,1.451,1.13
99,2023-08-18,6.62,5.483,1.73
100,2023-08-21,-3.3,-2.809,1.74
101,2023-08-22,-0.98,-4.992,1.23
102,2023-08-23,-0.93,0.059,0.97
103,2023-08-24,-5.83,-3.966,1.19
104,2023-08-25,7.63,10.469,1.84
105,2023-08-28,-8.84,-8.89,1.91
106,2023-08-29,-3.83,-7.143,1.28
107,2023-08-30,-4.18,-4.178,0.96
108,2023-08-31,-3.94,-4.474,0.87
109,2023-09-01,-2.23,-2.933,0.56
110,2023-09-04,-3.54,-3.466,0.54
111,2023-09-05,5.58,1.468,0.31
112,2023-09-06,1.37,-0.989,0.77
113,2023-09-07,3.14,1.261,1.17
114,2023-09-08,-0.35,-2.768,1.29
115,2023-09-11,-3.89,-2.672,1.29
116,2023-09-12,-0.29,-2.611,0.59
117,2023-09-13,3.12,1.498,0.71
118,2023-09-14,-5.27,-6.519,1.27
119,2023-09-15,-4.9,-4.257,0.67
120,2023-09-18,7.57,8.583,1.49
121,2023-09-19,1.52,-2.778,0.89
122,2023-09-20,0.79,0.0,1.02
123,2023-09-21,7.3,6.77,1.58
124,2023-09-22,15.85,13.234,2.44
125,2023-09-25,-1.94,-0.635,1.48
126,2023-09-26,-1.74,-2.029,1.62
127,2023-09-27,12.07,5.047,2.33
128,2023-09-28,-3.8,-0.383,1.68
129,2023-09-29,-4.83,-4.83,1.71
130,2023-10-02,1.04,3.853,1.91
131,2023-10-03,0.51,1.733,1.62
132,2023-10-04,12.32,11.061,2.96
133,2023-10-05,-6.07,-10.328,2.58
134,2023-10-06,-0.48,-0.964,1.32
135,2023-10-09,-5.62,-6.834,2.74
