,날짜,VKOSPI_Label
0,2023-04-03,0
1,2023-04-04,0
2,2023-04-05,1
3,2023-04-06,1
4,2023-04-07,0
5,2023-04-10,1
6,2023-04-11,0
7,2023-04-12,1
8,2023-04-13,0
9,2023-04-14,0
10,2023-04-17,0
11,2023-04-18,0
12,2023-04-19,0
13,2023-04-20,0
14,2023-04-21,0
15,2023-04-24,0
16,2023-04-25,1
17,2023-04-26,0
18,2023-04-27,0
19,2023-04-28,0
20,2023-05-02,0
21,2023-05-03,1
22,2023-05-04,0
23,2023-05-08,0
24,2023-05-09,0
25,2023-05-10,1
26,2023-05-11,0
27,2023-05-12,0
28,2023-05-15,0
29,2023-05-16,1
30,2023-05-17,0
31,2023-05-18,1
32,2023-05-19,1
33,2023-05-22,0
34,2023-05-23,0
35,2023-05-24,1
36,2023-05-25,1
37,2023-05-26,0
38,2023-05-30,0
39,2023-05-31,0
40,2023-06-01,0
41,2023-06-02,0
42,2023-06-05,0
43,2023-06-07,0
44,2023-06-08,0
45,2023-06-09,0
46,2023-06-12,0
47,2023-06-13,0
48,2023-06-14,0
49,2023-06-15,0
50,2023-06-16,0
51,2023-06-19,0
52,2023-06-20,0
53,2023-06-21,1
54,2023-06-22,0
55,2023-06-23,0
56,2023-06-26,0
57,2023-06-27,0
58,2023-06-28,0
59,2023-06-29,1
60,2023-06-30,0
61,2023-07-03,0
62,2023-07-04,0
63,2023-07-05,0
64,2023-07-06,1
65,2023-07-07,1
66,2023-07-10,1
67,2023-07-11,0
68,2023-07-12,1
69,2023-07-13,0
70,2023-07-14,1
71,2023-07-17,0
72,2023-07-18,0
73,2023-07-19,0
74,2023-07-20,0
75,2023-07-21,0
76,2023-07-24,1
77,2023-07-25,0
78,2023-07-26,1
79,2023-07-27,0
80,2023-07-28,0
81,2023-07-31,0
82,2023-08-01,0
83,2023-08-02,1
84,2023-08-03,1
85,2023-08-04,0
86,2023-08-07,0
87,2023-08-08,1
88,2023-08-09,0
89,2023-08-10,0
90,2023-08-11,0
91,2023-08-14,1
92,2023-08-16,1
93,2023-08-17,0
94,2023-08-18,0
95,2023-08-21,0
96,2023-08-22,0
97,2023-08-23,0
98,2023-08-24,0
99,2023-08-25,0
100,2023-08-28,0
101,2023-08-29,0
102,2023-08-30,0
103,2023-08-31,0
104,2023-09-01,0
105,2023-09-04,0
106,2023-09-05,0
107,2023-09-06,1
108,2023-09-07,1
109,2023-09-08,0
110,2023-09-11,0
111,2023-09-12,1
112,2023-09-13,1
113,2023-09-14,0
114,2023-09-15,0
115,2023-09-18,1
116,2023-09-19,1
117,2023-09-20,0
118,2023-09-21,1
119,2023-09-22,0
120,2023-09-25,0
121,2023-09-26,1
122,2023-09-27,0
123,2023-10-04,1
124,2023-10-05,1
125,2023-10-06,1
126,2023-10-10,1
127,2023-10-11,0
128,2023-10-12,0
129,2023-10-13,0
130,2023-10-16,1
131,2023-10-17,0
132,2023-10-18,0
133,2023-10-19,1
134,2023-10-20,1
