,일자,시장베이시스,이론베이시스,괴리율
0,2023-07-31,1.22,1.69,-0.14
1,2023-08-01,1.63,1.59,0.01
2,2023-08-02,1.35,1.58,-0.07
3,2023-08-03,1.0,1.51,-0.15
4,2023-08-04,1.16,1.47,-0.09
5,2023-08-07,1.05,1.43,-0.11
6,2023-08-08,1.27,1.32,-0.01
7,2023-08-09,1.2,1.27,-0.02
8,2023-08-10,0.89,1.25,-0.1
9,2023-08-11,-0.01,1.21,-0.36
10,2023-08-14,1.47,1.16,0.09
11,2023-08-16,0.92,1.05,-0.04
12,2023-08-17,1.07,0.97,0.03
13,2023-08-18,0.77,0.94,-0.05
14,2023-08-21,0.08,0.9,-0.25
15,2023-08-22,0.11,0.8,-0.21
16,2023-08-23,0.3,0.77,-0.14
17,2023-08-24,0.5,0.73,-0.07
18,2023-08-25,0.08,0.71,-0.19
19,2023-08-28,-0.05,0.67,-0.22
20,2023-08-29,0.12,0.57,-0.14
21,2023-08-30,-0.31,0.54,-0.25
22,2023-08-31,-0.19,0.51,-0.21
23,2023-09-01,0.2,0.47,-0.08
24,2023-09-04,-0.43,0.44,-0.26
25,2023-09-05,-0.27,0.34,-0.18
26,2023-09-06,0.21,0.31,-0.03
27,2023-09-07,-0.05,0.27,-0.09
28,2023-09-08,-0.44,0.24,-0.2
29,2023-09-11,0.35,0.21,0.04
30,2023-09-12,0.47,0.1,0.11
31,2023-09-13,0.21,0.07,0.04
32,2023-09-14,0.11,0.03,0.02
33,2023-09-15,-0.89,,
34,2023-09-18,1.92,2.38,-0.13
35,2023-09-19,2.28,2.25,0.01
36,2023-09-20,1.93,2.2,-0.08
37,2023-09-21,1.85,2.18,-0.1
38,2023-09-22,1.16,2.1,-0.28
39,2023-09-25,0.83,2.07,-0.37
40,2023-09-26,1.52,1.96,-0.13
41,2023-09-27,1.45,2.71,-0.38
42,2023-10-04,2.29,2.67,-0.12
43,2023-10-05,0.65,2.38,-0.54
44,2023-10-06,1.17,2.35,-0.37
45,2023-10-10,1.56,2.31,-0.23
46,2023-10-11,2.34,2.17,0.05
47,2023-10-12,2.26,2.18,0.02
48,2023-10-13,1.6,2.17,-0.17
49,2023-10-16,2.08,2.11,-0.01
50,2023-10-17,1.56,2.0,-0.14
51,2023-10-18,1.45,1.99,-0.16
52,2023-10-19,1.38,1.96,-0.18
53,2023-10-20,0.94,1.89,-0.29
