,날짜,야간 변동률
0,2023-07-31,0.162
1,2023-08-01,0.043
2,2023-08-02,0.036
3,2023-08-03,0.045
4,2023-08-04,0.089
5,2023-08-07,0.024
6,2023-08-08,0.078
7,2023-08-09,0.044
8,2023-08-10,0.039
9,2023-08-11,0.052
10,2023-08-14,0.027
11,2023-08-15,0.016
12,2023-08-16,0.041
13,2023-08-17,0.081
14,2023-08-18,0.029
15,2023-08-21,0.126
16,2023-08-22,0.122
17,2023-08-23,0.081
18,2023-08-24,0.123
19,2023-08-25,0.088
20,2023-08-28,0.086
21,2023-08-29,0.03
22,2023-08-30,0.044
23,2023-08-31,0.033
24,2023-09-01,0.034
25,2023-09-04,0.11
26,2023-09-05,0.088
27,2023-09-06,0.064
28,2023-09-07,0.079
29,2023-09-08,0.103
30,2023-09-11,0.657
31,2023-09-12,0.074
32,2023-09-13,0.07
33,2023-09-14,0.109
34,2023-09-15,0.034
35,2023-09-18,0.15
36,2023-09-19,0.046
37,2023-09-20,0.031
38,2023-09-21,0.031
39,2023-09-22,0.053
40,2023-09-25,0.125
41,2023-09-26,0.09
42,2023-09-27,0.112
43,2023-09-28,0.103
44,2023-09-29,0.087
45,2023-10-02,-0.014
46,2023-10-03,0.104
47,2023-10-04,0.078
48,2023-10-05,0.056
49,2023-10-06,0.053
50,2023-10-09,0.189
51,2023-10-10,0.056
52,2023-10-11,0.105
53,2023-10-12,0.105
54,2023-10-13,0.036
55,2023-10-16,0.124
56,2023-10-17,0.038
57,2023-10-18,0.051
58,2023-10-19,0.114
59,2023-10-20,0.085
